r,vc_total,vc_total_sphere,vc_total_unchanged_field,disk_minus_sphere_percent
0.1,0.0612689454134405,0.060406192089796,0.05810987225215,1.42825312074284
0.1074375,0.0658064633529271,0.0648800143281986,0.0624223505634783,1.42794207788237
0.114875,0.0703427152369287,0.0693526024735964,0.0667327999291038,1.42765048176714
0.1223125,0.0748771033896104,0.0738233699651503,0.0710410807828179,1.42737106820994
0.12975,0.0794091807526324,0.0782918784251158,0.0753470537367234,1.42709863397297
0.1371875,0.0839385993914388,0.0827577869775878,0.0796505795926565,1.42682937397882
0.144625,0.0884652854649283,0.0872210247472939,0.0839515193535889,1.42656053542063
0.1520625,0.0929894332864077,0.0916817850447819,0.0882497342350019,1.4262901196646
0.1595,0.0975106972104904,0.0961397289160054,0.0925450856762373,1.42601639295528
0.1669375,0.10202876393242,0.100594549213251,0.0968374353518217,1.42573800507679
0.174375,0.106543364817083,0.105045982760397,0.10112664518276,1.42545389870035
0.1818125,0.11105431790624,0.109493851767104,0.105412577347801,1.42516325250337
0.18925,0.115561735196376,0.1139382681376,0.109695094294674,1.42486548664624
0.1966875,0.120065403665008,0.118379023401682,0.113974058751287,1.424560040172
0.204125,0.124565069742306,0.122815869098017,0.118249333736896,1.42424644073766
0.2115625,0.129060504027291,0.127248580563785,0.122520782573242,1.42392430271363
0.219,0.13355150322447,0.131676958846907,0.126788268895641,1.423593310461
0.2264375,0.138038076510241,0.136101014403509,0.131051656664046,1.42325324702457
0.233875,0.142520094199524,0.140520620807012,0.135310810174067,1.42290389910684
0.2413125,0.146997335645597,0.144935561959469,0.13956559406795,1.42254506640991
0.24875,0.15146959489713,0.149345636234236,0.143815873345513,1.42217658074892
0.2561875,0.155936677944287,0.153750653762775,0.148061513375041,1.42179830004812
0.263625,0.160398502244104,0.158150534537929,0.152302379904135,1.42141012216179
0.2710625,0.164854994900957,0.162545208053541,0.156538339070517,1.42101196034918
0.2785,0.169305956428811,0.166934479014048,0.160769257412785,1.42060371756001
0.2859375,0.173751196727262,0.171318161365205,0.164995001881124,1.42018531057553
0.293375,0.17819053385503,0.175696077085659,0.169215439847962,1.41975666773413
0.3008125,0.182623833181983,0.180068094781059,0.173430439118578,1.41931773312267
0.30825,0.187051038451133,0.184434160304733,0.17763986794166,1.41886846887611
0.3156875,0.191471973466693,0.18879410127413,0.181843595019802,1.41840882447628
0.323125,0.195886459875873,0.193147743171542,0.186041489519957,1.41793875473784
0.3305625,0.200294325239007,0.197494917299325,0.190233421083824,1.41745822017281
0.338,0.204695414268889,0.201835471859563,0.194419259838179,1.41696718766857
0.3454375,0.209089659681975,0.206169341798195,0.198598876405156,1.41646563854201
0.352875,0.213476911081577,0.210496380122919,0.202772141912457,1.4159535460502
0.3603125,0.21785699948609,0.214816421512297,0.206938928003507,1.41543088390859
0.36775,0.222229760416852,0.219129305075159,0.211099106847547,1.41489762888147
0.3751875,0.226595034744844,0.223434875185367,0.21525255114966,1.41435376051102
0.382625,0.230952732094216,0.227733043985761,0.21939913416073,1.41379926781986
0.3900625,0.235302727635943,0.232023689647153,0.223538729687349,1.41323413733174
0.3975,0.239644860323985,0.236306654628686,0.227671212101635,1.41265835299662
0.4049375,0.243978972691708,0.240581784909263,0.231796456351,1.4120719005082
0.412375,0.248304910503031,0.24484892964365,0.235914337967839,1.41147476707817
0.4198125,0.252622557204365,0.249107975126362,0.240024733079151,1.4108669448341
0.42725,0.25693181075844,0.253358821953977,0.244127518416087,1.41024842825941
0.4346875,0.261232517665732,0.257601319980923,0.248222571323424,1.40961920733862
0.442125,0.265524526884145,0.26183532147501,0.252309769768968,1.4089792730607
0.4495625,0.269807690082676,0.266060681367475,0.256388992352878,1.40832861734517
0.457,0.274081875921853,0.270277271331257,0.260460118316916,1.40766723441295
0.4644375,0.278346991269983,0.274485000696926,0.264523027553612,1.40699512295779
0.471875,0.282602893715016,0.278683730202625,0.268577600615367,1.4063122771973
0.4793125,0.286849438281955,0.282873318050149,0.272623718723453,1.40561869150957
0.48675,0.291086482342543,0.287053624745084,0.276661263776952,1.40491436087589
0.4941875,0.295313889645092,0.291224517069531,0.2806901183616,1.40419928126603
0.501625,0.299531565401387,0.295385902672123,0.284710165758553,1.40347345345921
0.5090625,0.303739380928814,0.299537655776554,0.288721289953071,1.40273687505736
0.5165,0.307937197112575,0.303679640311823,0.292723375643108,1.40198954278936
0.5239375,0.312124876924706,0.307811722253998,0.296716308247824,1.40123145380031
0.531375,0.316302285603591,0.311933769803108,0.30069997391601,1.40046260564881
0.5388125,0.320469320585515,0.316045682890131,0.304674259534411,1.39968299991695
0.54625,0.324625868257839,0.320147350542628,0.308639052735977,1.39889263728719
0.5536875,0.328771795259263,0.324238642308697,0.312594241908016,1.39809151626358
0.561125,0.332906970127504,0.328319429597819,0.31653971620025,1.39727963565981
0.5685625,0.337031263214095,0.332389585596793,0.320475365532787,1.39645699457405
0.576,0.341144562492654,0.336449000852983,0.324401080603996,1.39562359459153
0.5834375,0.34524676828968,0.340497578079174,0.328316752898284,1.39477943934183
0.590875,0.349337753529866,0.344535192964549,0.332222274693788,1.39392452886851
0.5983125,0.353417392327749,0.348561722360047,0.336117539069957,1.39305886338439
0.60575,0.357485560494955,0.352577044778322,0.340002439915046,1.39218244333519
0.6131875,0.361542142063492,0.356581046823625,0.343876871933513,1.39129527047479
0.620625,0.365587044200529,0.360573637892439,0.347740730653306,1.39039735056432
0.6280625,0.369620148538324,0.364554702199044,0.351593912433063,1.3894886854358
0.6355,0.373641334809522,0.368524122073669,0.355436314469205,1.38856927656674
0.6429375,0.37765048435782,0.372481781422904,0.359267834802925,1.38763912564281
0.650375,0.381647481823514,0.376427567390867,0.363088372327083,1.38669823488953
0.6578125,0.385632235875772,0.380361390792063,0.366897826792986,1.38574661133009
0.66525,0.389604638637952,0.384283146120354,0.370696098817073,1.38478425903463
0.6726875,0.393564575520996,0.388192721241811,0.374483089887497,1.38381118069399
0.680125,0.397511933483077,0.392090005535445,0.378258702370586,1.38282737919504
0.6875625,0.401446601036984,0.39597488990038,0.382022839517218,1.38183285762903
0.695,0.405368484798509,0.399847283062947,0.385775405469078,1.38082762330365
0.7024375,0.409277488548065,0.403707090941565,0.389516305264801,1.3798116831458
0.709875,0.413173503445655,0.40755420700526,0.393245444846021,1.37878504105893
0.7173125,0.417056422150861,0.41138852618854,0.396962731063304,1.37774770114105
0.72475,0.420926138794758,0.415209944863618,0.400668071681962,1.37669966768688
0.7321875,0.424782557437777,0.419018369173327,0.404361375387777,1.37564094763245
0.739625,0.428625592429827,0.422813715384281,0.408042551792591,1.37457155103489
0.7470625,0.432455141369563,0.426595883245452,0.411711511439798,1.37349148321237
0.7545,0.436271102704813,0.430364773329988,0.415368165809728,1.37240074951395
