r,vc_total,vc_total_sphere,vc_total_unchanged_field,disk_minus_sphere_percent
0.1,0.0581239121566345,0.0580194819336753,0.0577210435330844,0.179991650181677
0.1074375,0.0624288309220113,0.0623166888302821,0.0620045538923958,0.179955151395528
0.114875,0.0667326262066958,0.0666127760765092,0.0662860248030693,0.179920635718478
0.1223125,0.0710347318140345,0.0709071787898686,0.0705653159713399,0.179887320780114
0.12975,0.0753347259083313,0.0751994761602474,0.074842287281659,0.17985464126864
0.1371875,0.0796322816386575,0.0794893421702012,0.0791167988081109,0.179822180626665
0.144625,0.0839273352140833,0.0837767133741155,0.0833887108258085,0.17978962637879
0.1520625,0.0882200802592545,0.0880617832682912,0.0876578838222619,0.179756740197945
0.1595,0.0925101917897049,0.0923442276611533,0.0919241785087237,0.179723338161053
0.1669375,0.0967973757890855,0.0966237532659756,0.0961874558315076,0.179689276436967
0.174375,0.101081381063464,0.100900109535454,0.100447576983276,0.179654441252941
0.1818125,0.105362039600932,0.105173128950269,0.1047044034143,0.17961874154413
0.18925,0.109639465678399,0.109442925770609,0.108957796843692,0.179582103097164
0.1966875,0.113913461367587,0.113709302607353,0.113207619270596,0.179544466066228
0.204125,0.118183789743289,0.117972023141207,0.117453732985356,0.179505781492217
0.2115625,0.122450237044636,0.122230874173092,0.121696000580638,0.179466008918361
0.219,0.126712614540419,0.126485667486513,0.125934284962528,0.179425114652143
0.2264375,0.130970937573278,0.130736418572447,0.130168449361582,0.179383069684769
0.233875,0.135225088062135,0.134983009734975,0.134398357343839,0.179339849982241
0.2413125,0.139474860500838,0.139225236007545,0.138623872821797,0.179295435548443
0.24875,0.143720063456929,0.143462906470569,0.142844860065349,0.1792498093663
0.2561875,0.147960516927781,0.147695841612417,0.147061183712664,0.179202956884073
0.263625,0.152196147975355,0.151923968794038,0.151272708781042,0.179154865079645
0.2710625,0.15642689290366,0.156147224600981,0.155479300677704,0.17910552262097
0.2785,0.160652566341349,0.160365424158923,0.159680825210551,0.179054920305677
0.2859375,0.164872991891809,0.164578391551057,0.163877148598865,0.17900305014289
0.293375,0.169088000955436,0.168785958642508,0.168068137483965,0.178949905168091
0.3008125,0.173297470359758,0.17298800264373,0.17225365893981,0.17889547905019
