galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,n_starts,parameters_json,worst_restart_objective,baseline_same_split_objective,objective_improvement_over_baseline
UGC05750,free_family,True,11,8,3,0.31517456978714803,0.039396821223393504,0.005495858714825785,0.3206704285019738,2.5684383246850166,2.2167657309546196,38.53621453604467,2.2359209369798982,38.41404578724574,0.4945331891462708,0.7,0.9914329680855567,63.630027421556164,0.04774561022837648,False,True,True,3.0071351660923127,1.0023783886974376,18.42431816366584,3707.0850877980347,"{""disk_pull"": -0.04774561022837648, ""distance_pull"": -0.04298160456220693, ""inclination_pull"": -0.03699725784438366}",6,True,3.6333793998083487e-06,False,none,False,5,"[0.804653195535279, 3.648423168423579, 1.2721280560191588, -0.04774561022837648, -0.04298160456220693, -0.03699725784438366]",0.3224174265236238,0.34032253376618266,0.019652105264208852
UGC05764,free_family,True,10,8,2,30.918608744703977,3.864826093087997,1.2238079577868102,32.142416702490785,3.3606690091615123e-18,1.088044726354737,59.512350994115536,0.8643866244578668,62.63408792721954,0.5472134686456114,0.7,1.2587477588945177,65.70692501054317,0.8628775709562708,False,True,True,0.5618149986660048,0.2809074993330024,249.45647005927862,2510.6642113876233,"{""disk_pull"": 0.39186773861570223, ""distance_pull"": 0.8628775709562708, ""inclination_pull"": 0.570692501054317}",6,True,0.0039005830907999925,True,lower,False,5,"[-0.14573512825687876, 4.137309665478941, 3.3606690091615123e-18, 0.39186773861570223, 0.8628775709562708, 0.570692501054317]",32.14241670767948,36.23800422128742,4.095587518796627
UGC05829,free_family,True,11,8,3,1.378063756331219,0.17225796954140238,0.10255756918727314,1.4806213255184921,2.699098363374776e-26,1.796940998174476,52.66502102410937,1.7115860972709673,56.3187522969598,0.5027700356622796,0.7,1.0498688912229437,36.725928860609805,0.27259288606098075,False,True,True,8.575400598483808,2.8584668661612693,166.06773770468843,3209.0243901272984,"{""disk_pull"": 0.023993821514374097, ""distance_pull"": 0.1663580000641829, ""inclination_pull"": 0.27259288606098075}",6,True,6.256767636208395e-05,True,lower,False,5,"[0.5374204828767806, 4.031027557786202, 2.699098363374776e-26, 0.023993821514374097, 0.1663580000641829, 0.27259288606098075]",1.4806213255767748,1.608559286091531,0.12793796057303886
UGC05918,free_family,True,8,6,2,0.7128628714057912,0.11881047856763187,0.0018687795716485743,0.7147316509774397,7.395452077279074e-16,1.0572841175753482,47.00431749641221,1.0455240186120616,47.088157254070396,0.5004696665530778,0.7,1.0112480428511803,46.105928759446996,0.037460873147843826,False,True,True,3.756419913799647,1.8782099568998234,234.19248169103048,1440.2213517380242,"{""disk_pull"": 0.004077557054234586, ""distance_pull"": 0.037460873147843826, ""inclination_pull"": 0.02118575188939938}",6,True,7.996990242292325e-06,True,lower,False,5,"[0.04451821294840882, 3.852021531063998, 7.395452077279071e-16, 0.004077557054234586, 0.037460873147843826, 0.02118575188939938]",0.7147316509782946,0.8239291459530802,0.10919749497564046
UGC05986,free_family,True,15,12,3,1.3120406400684825,0.10933672000570688,0.003317401112952703,1.3153580411814352,6.978741884806594e-16,2.4179856154398482,135.06425437275473,2.456858506709536,135.06425437275473,0.5026774793328984,0.7,0.9841778062662021,90.0,0.05272028259562779,True,True,True,0.22983911464249118,0.07661303821416372,909.1786543439273,11278.641588445624,"{""disk_pull"": 0.023194243164842622, ""distance_pull"": -0.05272028259562779, ""inclination_pull"": -2.2204460492503137e-25}",6,True,1.394988316716452e-06,True,lower,False,5,"[0.8988835040539929, 4.905750623522899, 6.978741884806591e-16, 0.023194243164842622, -0.05272028259562779, -2.2204460492503137e-25]",1.3153580411815806,1.7420430609606812,0.426685019779246
UGC06399,free_family,True,9,7,2,0.3521950654255742,0.05031358077508203,0.0011137356666868989,0.3533088010922611,2.2205535697018527e-15,2.4161223331671184,95.95083213317893,2.4096250533083534,95.95318388006199,0.5031202394298206,0.7,1.002696386248908,75.00524186896858,0.02701784060862179,False,True,True,1.5891611810263522,0.7945805905131761,603.972476916694,6701.508319676907,"{""disk_pull"": 0.02701784060862179, ""distance_pull"": 0.01941398099213741, ""inclination_pull"": 0.0026209344842886774}",6,True,7.525069769440752e-07,True,lower,False,5,"[0.8794711558587093, 4.563860404603144, 2.2205535697018503e-15, 0.02701784060862179, 0.01941398099213741, 0.0026209344842886774]",1.1253092651643715,0.41001310043682265,0.056704299344561504
UGC06446,free_family,True,17,13,4,13.436310693314033,1.0335623610241564,4.087506215056657,17.52381690837069,1.0848535869393754e-30,2.7155452338629424,86.80559702875192,1.8648374700479047,88.92648202702425,0.6585019455563498,0.7,1.4561833282946552,52.76246277030276,1.5206110943155173,False,True,True,8.05287236415067,2.0132180910376674,707.3932841872725,5108.633957853879,"{""disk_pull"": 1.1958705809487225, ""distance_pull"": 1.5206110943155173, ""inclination_pull"": 0.5874875901009209}",6,True,0.0008380061963586591,True,lower,False,5,"[0.6231739018708243, 4.487809983729089, 1.0848535869393754e-30, 1.1958705809487225, 1.5206110943155173, 0.5874875901009209]",17.52381691306754,18.586614318605204,1.0627974102345163
UGC06614,free_family,True,13,10,3,0.7480849512240889,0.07480849512240889,0.025522275396727818,0.7736072266208167,1.328768395141961e-14,15.421582979972433,234.61181459606496,15.467412848550861,226.0758610647531,0.4962249248551424,0.6948032072677225,0.9970370048936321,34.499544239073,0.15004557609269958,False,True,True,2.3494543685318305,0.7831514561772769,28169.34568396239,32700.00786027117,"{""disk_pull"": -0.032914296977149954, ""bulge_pull"": -0.032362254961632454, ""distance_pull"": -0.029629951063678637, ""inclination_pull"": -0.15004557609269958}",7,True,1.7234849391675903e-06,True,lower,False,5,"[2.738735413918745, 5.420870611376354, 1.3287683951419522e-14, -0.032914296977149954, -0.032362254961632454, -0.029629951063678637, -0.15004557609269958]",0.948951194921561,0.7938975631862197,0.020290336565403022
UGC06667,free_family,True,9,7,2,2.7481055283414424,0.3925865040487775,0.0007022098901326532,2.748807738231575,2.0884815767106726e-15,2.211070217145917,100.31665345703881,2.2133840557570643,100.31665245216305,0.5029337549401051,0.7,0.9989546149457754,88.99996711988315,0.025407804045478318,False,True,True,4.548973358297795,2.2744866791488976,522.0789231012742,6315.562951986189,"{""disk_pull"": 0.025407804045478318, ""distance_pull"": -0.00752677239041711, ""inclination_pull"": -3.2880116841859596e-05}",6,True,5.385842150841082e-06,True,lower,False,5,"[0.7945225913153577, 4.608331707629329, 2.08848157671067e-15, 0.025407804045478318, -0.00752677239041711, -3.2880116841859596e-05]",2.7488077382318,3.159117063177011,0.41030932494543615
UGC06786,free_family,True,45,36,9,86.09324085648487,2.3914789126801352,4.676800419630522,90.77004127611539,4.625634652037774,3.7990678920849037,77.31078806511492,2.8969698753574322,77.93182671260507,0.7447319423499447,0.6740847027617446,1.3113936476871957,64.96020962466156,1.7302997726190268,False,True,True,1012.2437612087913,112.47152902319903,12893.90379991038,27051.632592442034,"{""disk_pull"": 1.7302997726190268, ""bulge_pull"": -0.16383568359138245, ""distance_pull"": 1.246425393064868, ""inclination_pull"": 0.32006987488718724}",7,True,0.0007937926952294654,False,none,False,5,"[1.0636653201682298, 4.355834428009402, 1.7273337687549308, 1.7302997726190268, -0.16383568359138245, 1.246425393064868, 0.32006987488718724]",91.4304926531979,91.44012000599736,0.6700787298819648
