classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,median_loss,mean_loss,median_rms_kms,mean_rms_kms
detailed,0,S0,0,A_core,full,all,3,0,18.823146564950896,14.132750556126133,18.582080694494767,22.812129988792304
detailed,0,S0,0,A_core,inner,outer,2,0,230.9207545722562,230.9207545722562,44.500310083701024,44.500310083701024
detailed,0,S0,0,A_nfw,full,all,3,0,0.9083338848362317,1.8382836505921754,10.614333368291508,10.429458904322788
detailed,0,S0,0,A_nfw,inner,outer,2,0,3.1699503969655645,3.1699503969655645,11.483418958190674,11.483418958190674
detailed,0,S0,0,B_core,full,all,3,0,2.493788808624085,2.3430449255046706,10.113992249848467,10.766315918743222
detailed,0,S0,0,B_core,inner,outer,2,0,20.766066551038243,20.766066551038243,23.733305355699386,23.733305355699386
detailed,0,S0,0,B_nfw,full,all,3,0,0.6409581776566385,1.543999433643303,10.519677649416531,10.44192641956891
detailed,0,S0,0,B_nfw,inner,outer,2,0,3.5844153692463823,3.5844153692463823,9.628655205991741,9.628655205991741
detailed,0,S0,0,C_core,full,all,3,0,2.4173540936150553,2.280127203207725,10.0707528589793,10.621624874327336
detailed,0,S0,0,C_core,inner,outer,2,0,68.27312575068181,68.27312575068181,32.28569711844679,32.28569711844679
detailed,0,S0,0,C_nfw,full,all,3,0,0.6409581776566385,1.543999433643303,10.519677649416531,10.44192641956891
detailed,0,S0,0,C_nfw,inner,outer,2,0,3.5844153692463823,3.5844153692463823,9.628655205991741,9.628655205991741
detailed,1,Sa,1,A_core,full,all,3,0,2.1513947485987246,7.764774648986744,14.78498083446893,15.913190152683278
detailed,1,Sa,1,A_core,inner,outer,3,0,2.731440164372598,599.6468426116842,15.49127691974027,33.241346476919134
detailed,1,Sa,1,A_nfw,full,all,3,0,3.4069996932112834,11.247479971447836,17.391951929582437,19.93892505130321
detailed,1,Sa,1,A_nfw,inner,outer,3,0,6.577449748892199,11.184049021150926,9.433867348379579,12.64648822199644
detailed,1,Sa,1,B_core,full,all,3,0,0.8040196699154318,1.6945394749304377,7.9637962028926665,7.874311146920847
detailed,1,Sa,1,B_core,inner,outer,3,0,3.586326229576447,62.18598185980691,16.676795394101017,19.07604684657258
detailed,1,Sa,1,B_nfw,full,all,3,0,0.7639209479173156,0.9791684407497548,5.545588159586619,6.632068152712937
detailed,1,Sa,1,B_nfw,inner,outer,3,0,3.088464999733962,10.316368466680107,9.085471599073617,13.708613641951501
detailed,1,Sa,1,C_core,full,all,3,0,0.7559944340386112,1.597080864721203,8.016885562843315,7.779656743909837
detailed,1,Sa,1,C_core,inner,outer,3,0,3.012382992010261,58.56363298150041,15.753829704467336,17.94409346592506
detailed,1,Sa,1,C_nfw,full,all,3,0,0.7639209479173156,0.9791684407497548,5.545588159586619,6.632068152712937
detailed,1,Sa,1,C_nfw,inner,outer,3,0,3.088464999733962,10.316368466680107,9.085471599073617,13.708613641951501
detailed,2,Sab,2,A_core,full,all,9,0,23.09795882351251,31.244990936059466,19.58204352954107,21.17372738306904
