galaxy,model_id,fit_mode,region,n_rows,failed,chi2,loss,rms_kms,signed_kms,signed_standardized
CamB,C_core,full,inner_third,3,False,5.12503300006753,1.7083443333558435,1.9605547046819802,1.84040889873888,1.2269392658259202
CamB,C_core,full,middle_third,3,False,4.283398579656722,1.4277995265522405,1.792358483881654,1.727855750423562,1.1519038336157081
CamB,C_core,full,outer_third,3,False,2.519136588132285,0.8397121960440951,1.374537173414824,-0.8567628793808062,-0.5711752529205375
D512-2,C_core,full,inner_third,2,False,0.1252214439417284,0.0626107219708642,0.6780998475344349,0.04862074889854462,0.01794123575592052
D512-2,C_core,full,middle_third,1,False,0.01598321496419792,0.01598321496419792,0.5297196619278495,-0.5297196619278495,-0.12642474031690917
D512-2,C_core,full,outer_third,1,False,0.004522036304826145,0.004522036304826145,0.40213160417344085,-0.40213160417344085,-0.06724608765442154
D564-8,C_core,full,inner_third,2,False,0.028968248108256052,0.014484124054128026,0.1789411242042869,0.030525446415871293,0.015896403657737007
D564-8,C_core,full,middle_third,2,False,0.11874686043737927,0.059373430218689634,0.44175276725264634,0.06737404594558782,0.03589168975755749
D564-8,C_core,full,outer_third,2,False,0.018301004751770447,0.009150502375885224,0.19402998364437654,-0.08076737860285199,-0.03742368807796008
D631-7,C_core,full,inner_third,6,False,5.139168231612519,0.8565280386020865,1.5712213312780547,1.075673148393947,0.5907866947610547
D631-7,C_core,full,middle_third,5,False,0.17622598881916973,0.035245197763833946,0.399914183661208,-0.21735854308360417,-0.1028570436752807
D631-7,C_core,full,outer_third,5,False,0.3843965710648308,0.07687931421296616,1.015287507535502,0.20922214809263834,0.026046674812252747
DDO064,C_core,full,inner_third,5,False,2.3660850786170955,0.4732170157234191,3.178133614309969,-0.9402358581727466,-0.20351425501574605
DDO064,C_core,full,middle_third,5,False,0.8744507619567403,0.17489015239134806,1.9502933097315078,-0.47526519805836714,-0.09853383426128076
DDO064,C_core,full,outer_third,4,False,0.09396661043874875,0.023491652609687188,0.8988743253981673,0.3993175812872476,0.08932720631763076
DDO154,C_core,full,inner_third,4,False,4.975512623136435,1.2438781557841088,0.6755675881763772,-0.44999817907968565,-0.7666730584984893
