guard,model,galaxy,anchor_offset,T,n_test,r_anchor,r_max,radial_factor,core_mass_growth,nfw_mass_growth,core_mass_fraction_anchor,core_mass_fraction_final,core_effective_halo_speed_slope,nfw_effective_halo_speed_slope,core_anchor_halo2,nfw_anchor_halo2,core_original_loss,nfw_original_loss,core_with_nfw_growth_loss,nfw_with_core_growth_loss,core_swap_admissible,nfw_swap_admissible,core_signed_fraction,core_swapped_signed_fraction,core_guard_active,nfw_guard_active,core_nuisance_bound,nfw_nuisance_bound
0.001,fixed_core,CamB,0,10,2,1.22,1.79,1.4672131147540983,3.1584900852218225,2.1519439997761247,9.559170242783728e-11,3.0192544434779894e-10,0.9999997508262066,0.4995332087097969,14.560467271103137,1.6113933234000794e-09,16.90571832210152,22.03868798822721,18.62498728387555,22.038687987999754,True,True,-0.3097202291761874,-0.3241704781685742,True,False,False,False
0.001,fixed_core,CamB,1,10,2,1.06,1.79,1.6886792452830188,4.815500103504755,2.850330752506294,6.26986684369616e-11,3.0192544434779894e-10,0.9999997789153039,0.49956256772944396,10.991764102681202,1.40020373651329e-09,16.90571832210152,22.03868798822721,19.224919110768678,22.038687987878756,True,True,-0.3097202291761874,-0.3298102765093134,True,False,False,False
0.001,fixed_core,CamB,2,10,2,0.9,1.79,1.988888888888889,7.867403938236008,3.95346892330474,3.8376756388524164e-11,3.0192544434779894e-10,0.9999998061324908,0.4995935947694322,7.9239313226352275,1.1889716989265708e-09,16.90571832210152,22.03868798822721,19.84036556041232,22.03868798771473,True,True,-0.3097202291761874,-0.33549828860924313,True,False,False,False
0.001,fixed_core,D631-7,0,10,4,5.39,7.19,1.3339517625231911,1.8425113251686605,1.778574367873918,0.22560798816271696,0.41568527323832305,0.5604518956451983,0.4991680476131679,2874.3100041062207,2332.104134538012,1.847954775425991,0.7692628172098104,1.2838967784292714,0.5996107036993343,True,True,0.08196399769525334,0.06588244571882335,False,False,False,False
0.001,fixed_core,D631-7,1,10,4,4.94,7.19,1.4554655870445343,2.26627980999887,2.1171108390312368,0.18342186671050575,0.41568527323832305,0.5899058212011006,0.4992015822415462,2549.7174660386127,2137.6578239245086,1.847954775425991,0.7692628172098104,0.8831739728974315,0.47323333288156827,True,True,0.08196399769525334,0.05014973545797265,False,False,False,False
0.001,fixed_core,D631-7,2,10,4,4.49,7.19,1.601336302895323,2.8694930581422025,2.562434312426683,0.1448636622621594,0.41568527323832305,0.6194235885436361,0.4992362242653997,2215.547258671107,1943.1648732265558,1.847954775425991,0.7692628172098104,0.5267630516469406,0.4650334592555263,True,True,0.08196399769525334,0.028957871582404305,False,False,False,False
0.001,fixed_core,DDO064,0,10,3,2.08,2.98,1.4326923076923077,1.7842706423607106,2.0521149102218246,0.3839664181163781,0.6851000074974511,0.3051745531480148,0.4996664092243358,1733.5936651953984,1361.5248593706963,0.44548957068112144,0.12290780000979605,0.689166896144279,0.03273103244996314,True,True,0.09490546734416132,0.12026728114222252,False,False,False,False
0.001,fixed_core,DDO064,1,10,3,1.88,2.98,1.5851063829787235,2.1941806585951196,2.511825663278386,0.31223500435743695,0.6851000074974511,0.35293183696205044,0.49968175214946553,1559.7002594270948,1230.6746179216086,0.44548957068112144,0.12290780000979605,0.6657103424668223,0.03572731470404127,True,True,0.09490546734416132,0.11824557880343918,False,False,False,False
0.001,fixed_core,DDO064,2,10,3,1.68,2.98,1.773809523809524,2.812099832367529,3.145310129281466,0.2436257772970528,0.6851000074974511,0.40200509899621106,0.4996976960312731,1361.856537335695,1099.81042208531,0.44548957068112144,0.12290780000979605,0.5565764707064184,0.05551439899860821,True,True,0.09490546734416132,0.10825747049699398,False,False,False,False
0.001,fixed_core,DDO154,0,10,3,4.44,5.92,1.3333333333333333,1.2816876166302043,1.6695715911959945,0.6978979458081074,0.8944871548139087,-0.06865984397963332,0.3908568005859858,1846.4051487216914,1991.065452051405,2.8600427530334827,21.74156721562572,9.334124620728966,0.2892305387887426,True,True,-0.019542290125053693,0.056834046194754885,False,False,False,False
0.001,fixed_core,DDO154,1,10,3,3.95,5.92,1.4987341772151899,1.4957986858182328,2.0648342088604554,0.5979996929363564,0.8944871548139087,-0.0024227220275712114,0.3959621101037485,1778.3691584499277,1809.6361815557573,2.8600427530334827,21.74156721562572,19.423765066892283,2.2572558321043217,True,True,-0.019542290125053693,0.08414642622839123,False,False,False,False
0.001,fixed_core,DDO154,2,10,3,3.46,5.92,1.7109826589595376,1.8472067155325287,2.6332883614758886,0.48423771270019345,0.8944871548139087,0.07131943696093568,0.40140694050438097,1643.9952686522026,1619.9403935086827,2.8600427530334827,21.74156721562572,27.720226542604447,5.4313171459155525,True,True,-0.019542290125053693,0.09968101455435334,False,False,False,False
0.001,fixed_core,DDO161,0,10,7,10.05,13.37,1.3303482587064674,1.3962461321163786,1.748263900347171,0.5822953096321363,0.8130275738233793,0.08468752880436836,0.4785274626048367,2908.0845813042342,3741.1792471504496,3.9820725554437026,24.071295212343188,2.6812932008263517,0.40844653248532176,True,True,-0.030621483790383108,0.013886061552466997,False,False,False,False
0.001,fixed_core,DDO161,1,10,7,9.58,13.37,1.395615866388309,1.5033419993284178,1.9206614056721598,0.5408134504235098,0.8130275738233793,0.11153142028641239,0.4789971712333315,2833.425374319488,3572.4425185422187,3.9820725554437026,24.071295212343188,4.254077820971429,0.03042457989182567,True,True,-0.030621483790383108,0.021590559916062187,False,False,False,False
0.001,fixed_core,DDO161,2,10,7,9.11,13.37,1.4676180021953897,1.6331161256449278,2.120249069101358,0.4978381886360406,0.8130275738233793,0.13925692591864347,0.479475856832703,2742.8346957642802,3403.1125306836325,3.9820725554437026,24.071295212343188,5.862907862472716,0.1402841317703904,True,True,-0.030621483790383108,0.027804756115351305,False,False,False,False
0.001,fixed_core,DDO168,0,10,2,3.3,4.12,1.2484848484848485,1.5909867960752313,1.5583738468850123,0.2551371468886761,0.4059198318881904,0.546169955034481,0.4995076885546761,2778.6377776921486,2396.4818119543797,13.119604297939437,2.7420987767991716,11.690596784339446,3.2996973361376094,True,True,0.17307641375744348,0.16279513582840463,False,False,False,False
0.001,fixed_core,DDO168,1,10,2,2.89,4.12,1.42560553633218,2.1694739782427046,2.031685071281383,0.18710518584647393,0.4059198318881904,0.5920643318037202,0.49953779968798473,2326.805936225258,2098.9664463143563,13.119604297939437,2.7420987767991716,8.936241119801295,4.81532236978338,True,True,0.17307641375744348,0.14079110077976542,False,False,False,False
0.001,fixed_core,DDO168,2,10,2,2.47,4.12,1.6680161943319838,3.208283836892455,2.781054830227274,0.1265224190018563,0.4059198318881904,0.6392263380527075,0.49957026555703854,1840.953057726572,1794.1271722535962,13.119604297939437,2.7420987767991716,5.263676917080646,8.477709596002635,True,True,0.17307641375744348,0.1042308444355455,False,False,False,False
0.001,fixed_core,DDO170,0,10,2,9.34,12.33,1.3201284796573876,1.0919856263788652,1.4522357812737143,0.8984357618030989,0.9810789381137299,-0.3415763315953192,0.17170551109541665,2368.2007330072197,2601.3251090984263,54.1675233119939,1.3135354676205875,8.643420575362732,30.8653879575836,True,True,-0.11660277837898525,-0.04541576307506494,False,False,False,False
0.001,fixed_core,DDO170,1,10,2,7.85,12.33,1.5707006369426753,1.2371622076751023,1.8607012838057972,0.7930075232069942,0.9810789381137299,-0.2643300704477589,0.1876229133046965,2487.05853953455,2415.640644222625,54.1675233119939,1.3135354676205875,0.980913921658559,56.505208359621435,True,True,-0.11660277837898525,0.00039099380729244217,False,False,False,False
0.001,fixed_core,DDO170,2,10,2,6.35,12.33,1.941732283464567,1.579168178236976,2.5537029331102983,0.6212631128427571,0.9810789381137299,-0.15573262325089837,0.2064285572319321,2408.686064601628,2175.878002545487,54.1675233119939,1.3135354676205875,2.602405204621719,74.53649307494553,True,True,-0.11660277837898525,0.02905810882423462,False,False,False,False
0.001,fixed_core,ESO079-G014,0,4,3,11.65,16.67,1.4309012875536482,1.356579408912612,2.0447465236926825,0.6736647715394034,0.9138797575801736,-0.07443127743903655,0.4981367790222003,21086.789734601894,23465.632921540662,15.660278960280124,48.17110123119013,30.456658957301485,12.148398497857839,True,True,-0.04174038416622311,0.059643519243775034,False,False,False,False
0.001,fixed_core,ESO079-G014,1,4,3,10.04,16.67,1.660358565737052,1.6757963951272856,2.7519327487094616,0.5453405677667421,0.9138797575801736,0.009126544946581605,0.4982607833792341,19807.362462715326,20231.409805858413,15.660278960280124,48.17110123119013,70.44020937431013,35.03396132310687,True,True,-0.04174038416622311,0.09571346432714138,False,False,False,False
0.001,fixed_core,ESO079-G014,2,4,3,8.34,16.67,1.9988009592326141,2.32624738101745,3.986360692070048,0.3928557921386944,0.9138797575801736,0.10952961857354737,0.4983999267785846,17177.4884744188,16813.380212146312,15.660278960280124,48.17110123119013,98.11626563659854,50.897873199453635,True,True,-0.04174038416622311,0.11435493363431677,False,False,False,False
0.001,fixed_core,ESO116-G012,0,7,3,7.56,9.86,1.3042328042328042,1.216474352843535,1.6249412514688117,0.7528950605757525,0.9158775315729826,-0.1311262236793409,0.41386348967975395,8498.10310713822,10214.821319503655,1.3926647481822336,10.34635136384939,2.0703746193274757,0.6934180197185341,True,True,-0.03331734675130762,0.03565644248593002,False,False,False,False
0.001,fixed_core,ESO116-G012,1,7,3,6.81,9.86,1.447870778267254,1.371889030734545,1.9722898306148027,0.6676032179385516,0.9158775315729826,-0.07282662884559837,0.4175981364037098,8365.283293463453,9342.69962962158,1.3926647481822336,10.34635136384939,7.039290962341909,1.058453953821725,True,True,-0.03331734675130762,0.06480898277100489,False,False,False,False
