tier,model,fit_mode,galaxy,n_rows,n_train,n_outer,n_parameters,eta,chi2_data,prior_penalty,objective,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,halo_bound_hit,eta_bound_hit,nuisance_bound_hit,maximum_abs_pull,regime_ratio,guard_active,guard_refitted_here,optimizer_success,train_admissible,outer_admissible,current_display,nfw_reused_from_matched_tier
fixed_inputs,core,full,CamB,9,9,2,2,0.3,31.520431058890292,0.0,31.520431058890292,730.4200607095999,7459.107352059359,730.4200607095999,7459.107352059359,0.5,0.7,1.0,65.0,False,False,False,0.0,0.0010000000000000007,True,True,True,True,True,False,False
fixed_inputs,nfw,full,CamB,9,9,2,2,,42.06251418955232,0.0,42.06251418955232,4999.999999999986,458.2195959352333,4999.999999999986,458.2195959352333,0.5,0.7,1.0,65.0,True,False,False,0.0,2.3361778943421545e-06,False,False,True,True,True,False,False
fixed_inputs,core,full,D512-2,4,4,0,2,0.3,0.1844213799677884,0.0,0.1844213799677884,1.0248058535681177,38.43182063830989,1.0248058535681177,38.43182063830989,0.5,0.7,1.0,56.0,False,False,False,0.0,2.6546557001516732e-08,False,False,True,True,True,False,False
fixed_inputs,nfw,full,D512-2,4,4,0,2,,0.6267173551921775,0.0,0.6267173551921775,8.421254186285594,95.25693222917091,8.421254186285594,95.25693222917091,0.5,0.7,1.0,56.0,False,False,False,0.0,1.00960565818002e-07,False,False,True,True,True,False,False
fixed_inputs,core,full,D564-8,6,6,0,2,0.3,0.1846460211022876,0.0,0.1846460211022876,1.1796110804299544,26.98798175733618,1.1796110804299544,26.98798175733618,0.5,0.7,1.0,63.0,False,False,False,0.0,1.3090827515589874e-08,False,False,True,True,True,False,False
fixed_inputs,nfw,full,D564-8,6,6,0,2,,3.6223927253026913,0.0,3.6223927253026913,4999.999999998689,1334.1965370717942,4999.999999998689,1334.1965370717942,0.5,0.7,1.0,63.0,True,False,False,0.0,1.9806065563218618e-05,False,False,True,True,True,False,False
fixed_inputs,core,full,D631-7,16,16,4,2,0.3,10.394378961417544,0.0,10.394378961417544,3.373624092121282,70.60383246102097,3.373624092121282,70.60383246102097,0.5,0.7,1.0,59.0,False,False,False,0.0,8.959480658161127e-08,False,False,True,True,True,False,False
fixed_inputs,nfw,full,D631-7,16,16,4,2,,84.01357410172281,0.0,84.01357410172281,4999.999999995314,2033.0335859694928,4999.999999995314,2033.0335859694928,0.5,0.7,1.0,59.0,True,False,False,0.0,4.598833652885474e-05,False,False,True,True,True,False,False
fixed_inputs,core,full,DDO064,14,14,3,2,0.3,3.619885652796442,0.0,3.619885652796442,1.012429472443365,48.76889485718812,1.012429472443365,48.76889485718812,0.5,0.7,1.0,60.0,False,False,False,0.0,4.2747637043583366e-08,False,False,True,True,True,False,False
fixed_inputs,nfw,full,DDO064,14,14,3,2,,6.595885035689645,0.0,6.595885035689645,4999.999999974167,2605.6079859996757,4999.999999974167,2605.6079859996757,0.5,0.7,1.0,60.0,True,False,False,0.0,7.553995946089971e-05,False,False,True,True,True,False,False
fixed_inputs,core,full,DDO154,12,12,3,2,0.3,23.87386774135082,0.0,23.87386774135082,1.7487175581584489,50.95573156789018,1.7487175581584489,50.95573156789018,0.5,0.7,1.0,64.0,False,False,False,0.0,4.666726691476758e-08,False,False,True,True,True,True,False
fixed_inputs,nfw,full,DDO154,12,12,3,2,,117.71208076222048,0.0,117.71208076222048,17.34116772223445,143.19621595058578,17.34116772223445,143.19621595058578,0.5,0.7,1.0,64.0,False,False,False,0.0,2.2815063264933157e-07,False,False,True,True,True,True,False
fixed_inputs,core,full,DDO161,31,31,7,2,0.3,9.38655879799676,0.0,9.38655879799676,4.740974369608709,68.67093177210019,4.740974369608709,68.67093177210019,0.5,0.7,1.0,70.0,False,False,False,0.0,8.475633429796266e-08,False,False,True,True,True,False,False
fixed_inputs,nfw,full,DDO161,31,31,7,2,,33.319075563925146,0.0,33.319075563925146,71.60738092218912,224.0586469996153,71.60738092218912,224.0586469996153,0.5,0.7,1.0,70.0,False,False,False,0.0,5.585756664663287e-07,False,False,True,True,True,False,False
fixed_inputs,core,full,DDO168,10,10,2,2,0.3,26.031118340608877,0.0,26.031118340608877,1.7811925398481774,61.2213444701156,1.7811925398481774,61.2213444701156,0.5,0.7,1.0,63.0,False,False,False,0.0,6.736464267085865e-08,False,False,True,True,True,False,False
fixed_inputs,nfw,full,DDO168,10,10,2,2,,85.203725082123,0.0,85.203725082123,4999.999999999986,2466.919981133704,4999.999999999986,2466.919981133704,0.5,0.7,1.0,63.0,True,False,False,0.0,6.771247985319023e-05,False,False,True,True,True,False,False
fixed_inputs,core,full,DDO170,8,8,2,2,0.3,40.61069310985606,0.0,40.61069310985606,3.361579921732761,63.38070137098063,3.361579921732761,63.38070137098063,0.5,0.7,1.0,66.0,False,False,False,0.0,7.220052680512225e-08,False,False,True,True,True,False,False
fixed_inputs,nfw,full,DDO170,8,8,2,2,,12.969326322828968,0.0,12.969326322828968,13.3262962175451,127.02934687540474,13.3262962175451,127.02934687540474,0.5,0.7,1.0,66.0,False,False,False,0.0,1.795422752419782e-07,False,False,True,True,True,False,False
fixed_inputs,core,full,ESO079-G014,15,15,3,2,0.3,13.77829290658812,0.0,13.77829290658812,5.382141078072142,171.86541493140675,5.382141078072142,171.86541493140675,0.5,0.7,1.0,79.0,False,False,False,0.0,5.308884373829215e-07,False,False,True,True,True,False,False
fixed_inputs,nfw,full,ESO079-G014,15,15,3,2,,49.49539665201267,0.0,49.49539665201267,68.21782693981504,509.14639783149306,68.21782693981504,509.14639783149306,0.5,0.7,1.0,79.0,False,False,False,0.0,2.8843233458651962e-06,False,False,True,True,True,False,False
fixed_inputs,core,full,ESO116-G012,15,15,3,2,0.3,20.148373255957388,0.0,20.148373255957388,2.5968240509526668,115.89099516312618,2.5968240509526668,115.89099516312618,0.5,0.7,1.0,74.0,False,False,False,0.0,2.4139355420295867e-07,False,False,True,True,True,False,False
