tier,model,fit_mode,galaxy,radius_kpc,prediction_kms,catalogue_baryon_v2,fitted_baryon_v2,halo_v2,is_observed_radius
fixed_inputs,core,full,DDO154,0.49,12.516371693106061,89.75565,89.75565,66.90391035998671,True
fixed_inputs,core,full,DDO154,0.503609022556391,12.75654547910204,92.11947760908926,92.11947760908926,70.60997495130945,False
fixed_inputs,core,full,DDO154,0.5172180451127819,12.995360812887624,94.4686376867124,94.4686376867124,74.4107649704229,False
fixed_inputs,core,full,DDO154,0.5308270676691729,13.232843697296666,96.8024107057212,96.8024107057212,78.3057416113629,False
fixed_inputs,core,full,DDO154,0.5444360902255639,13.46901742627085,99.12007713896755,99.12007713896755,82.29435329022031,False
fixed_inputs,core,full,DDO154,0.5580451127819549,13.703902846482578,101.42091745930318,101.42091745930318,86.37603576653011,False
fixed_inputs,core,full,DDO154,0.5716541353383459,13.937518588575793,103.70421213958004,103.70421213958004,90.55021226731574,False
fixed_inputs,core,full,DDO154,0.5852631578947368,14.169881272134221,105.96924165264991,105.96924165264991,94.81629361373024,False
fixed_inputs,core,full,DDO154,0.5988721804511278,14.401005687854859,108.21528647136464,108.21528647136464,99.17367835026336,False
fixed_inputs,core,full,DDO154,0.6124812030075187,14.630904959880755,110.44162706857608,110.44162706857608,103.62175287648718,False
fixed_inputs,core,full,DDO154,0.6260902255639098,14.859590690811105,112.64754391713606,112.64754391713606,108.15989158130397,False
fixed_inputs,core,full,DDO154,0.6396992481203008,15.087073091541953,114.83231748989638,114.83231748989638,112.78745697963289,False
fixed_inputs,core,full,DDO154,0.6533082706766917,15.313361097786805,116.99522825970892,116.99522825970892,117.50379985150138,False
fixed_inputs,core,full,DDO154,0.6669172932330827,15.538462474869847,119.13555669942548,119.13555669942548,122.30825938351293,False
fixed_inputs,core,full,DDO154,0.6805263157894736,15.762383912167337,121.25258328189793,121.25258328189793,127.20016331265377,False
fixed_inputs,core,full,DDO154,0.6941353383458646,15.985131108387822,123.34558847997809,123.34558847997809,132.17882807236998,False
fixed_inputs,core,full,DDO154,0.7077443609022556,16.206708848726592,125.41385276651779,125.41385276651779,137.24355894087498,False
fixed_inputs,core,full,DDO154,0.7213533834586466,16.427121074796755,127.45665661436891,127.45665661436891,142.3936501916628,False
fixed_inputs,core,full,DDO154,0.7349624060150376,16.64637094812465,129.47328049638318,129.47328049638318,147.6283852461851,False
fixed_inputs,core,full,DDO154,0.7485714285714286,16.86446090789841,131.46300488541254,131.46300488541254,152.94703682862107,False
fixed_inputs,core,full,DDO154,0.7621804511278195,17.081392723575032,133.4251102543088,133.4251102543088,158.34886712269324,False
fixed_inputs,core,full,DDO154,0.7757894736842106,17.297167542879155,135.3588770759238,135.3588770759238,163.83312793050828,False
fixed_inputs,core,full,DDO154,0.7893984962406015,17.51178593566307,137.26358582310934,137.26358582310934,169.39906083337755,False
fixed_inputs,core,full,DDO154,0.8030075187969925,17.725247934042034,139.13851696871725,139.13851696871725,175.04589735454414,False
fixed_inputs,core,full,DDO154,0.8166165413533835,17.93755306917199,140.98295098559942,140.98295098559942,180.7728591237621,False
fixed_inputs,core,full,DDO154,0.8302255639097744,18.148700404996465,142.7961683466077,142.7961683466077,186.57915804371117,False
fixed_inputs,core,full,DDO154,0.8438345864661654,18.35868856925225,144.57744952459382,144.57744952459382,192.4639964581995,False
fixed_inputs,core,full,DDO154,0.8574436090225563,18.567515781991084,146.32607499240973,146.32607499240973,198.4265673220782,False
fixed_inputs,core,full,DDO154,0.8710526315789473,18.775179881847045,148.04132522290718,148.04132522290718,204.4660543728069,False
fixed_inputs,core,full,DDO154,0.8846616541353383,18.981678350256477,149.72248068893808,149.72248068893808,210.58163230365744,False
fixed_inputs,core,full,DDO154,0.8982706766917292,19.18700833381434,151.36882186335419,151.36882186335419,216.77246693850677,False
fixed_inputs,core,full,DDO154,0.9118796992481203,19.391166664931433,152.97962921900745,152.97962921900745,223.0377154081406,False
fixed_inputs,core,full,DDO154,0.9254887218045112,19.59414988094022,154.55418322874957,154.55418322874957,229.376526328,False
fixed_inputs,core,full,DDO154,0.9390977443609022,19.795954241783726,156.09176436543245,156.09176436543245,235.78803997736267,False
fixed_inputs,core,full,DDO154,0.9527067669172933,19.996575746407576,157.59165310190792,157.59165310190792,242.27138847990778,False
