r,vc2_field_isolated,vc2_baryon,vc2_field_deformed,vc_total_unchanged_field,vc_total_deformed,vc_total_spherical
7.83,0.338900178308461,0.0307593870624246,0.338908009946785,0.60799635309012,0.608002793586682,0.608002793586682
7.84,0.338468168440351,0.0307275083493883,0.338475840837598,0.607614743723142,0.607621057228093,0.607621057228093
7.85,0.338037254083103,0.0306956857156488,0.338044770419563,0.607233842764673,0.607240031729803,0.607240031729803
7.86,0.337607431155243,0.0306639190579955,0.337614794549327,0.606853648100791,0.606859714931979,0.606859714931979
7.87,0.337178695594146,0.0306322082731546,0.337185909103579,0.606474157625286,0.606480104683355,0.606480104683355
7.88,0.336751043355955,0.0306005532577929,0.336758109977773,0.60609536923965,0.606101198840232,0.606101198840232
7.89,0.336324470415491,0.0305689539085219,0.336331393089082,0.60571728085305,0.605722995268963,0.605722995268963
7.9,0.335898972766173,0.0305374101219016,0.335905754372544,0.605339890382317,0.605345491842837,0.605345491842837
7.91,0.335474546419931,0.0305059217944445,0.335481189783893,0.604963195751919,0.604968686444462,0.604968686444462
7.92,0.335051187407119,0.030474488822619,0.335057695298379,0.604587194893953,0.60459257696485,0.60459257696485
7.93,0.33462889177644,0.0304431111028534,0.334635266909609,0.604211885748115,0.604217161302509,0.604217161302509
7.94,0.334207655594862,0.0304117885315393,0.334213900632186,0.603837266261698,0.60384243736568,0.60384243736568
7.95,0.33378747494753,0.0303805210050355,0.333793592498253,0.60346333438956,0.60346840306953,0.60346840306953
7.96,0.333368345937679,0.0303493084196714,0.33337433856001,0.603090088094101,0.603095056338287,0.603095056338287
7.97,0.332950264686547,0.0303181506717504,0.33295613488866,0.602717525345246,0.602722395104421,0.602722395104421
7.98,0.332533227333294,0.0302870476575538,0.332538977573351,0.602345644120423,0.60235041730782,0.60235041730782
7.99,0.332117230034916,0.0302559992733435,0.332122862723541,0.601974442404542,0.601979120897797,0.601979120897797
8,0.331702268966165,0.0302250054153659,0.331707786465886,0.601603918189975,0.601608503830566,0.601608503830566
8.01,0.33128834031946,0.0301940659798553,0.331293744946487,0.601234069476536,0.601238564071153,0.601238564071153
8.02,0.330875440304822,0.0301631808630366,0.330880734329946,0.600864894271465,0.600869299592667,0.600869299592667
8.03,0.330463565149772,0.030132349961129,0.330468750798396,0.600496390589403,0.60050070837554,0.60050070837554
8.04,0.330052711099252,0.0301015731703493,0.330057790553624,0.600128556452367,0.600132788409343,0.600132788409343
8.05,0.329642874415541,0.0300708503869143,0.329647849814267,0.599761389889725,0.599765537690506,0.599765537690506
8.06,0.329234051378169,0.0300401815070448,0.329238924817818,0.59939488893818,0.599398954224032,0.599398954224032
8.07,0.328826238283839,0.0300095664269681,0.328831011819776,0.599029051641744,0.599033036022842,0.599033036022842
8.08,0.32841943144634,0.029979005042921,0.328424107092763,0.598663876051713,0.598667781107088,0.598667781107088
8.09,0.328013627196469,0.0299484972511532,0.328018206928422,0.598299360226653,0.598303187505779,0.598303187505779
8.1,0.327608821881959,0.0299180429479296,0.327613307634897,0.59793550223238,0.597939253254732,0.597939253254732
8.11,0.327205011867382,0.0298876420295336,0.327209405538619,0.597572300141929,0.597575976398109,0.597575976398109
8.12,0.326802193534073,0.02985729439227,0.32680649698354,0.597209752035533,0.597213354987822,0.597213354987822
8.13,0.326400363280043,0.0298269999324675,0.32640457833033,0.596847856000598,0.596851387082913,0.596851387082913
8.14,0.3259995175199,0.0297967585464815,0.326003645958076,0.596486610131679,0.596490070751021,0.596490070751021
8.15,0.325599652684767,0.0297665701306971,0.325603696262011,0.596126012530459,0.596129404066523,0.596129404066523
8.16,0.325200765222204,0.0297364345815316,0.325204725655103,0.595766061305724,0.59576938511192,0.59576938511192
8.17,0.324802851596122,0.0297063517954369,0.324806730567376,0.595406754573341,0.595410011977304,0.595410011977304
8.18,0.32440590828672,0.0296763216689025,0.324409707445167,0.595048090456244,0.595051282759788,0.595051282759788
8.19,0.324009931790389,0.029646344098458,0.324013652752644,0.594690067084399,0.594693195564824,0.594693195564824
8.2,0.323614918619632,0.0296164189806754,0.323618562969773,0.59433268259478,0.594335748504537,0.594335748504537
8.21,0.323220865302987,0.0295865462121717,0.323224434593723,0.593975935131348,0.593978939698955,0.593978939698955
8.22,0.322827768384946,0.0295567256896115,0.322831264138257,0.593619822845024,0.593622767275539,0.593622767275539
8.23,0.322435624425875,0.0295269573097092,0.322439048133055,0.593264343893668,0.593267229368658,0.593267229368658
8.24,0.322044430001933,0.0294972409692315,0.322047783125071,0.59290949644205,0.592912324120778,0.592912324120778
8.25,0.321654181705002,0.0294675765649998,0.321657465676701,0.592555278661832,0.592558049680958,0.592558049680958
8.26,0.321264876142607,0.0294379639938924,0.321268092367034,0.59220168873155,0.592204404205952,0.592204404205952
8.27,0.320876509937838,0.0294084031528467,0.320879659791301,0.591848724836579,0.591851385859785,0.591851385859785
8.28,0.320489079729265,0.0293788939388618,0.320492164560264,0.591496385169112,0.591498992813281,0.591498992813281
8.29,0.320102582170863,0.0293494362490004,0.320105603301417,0.591144667928133,0.591147223245122,0.591147223245122
8.3,0.319717013931932,0.029320029980391,0.319719972657346,0.590793571319393,0.590796075340499,0.590796075340499
8.31,0.319332371697025,0.0292906750302302,0.319335269286836,0.590443093555386,0.590445547292099,0.590445547292099
8.32,0.318948652165864,0.0292613712957847,0.318951489864376,0.590093232855325,0.590095637299719,0.590095637299719
8.33,0.318565852053274,0.0292321186743934,0.318568631079601,0.589743987445118,0.589746343569839,0.589746343569839
8.34,0.318183968089103,0.0292029170634695,0.318186689638363,0.589395355557348,0.589397664316573,0.589397664316573
8.35,0.317802997018149,0.0291737663605024,0.317805662261252,0.589047335431246,0.589049597760456,0.589049597760456
8.36,0.317422935599946,0.0291446664630599,0.317425545684587,0.588699925312553,0.588702142129317,0.588702142129317
8.37,0.317043780609165,0.02911561726879,0.31704633665996,0.588353123453896,0.588355295657947,0.588355295657947
8.38,0.316665528834903,0.0290866186754228,0.31666803195373,0.588006928114224,0.588009056587696,0.588009056587696
8.39,0.316288177080985,0.0290576705807726,0.316290628347978,0.587661337559106,0.587663423167335,0.587663423167335
8.4,0.315911722165801,0.0290287728827395,0.315914122639179,0.58731635006063,0.58731839365196,0.58731839365196
8.41,0.315536160922237,0.0289999254793115,0.315538511639071,0.586971963897381,0.586973966303773,0.586973966303773
