r,vc2_field_isolated,vc2_baryon,vc2_field_deformed,vc_total_unchanged_field,vc_total_deformed,vc_total_spherical
0.1,0.00332671460136901,0.00957528559493841,0.013899412948842,0.113586971947963,0.153214550692095,0.153214550692095
0.11,0.00402364536264066,0.011577208536582,0.0167961879581246,0.124903378253843,0.168444045589943,0.168444045589943
0.12,0.00478628285839379,0.0137662668863377,0.0199620494827414,0.136207744804514,0.183652705858311,0.183652705858311
0.13,0.00561444568474985,0.0161415083425352,0.0233959556554571,0.147498996699249,0.198840297721544,0.198840297721544
0.14,0.0065079369564533,0.0187019015761905,0.0270950905884679,0.158776064104902,0.21400231812917,0.21400231812917
0.15,0.00746654437965607,0.0214463371588208,0.0310580846625578,0.170037882657003,0.229138433749946,0.229138433749946
0.16,0.00849004033035198,0.0243736285575577,0.0352824675525064,0.18128339385589,0.244245974603604,0.244245974603604
0.17,0.00957818193842151,0.0274825131960148,0.0397657252562933,0.192511545457503,0.259322653179987,0.259322653179987
0.18,0.0107307111772446,0.0307716535792674,0.0445058779317512,0.203721291858539,0.274367511762998,0.274367511762998
0.19,0.0119473549588361,0.0342396384812143,0.0494996626275636,0.214911594475613,0.289377437110736,0.289377437110736
0.2,0.0132278252344556,0.0378849841925019,0.0547448054337173,0.226081422118133,0.304351424550994,0.304351424550994
0.21,0.0145718191006423,0.0417061358271089,0.0602382205053783,0.23722975135457,0.319287263028902,0.319287263028902
0.22,0.0159790189106204,0.0457014686856118,0.0659767453212773,0.248355566871839,0.334182905018927,0.334182905018927
0.23,0.0174490923910189,0.0498692896730763,0.0719576058124963,0.259457861827494,0.349037097577854,0.349037097577854
0.24,0.0189816927638476,0.0542078387694516,0.0781770258060581,0.270535638194489,0.363847309424585,0.363847309424585
0.25,0.0205764588736687,0.0587152905502805,0.0846319669296064,0.281587907098208,0.378612278564611,0.378612278564611
0.26,0.0222330153198987,0.0633897557554772,0.0913187490371266,0.292613689145562,0.393330020202633,0.393330020202633
