r,vc2_field_isolated,vc2_baryon,vc2_field_deformed,vc_total_unchanged_field,vc_total_deformed,vc_total_spherical
5.88,0.450530077756564,1.14469790309098,0.454942249524425,1.26302334928834,1.26476881390055,1.26333120206824
5.89,0.449779463787355,1.14337044487093,0.454157218293081,1.26220042333153,1.26393340930763,1.26250229369338
5.9,0.449031140317451,1.14204491073753,0.453374914501023,1.26137863112349,1.26309929349935,1.26167463256909
5.91,0.448285100039054,1.14072130437489,0.452595323836851,1.26055797344428,1.26226646482101,1.26084821738476
5.92,0.44754133562456,1.13939962936177,0.451818432090206,1.2597384510232,1.26143492160792,1.26002304681623
5.93,0.446799839727748,1.13807988917291,0.451044225153814,1.25892006453971,1.26060466218665,1.25919911952584
5.94,0.446060604984945,1.13676208718042,0.450272689013654,1.25810281462421,1.25977568487174,1.25837643416277
5.95,0.445323624016143,1.13544622665515,0.449503809759618,1.25728670185892,1.25894798797042,1.25755498936325
5.96,0.444588889426107,1.13413231076804,0.44873757357516,1.25647172677866,1.25812156977901,1.25673478375068
5.97,0.443856393805458,1.13282034259143,0.447973966740418,1.25565788987163,1.2572964285847,1.25591581593601
5.98,0.443126129731746,1.13151032510038,0.44721297563414,1.25484519158027,1.25647256266682,1.25509808451778
5.99,0.442398089770478,1.13020226117397,0.446454586724358,1.25403363230196,1.2556499702936,1.25428158808244
6,0.441672266476129,1.12889615359658,0.445698786578513,1.25322321238984,1.25482864972676,1.25346632520455
6.01,0.440948652393138,1.12759200505912,0.444945561853618,1.25241393215353,1.25400859921802,1.25265229444689
6.02,0.440227240056894,1.12628981816036,0.444194899299225,1.2516057918599,1.25318981701081,1.25183949436083
6.03,0.439508021994672,1.12498959540806,0.443446785759265,1.2507987917338,1.25237230134147,1.25102792348633
6.04,0.438790990726564,1.12369133922027,0.44270120816317,1.24999293195875,1.25155605043619,1.25021758035229
6.05,0.43807613876639,1.12239505192651,0.441958153535518,1.2491882126777,1.25074106251535,1.24940846347672
6.06,0.437363458622597,1.12110073576894,0.441217608986663,1.24838463399368,1.24992733579021,1.24860057136682
6.07,0.43665294279912,1.11980839290357,0.44047956171557,1.24758219597054,1.24911486846452,1.24779390251935
6.08,0.435944583796227,1.11851802540137,0.439743999011561,1.24678089863359,1.2483036587357,1.24698845542066
6.09,0.435238374111357,1.11722963524947,0.439010908245874,1.24598074197029,1.24749370479187,1.24618422854695
6.1,0.434534306239936,1.11594322435229,0.438280276880836,1.24518172593089,1.24668500481602,1.24538122036447
6.11,0.433832372676169,1.1146587945326,0.437552092460954,1.2443838504291,1.24587755698285,1.24457942932962
6.12,0.433132565913806,1.11337634753268,0.436826342615611,1.24358711534274,1.24507135946029,1.24377885388924
6.13,0.432434878446904,1.11209588501542,0.436103015060728,1.24279152051433,1.24426641041063,1.24297949248069
6.14,0.431739302770579,1.11081740856536,0.435382097590741,1.24199706575174,1.2434627079877,1.24218134353207
6.15,0.431045831381719,1.10954091968977,0.434663578087315,1.2412037508288,1.24266025034081,1.24138440546241
6.16,0.430354456779686,1.1082664198197,0.433947444510882,1.24041157548589,1.24185903561176,1.24058867668175
6.17,0.429665171467007,1.10699391031104,0.433233684903207,1.23962053943053,1.24105906193632,1.23979415559146
6.18,0.42897796795006,1.10572339244553,0.432522287388959,1.23883064233801,1.24026032744521,1.23900084058426
6.19,0.428292838739721,1.10445486743178,0.431813240168087,1.23804188385188,1.23946283026151,1.23820873004445
6.2,0.427609776351997,1.10318833640627,0.431106531524113,1.2372542635846,1.23866656850436,1.23741782234811
6.21,0.426928773308662,1.10192380043432,0.430402149816076,1.23646778111804,1.23787154028615,1.23662811586314
6.22,0.426249822137874,1.10066126051112,0.429700083480976,1.23568243600409,1.23707774371383,1.23583960894959
6.23,0.425572915374757,1.09940071756265,0.429000321035272,1.23489822776511,1.23628517688999,1.23505229995963
6.24,0.424898045561988,1.09814217244665,0.428302851067625,1.23411515589455,1.23549383791028,1.23426618723784
6.25,0.424225205250356,1.09688562595357,0.427607662246794,1.23333321985744,1.23470372486697,1.23348126912134
6.26,0.423554386999331,1.09563107880749,0.426914743313964,1.2325524190909,1.23391483584624,1.23269754393985
6.27,0.422885583377593,1.09437853166705,0.42622408308508,1.23177275300465,1.23312716892952,1.231915010016
6.28,0.422218786963547,1.09312798512636,0.425535670452263,1.23099422098152,1.2323407221944,1.23113366566528
6.29,0.421553990345845,1.09187943971587,0.424849494376919,1.23021682237795,1.23155549371223,1.23035350919637
6.3,0.420891186123889,1.0906328959033,0.424165543897238,1.22944055652446,1.23077148155152,1.22957453891119
6.31,0.420230366908309,1.08938835409448,0.423483808120903,1.22866542272614,1.22998868377534,1.228796753105
6.32,0.419571525321431,1.08814581463426,0.422804276227309,1.22789142026308,1.22920709844256,1.22802015006668
6.33,0.418914653997742,1.08690527780731,0.422126937468913,1.22711854839093,1.22842672360879,1.22724472807869
6.34,0.418259745584345,1.085666743839,0.421451781164669,1.22634680634124,1.22764755732404,1.22647048541737
6.35,0.417606792741388,1.08443021289623,0.420778796707172,1.22557619332199,1.22686959763595,1.22569742035299
6.36,0.416955788142484,1.08319568508823,0.420107973555718,1.22480670851801,1.22609284258736,1.22492553114984
6.37,0.416306724475126,1.08196316046742,0.419439301238415,1.2240383510914,1.22531729021745,1.22415481606652
6.38,0.415659594441097,1.08073263903017,0.418772769353469,1.22327112018198,1.22454293856264,1.22338527335586
6.39,0.415014390756856,1.07950412071762,0.418108367562927,1.2225050149077,1.22376978565437,1.22261690126523
6.4,0.414371106153907,1.07827760541647,0.417446085599498,1.22174003436507,1.22299782952218,1.22184969803657
6.41,0.413729733379175,1.07705309295971,0.416785913259923,1.22097617762956,1.22222706819135,1.2210836619065
6.42,0.413090265195372,1.07583058312744,0.416127840406996,1.22021344375597,1.22145749968406,1.22031879110657
6.43,0.412452694381296,1.07461007564761,0.415471856970791,1.2194518317789,1.22068912202018,1.2195550838632
6.44,0.411817013732321,1.07339157019674,0.414817952942702,1.21869134071309,1.21992193321517,1.21879253839793
6.45,0.411183216060519,1.0721750664007,0.414166118381931,1.21793196955381,1.21915593128305,1.21803115292752
6.46,0.410551294195093,1.07096056383541,0.413516343409186,1.21717371727724,1.21839111423409,1.217270925664
6.47,0.409921240982662,1.06974806202756,0.412868618208599,1.21641658284086,1.21762748007597,1.21651185481491
