galaxy,model,n_inner,n_outer,outer_loss,inner_loss,outer_rms_kms,invalid_outer_rows,invalid_inner_rows,inference_allowed
CamB,adaptive_conservative,7,2,16.905718321589262,1.1213117641580914,6.167484594514675,0,0,False
CamB,adaptive_primary,7,2,16.905718321589262,1.1213117641580914,6.167484594514675,0,0,True
CamB,baryon_only,7,2,23.613066862697867,1.1726424619446496,7.288991730072836,0,0,True
CamB,compact_plummer,7,2,16.905718321589262,1.1213117641580914,6.167484594514675,0,0,True
CamB,core,7,2,16.905718321589262,1.1213117641580914,6.167484594514675,0,0,False
CamB,envelope_a0.5,7,2,16.905718321589262,1.1213117641580914,6.167484594514675,0,0,False
CamB,envelope_a1,7,2,16.905718321589262,1.1213117641580914,6.167484594514675,0,0,False
CamB,envelope_a2,7,2,16.905718321589262,1.1213117641580914,6.167484594514675,0,0,False
CamB,extended,7,2,16.90571832158926,1.121311764158092,6.167484594514674,0,0,True
CamB,inverse_extended,7,2,2.804838774119153e-30,1.121311764158092,2.5121479338940403e-15,0,0,False
CamB,nfw,7,2,22.038687988227206,1.2332327316741483,7.041807152536288,0,0,True
CamB,posthoc_gate_80,7,2,16.90571832154023,1.1213117641580923,6.167484594505731,0,0,False
CamB,posthoc_gate_90,7,2,16.90571832154023,1.1213117641580923,6.167484594505731,0,0,False
CamB,posthoc_gate_95,7,2,16.90571832154023,1.1213117641580923,6.167484594505731,0,0,False
CamB,scalar_core,7,2,16.90571832154023,1.1213117641580923,6.167484594505731,0,0,True
D631-7,adaptive_conservative,12,4,1.8479547551244238,0.4424876268926865,5.39305106598572,0,0,False
D631-7,adaptive_primary,12,4,1.8479547551244238,0.4424876268926865,5.39305106598572,0,0,True
D631-7,baryon_only,12,4,109.1023259117705,113.64171331038597,39.36971346403505,0,0,True
D631-7,compact_plummer,12,4,1.8479547551244244,0.4424876268926865,5.393051065985721,0,0,True
D631-7,core,12,4,1.8479547551244238,0.4424876268926865,5.39305106598572,0,0,False
D631-7,envelope_a0.5,12,4,1.8479547551244238,0.4424876268926865,5.39305106598572,0,0,False
D631-7,envelope_a1,12,4,1.8479547551244238,0.4424876268926865,5.39305106598572,0,0,False
D631-7,envelope_a2,12,4,1.8479547551244238,0.4424876268926865,5.39305106598572,0,0,False
D631-7,extended,12,4,1.8479547551244244,0.4424876268926865,5.393051065985721,0,0,True
D631-7,inverse_extended,12,4,1.8479547551244244,0.4424876268926865,5.393051065985721,0,0,False
D631-7,nfw,12,4,0.7692628172098102,5.212062802726321,3.047686610884562,0,0,True
D631-7,posthoc_gate_80,12,4,1.8479547742625944,0.44248762689268667,5.393051093319352,0,0,False
D631-7,posthoc_gate_90,12,4,1.8479547742625944,0.44248762689268667,5.393051093319352,0,0,False
D631-7,posthoc_gate_95,12,4,1.8479547742625944,0.44248762689268667,5.393051093319352,0,0,False
D631-7,scalar_core,12,4,1.8479547742625944,0.44248762689268667,5.393051093319352,0,0,True
DDO064,adaptive_conservative,11,3,0.4454895711302016,0.291847011444503,4.574719146089808,0,0,False
DDO064,adaptive_primary,11,3,0.4454895711302016,0.291847011444503,4.574719146089808,0,0,True
