baseline,fit_mode,galaxy,n_rows,n_train,n_outer,n_parameters,fit_status,fit_success,train_admissible,outer_admissible,invalid_training_rows,invalid_outer_rows,chi2_data,prior_penalty,objective,ml_disk,ml_bulge,distance_ratio,inclination_deg,inclination_factor,parameters_json,parameter_names_json,disk_pull,bulge_pull,distance_pull,inclination_pull,maximum_abs_pull,nuisance_bound_hit,n_bound_parameters,kkt_relative,n_starts,near_best_starts,seconds
fixed,full,DDO170,8,8,2,0,fixed_inputs,True,True,True,0,0,4794.596828880253,0.0,4794.596828880253,0.5,0.7,1.0,66.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,DDO170,8,8,2,3,converged,True,True,True,0,0,104.58728794711715,53.14501000992545,157.7322979570426,1.0054810389230997,0.7,2.8,85.72413007814652,1.091589492331345,"[2.0109620778461994, 6.0, 2.817732868306644]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",3.034038808715186,0.0,6.0,2.817732868306644,6.0,True,1,1.5185326673786754e-09,10,10,0.011003494262695312
fixed,full,ESO079-G014,15,15,3,0,fixed_inputs,True,True,True,0,0,5927.188462785567,0.0,5927.188462785567,0.5,0.7,1.0,79.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,ESO079-G014,15,15,3,3,converged,True,True,True,0,0,106.68194287888655,19.179763523769633,125.86170640265618,0.8232084357605793,0.7,1.9358367576674969,82.3860649686082,1.009735020875724,"[1.6464168715211587, 3.745957453982868, 0.6772129937216401]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",2.1653980783806004,0.0,3.745957453982868,0.6772129937216401,3.745957453982868,False,0,3.791257511234028e-09,10,10,0.018997907638549805
fixed,full,ESO116-G012,15,15,3,0,fixed_inputs,True,True,True,0,0,4944.638747275469,0.0,4944.638747275469,0.5,0.7,1.0,74.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,ESO116-G012,15,15,3,3,converged,True,True,True,0,0,389.19325191431943,47.26585613509366,436.4591080494131,0.7472510654069113,0.7,2.8,82.60166073717022,1.0316388339822353,"[1.4945021308138227, 6.0, 2.867220245723406]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",1.744965385790636,0.0,6.0,2.867220245723406,6.0,True,1,4.148845807595093e-08,10,10,0.013997077941894531
fixed,full,ESO444-G084,7,7,0,0,fixed_inputs,True,True,True,0,0,1994.7216843880326,0.0,1994.7216843880326,0.5,0.7,1.0,32.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,ESO444-G084,7,7,0,3,converged,True,True,True,0,0,192.55696846341576,91.09773917044902,283.65470763386475,1.3676645991627876,0.7,1.5962732919254659,68.0,1.7496700292796976,"[2.735329198325575, 6.0, 6.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",4.370096013870749,0.0,6.0,6.0,6.0,True,2,2.974747112182466e-10,10,10,0.009000778198242188
fixed,full,ESO563-G021,30,30,6,0,fixed_inputs,True,True,True,0,0,7372.027061257691,0.0,7372.027061257691,0.5,0.7,1.0,83.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,ESO563-G021,30,30,6,3,converged,True,True,True,0,0,984.5615277641587,38.50129725238301,1023.0628250165416,0.683567731069403,0.7,1.8980263157894737,85.43133218782808,1.0043085498178812,"[1.367135462138806, 6.0, 0.8104440626093566]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",1.3581154861661253,0.0,6.0,0.8104440626093566,6.0,True,1,9.561786596947459e-10,10,10,0.01800370216369629
fixed,full,F565-V2,7,7,0,0,fixed_inputs,True,True,True,0,0,302.9964339919946,0.0,302.9964339919946,0.5,0.7,1.0,60.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,F565-V2,7,7,0,3,converged,True,True,True,0,0,31.849425042047194,70.59015832493112,102.43958336697833,1.990535852767486,0.7,2.084763754943606,83.23403515572004,1.146658820342657,"[3.981071705534972, 5.402957933276808, 2.323403515572003]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.999999999999999,0.0,5.402957933276808,2.323403515572003,5.999999999999999,True,1,6.941867003375352e-12,10,10,0.007998943328857422
fixed,full,F568-3,18,18,4,0,fixed_inputs,True,True,True,0,0,531.5581999834988,0.0,531.5581999834988,0.5,0.7,1.0,40.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,F568-3,18,18,4,3,converged,True,True,True,0,0,53.50801438451546,18.313268906775498,71.82128329129097,0.8494252625300296,0.7,1.1988077868239424,70.10593816258918,1.4628835168771495,"[1.6988505250600592, 1.988077868239424, 3.010593816258919]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",2.3015516874699213,0.0,1.988077868239424,3.010593816258919,3.010593816258919,False,0,1.8522251546437477e-09,10,10,0.014000892639160156
fixed,full,F568-V1,15,15,3,0,fixed_inputs,True,True,True,0,0,683.7108622397138,0.0,683.7108622397138,0.5,0.7,1.0,40.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
