galaxy,point_index,radius_kpc,radius_fraction_of_last,comparator,z_envelope,z_comparator,delta_squared,delta_absolute,delta_absolute_kms,comparison_valid,comparator_fit_failed
CamB,7,1.47,0.8212290502793296,scalar_core,-2.5838051903080044,-2.5838051903034276,2.3651303138194635e-11,4.576783396714745e-12,6.865175095072118e-12,True,False
CamB,8,1.79,1.0,scalar_core,-5.209163789104345,-5.209163789097203,7.440448257511889e-11,7.141842672808707e-12,1.071276400921306e-11,True,False
D631-7,12,5.84,0.8122392211404729,scalar_core,0.40516235389617655,0.40516236255483296,-7.016323300135241e-09,-8.658656402982245e-09,-2.8313806437751943e-08,True,False
D631-7,13,6.29,0.8748261474269818,scalar_core,0.8559355380178385,0.8559355455622824,-1.2915115310541125e-08,-7.54444384742925e-09,-2.9800553197345538e-08,True,False
D631-7,14,6.74,0.9374130737134909,scalar_core,1.495068321462301,1.495068329104492,-2.2851194714235135e-08,-7.642190880119415e-09,-3.1103716882086023e-08,True,False
D631-7,15,7.19,1.0,scalar_core,2.063930123914329,2.0639301320953343,-3.3770046314884894e-08,-8.181005206608916e-09,-3.223316051403913e-08,True,False
DDO064,11,2.27,0.761744966442953,scalar_core,0.6462489755714305,0.7109322000104058,-0.08778685458451235,-0.06468322443897534,-0.2988364969080661,True,False
DDO064,12,2.37,0.7953020134228188,scalar_core,0.5402600015654152,0.5872777932033377,-0.053014337098319875,-0.047017791637922524,-0.3164297377232186,True,False
DDO064,13,2.98,1.0,scalar_core,0.6562610213653911,0.69724379599263,-0.05547038288666584,-0.04098277462723887,-0.35450100052561623,True,False
DDO154,9,4.94,0.8344594594594595,scalar_core,-2.5145356292484666,-2.3686781818033142,0.712253101808928,0.1458574474451524,0.08751446846709142,True,False
DDO154,10,5.43,0.9172297297297297,scalar_core,-1.8407373769045323,-1.7181690117715833,0.43620933772123927,0.122568365132949,0.08579785559306428,True,False
DDO154,11,5.92,1.0,scalar_core,-0.19145070256385566,-0.13186061905199808,0.01926614865541777,0.05959008351185757,0.07746710856541485,True,False
DDO161,24,10.52,0.7868362004487659,scalar_core,-0.6219766956977878,-0.6040564202771606,0.02197085111308089,0.01792027542062724,0.05770328685441972,True,False
DDO161,25,10.99,0.8219895287958116,scalar_core,-0.598571157104966,-0.572681898473837,0.030322873278379736,0.02588925863112901,0.06135754295577575,True,False
DDO161,26,11.46,0.8571428571428572,scalar_core,-1.794059578459948,-1.7265883561357873,0.23754241952020605,0.0674712223241607,0.06409766120795266,True,False
DDO161,27,11.94,0.893044128646223,scalar_core,-1.9446371905262883,-1.8759464487345816,0.26243872425808723,0.06869074179170664,0.06594311212003838,True,False
DDO161,28,12.41,0.9281974569932686,scalar_core,-2.5298637582235957,-2.4622705413344423,0.337434416449808,0.06759321688915332,0.06691728472026179,True,False
DDO161,29,12.9,0.9648466716529545,scalar_core,-3.2935816797941255,-3.2029955723730095,0.5884996448343909,0.09058610742111606,0.06703371949162587,True,False
DDO161,30,13.37,1.0,scalar_core,-2.1387253790670697,-2.087922409373185,0.2147262595028554,0.05080296969388476,0.06655189029898903,True,False
DDO168,8,3.71,0.9004854368932038,scalar_core,2.522901935543845,2.5229019215863873,7.042659522227268e-08,1.3957457856150768e-08,3.489364464037692e-08,True,False
DDO168,9,4.12,1.0,scalar_core,4.458046052149629,4.458046038407601,1.2252518644118027e-07,1.3742027960006453e-08,3.7103475492017425e-08,True,False
DDO170,6,10.83,0.878345498783455,scalar_core,-1.9879645391448373,-3.4861350943257188,-8.201134886992044,-1.4981705551808815,-1.947621721735146,True,False
DDO170,7,12.33,1.0,scalar_core,-6.693260131159775,-9.807237568258238,-51.38217753688278,-3.1139774370984625,-3.1139774370984625,True,False
ESO079-G014,12,13.36,0.8014397120575883,scalar_core,-1.394429462993411,-1.3944294171852292,1.2775255497921023e-07,4.5808181914352986e-08,9.986183657328951e-08,True,False
ESO079-G014,13,15.06,0.9034193161367726,scalar_core,-3.2409999212850553,-3.2409998769701427,2.872492537164817e-07,4.431491262835152e-08,9.882225516122389e-08,True,False
ESO079-G014,14,16.67,1.0,scalar_core,-5.876421012873688,-5.876420965218699,5.600815526918268e-07,4.7654988399870035e-08,9.673962645173617e-08,True,False
ESO116-G012,12,8.32,0.8438133874239352,scalar_core,-0.5021583871840107,-0.4782392554975396,0.02345026032040587,0.02391913168647114,0.0502301765415894,True,False
ESO116-G012,13,9.090000000000002,0.9219066937119678,scalar_core,-1.3031479295165127,-1.3050337504925598,-0.004918563721502789,-0.001885820976047059,-0.004393962874189647,True,False
ESO116-G012,14,9.86,1.0,scalar_core,-1.483928081064876,-1.4987222540770282,-0.044125845092842564,-0.014794173012152134,-0.07012438007760112,True,False
ESO563-G021,24,33.91,0.799575571799104,scalar_core,-1.6296216462807458,-2.487638125376669,-3.5326767328007804,-0.8580164790959233,-13.64246201762518,True,False
ESO563-G021,25,35.65,0.8406036312190521,scalar_core,-4.306043333948059,-6.004306662384819,-17.5096893021202,-1.6982633284367594,-14.995665190096586,True,False
ESO563-G021,26,37.3,0.8795095496345202,scalar_core,-5.516532285280604,-7.573167701136892,-26.920740574999797,-2.056635415856288,-16.20628707694755,True,False
