galaxy,extended,scalar_core,compact_plummer,nfw,baryon_only,profiled_baryons,adaptive_primary
CamB,16.90571832158926,16.90571832154023,16.905718321589262,22.038687988227206,23.613066862697867,22.038693442917573,16.905718321589262
D631-7,1.8479547551244244,1.8479547742625944,1.8479547551244244,0.7692628172098102,109.10232591177049,62.36546264316253,1.8479547551244238
DDO064,0.3800657119607107,0.4454895701505434,0.31983964645317264,0.1229078000095256,13.226302356588272,0.4932605528955738,0.4454895711302016
DDO154,3.2492856310018516,2.8600427682733236,3.048312585651938,21.741567215625707,1611.492219320944,1013.170365611059,3.2544055936624474
DDO161,4.223920453952181,3.982072569815494,4.522180853126215,24.071295212343184,947.3869820694363,130.33286801094667,3.98207256790972
DDO168,13.119604389728886,13.119604293252996,13.119604291990315,2.7420987767928735,132.53788130308465,21.76227239862757,13.11960433509488
DDO170,24.375867096135156,54.16752330807257,56.152253384381716,1.3135354676205908,847.7590910269892,60.91799042981648,24.375868056547763
ESO079-G014,15.66027931252575,15.66027898749796,15.660279308606782,48.17110123119022,1685.7502882923616,33.542180741530125,15.660279308606782
ESO116-G012,1.3841333739317687,1.3926647567630817,1.558018895535417,10.346351363849385,415.14342246717365,50.42279611061084,1.3926647454228627
ESO563-G021,22.618882866532825,43.788274011877924,43.78827185269659,1.6929467447847921,599.1129539396943,85.84125675042982,43.78827185269659
F568-3,3.048020830493618,3.048021125589856,3.048020830493618,0.038487721704269354,39.61726418077202,3.3117539189179706,3.048020831124534
F568-V1,0.8647872372906106,2.373312378203215,2.497164976427953,1.1245161148610092,22.672064860107856,0.9908231338817911,0.4005599083364048
F571-8,4.582737021658372,4.5827369353740846,4.582737013281906,22.251974009325384,662.5133231928752,372.17809673493167,4.582737013281906
F574-1,1.4202071242583487,3.5524529336874426,3.8428598015801025,3.245582652629231,120.57977595696146,1.2765869096758342,0.0034002603875285327
F583-1,3.622104131858324,3.622104121193425,3.6221041212044547,8.6527199186241,39.236097687932855,3.125718586659692,3.6221041253210884
F583-4,1.0955632296983981,4.496707119353793,4.888283716942181,0.11470738235392074,50.57742999706996,3.38733245952818,1.435669435635938
IC2574,2.0428906892863776,1.4801003096351335,1.7755684407765095,9.600929347606405,117.07613801825099,33.156943931651846,1.4801002784008173
IC4202,22.100007722292624,32.02934534313694,32.02934458555864,4.119906856155298,108.9017488879108,8.671732959126462,32.02934458555864
KK98-251,10.75413435181298,10.754134351861525,10.75413435181298,2.361968712782438,53.11240606821824,3.6148822295676717,10.754134351861529
NGC0024,55.63021245121686,137.2716434810228,136.601968984568,303.7729356088992,324.2897153239611,99.53579414241445,5.493751106048767
NGC0055,0.18555767875475027,0.18555767933078696,0.18555767875475027,4.895323998117299,95.2428769904138,10.5694794315582,0.18555767875475027
NGC0100,1.112105862488641,1.0976296223880733,1.1358218831481728,0.2761944353592156,54.2985842595034,15.587598444194185,1.1121058624432625
NGC0247,0.9904027062360568,0.9474316245277387,1.3740508255619417,0.14360458293476955,4.7083089754663225,3.79295055948109,0.9474316245279576
NGC0289,0.6400210753734689,0.6814491904721244,0.5966832670481286,4.192816884348642,59.05512524094985,4.715096015638988,0.6814491572901525
NGC0300,14.047834381479188,14.372749499900314,16.124244637028596,0.21833329166220744,305.6700501748341,111.15117988569209,4.274379227469812
NGC0801,22.326397275879497,36.52180018123596,40.557482365390214,7.740340007818728,282.7157229244833,149.05325793140364,35.655921446974126
NGC0891,2.024183703902788,2.024183701741245,2.024183703902788,4.824140716684242,592.0415477916838,81.48031869815279,2.024183703902788
NGC1003,16.054568624414188,12.637490540462679,12.637488564921654,3.6659983744625975,821.0354919783023,353.11124628546827,12.637488568235455
NGC1090,1.2299596034347124,0.4089735349505855,0.6518640064028117,1.2075614409932258,568.5506161223615,73.05027780005624,0.4089732062388286
NGC2403,152.99930662337604,152.99930721671686,154.1176059387919,18.994552812426505,2116.5957411628283,933.2367942009423,152.9993066235683
NGC2683,3.001826924829444,5.183807969049678,5.4438664528379235,0.041318041900506204,44.97940353403745,22.772389308412034,5.183807916541086
NGC2841,53.20786414017432,53.57628791920092,53.81337780843701,23.49549871057827,741.1303937334717,341.74569097549835,53.692112498949385
NGC2903,11.697688678001457,25.240265727065484,27.73076189155741,0.5159669166352362,699.8462604770845,230.69528933407076,11.697688674281519
NGC2915,5.866557480040799,5.866557488673028,5.866557480040799,0.07146935079341295,104.58644171918338,48.953513841448334,5.866557480040799
NGC2955,5.750789569368516,5.750786497668459,5.750789569368692,30.775505050546986,45.31680748609867,13.421186841925834,5.750789570490722
NGC2976,0.4412693706636886,0.4412693709756162,0.44126937027530433,1.4434228884469575,29.95470414159585,1.4434258557539483,0.4412693706636886
NGC2998,12.505503489247412,12.505503971775752,12.505503487097421,7.761412502661423,525.6254481170012,110.9870771978542,12.505503487097421
NGC3109,1.5652030013275087,1.3712930859704517,1.6641696250645654,5.035835746587415,203.60998802885192,112.07932838109056,1.3712930848659053
NGC3198,59.60787139299053,60.47409418264043,62.925275594084596,3.4084328840015217,1028.0723857734847,564.4220443605864,60.47409435213793
NGC3521,2.131940590586554,2.131940590534798,2.131940590586554,18.6795392558457,39.51861677312313,37.978546095855386,2.131940590578337
NGC3726,2.9203568393118995,2.7659133290840345,2.7659126574198147,0.6496500528630547,41.747327324948905,29.109442719569994,2.7659126574198147
NGC3741,11.437220210315015,8.761498570068833,9.637997831574008,0.7383936268785158,197.25040940343547,158.64526581854827,8.76149966265339
NGC3769,11.08481106850171,13.354735347981597,13.35473534643054,0.06603935358849639,48.60325280611509,25.76069667348469,13.35473534643054
NGC3877,3.3747416145489786,3.7955523931975925,3.7955518970093656,2.7984025489320583,123.318828070587,1.4487364517991395,3.7955518970093656
NGC3893,0.155650125326582,0.7104131573804617,0.7406100624536233,1.046760436421066,34.92305151986329,13.765199380669731,0.1556501302204691
NGC3917,1.7235434701870345,4.886222933492661,4.956310845307838,0.07398614108510464,207.8502407269634,10.102951238178104,1.7235434803045786
NGC3953,2.6765886289903458,3.4840977833104807,3.468978751888324,0.09527020198271194,42.300117181819914,1.4152103385676587,3.4840977798922825
NGC3972,1.037518789706803,8.284912513277575,9.23729718922413,0.07185313638001806,121.25744504179048,13.0018326868934,1.0375188085469014
NGC3992,0.4768864794153501,0.20094731866450782,0.5702727720229047,0.3967364940915934,91.5206010771193,45.45682368704184,0.5490178023209227
NGC4010,22.78697509676103,22.951239114357673,21.445868281887485,6.228878256667056,119.76525307846812,17.772897379323116,22.951239373762206
NGC4013,0.8775832207985182,0.7885942842843834,0.8362831676951712,0.5341591709585889,209.1216567618031,116.17372670557978,0.7885943122411408
NGC4088,1.2432872497043792,1.097085530566108,1.2379589654865608,0.402933490335998,51.7253279297499,28.828343070650817,1.2487996906119385
NGC4100,0.43599615736381764,0.5461120358546042,0.2996985827329179,3.320723469577586,50.97564871356222,14.992128029485201,1.479605567775926
NGC4157,0.12735265176360777,0.11509581177381747,0.11509581177713174,0.09829428897638061,43.76861647003531,23.086941159780324,0.14569995882207015
NGC4183,0.5924047495846523,6.964780953985013,8.270580789236966,0.279957639773927,64.76411019115865,13.284563114471315,1.280336567547843
NGC4217,0.4211093156075699,0.42110931559953424,0.4211093156075699,5.92218234256687,148.9999495404918,18.44827575010979,0.421109320359584
NGC4559,0.503014832722086,0.5205216752937699,0.4770278078636161,2.237113920238901,51.96304318094202,3.1112343196093972,0.5205216739494766
NGC5005,0.36563438107751334,0.42141241916298516,0.376412521511191,0.04564103298351438,7.127427660298386,2.328917689616163,0.42141242263603207
NGC5033,3.1285064557679925,9.551767377060267,10.496775677470632,12.154930160015532,678.5068541965845,112.66832942519218,9.551767490937726
NGC5055,426.6671585197344,427.9417898244761,428.25756381380506,1.5012595404274214,6819.454347985803,4490.429447967465,377.5457962149837
NGC5371,57.08250233696248,73.74324555070459,72.71724926449741,21.607942688273013,88.14293243056204,70.16672981923013,73.74324569177716
NGC5585,0.10119769364247226,0.10119763345065964,0.10119769364247226,61.7838950250881,789.869469991866,140.60439089166147,0.10119769364247226
NGC5907,2.251394909376308,2.251394922322021,2.806291402520261,10.174603994743375,356.95525537594216,162.51481270846028,2.2513949184439928
NGC5985,47.95939491236944,56.72713623035402,55.10903560286711,6.954402391323621,165.2463598309333,36.75385737656676,56.72713618166876
NGC6015,77.65371151250227,77.6537115165844,69.03058415689735,6.384722025823633,172.6264554848584,80.49398922949412,77.6537115165844
NGC6195,38.364986258244734,47.32973626007627,44.985840878698255,1.9707533744308783,60.59871464219043,57.86347724398077,47.32973573789356
