score,comparator,n_galaxies,n_points,effect,cluster_se,bootstrap_t_ci_low,bootstrap_t_ci_high,percentile_ci_low,percentile_ci_high,ci_crosses_zero,variance_effective_clusters,max_variance_share,max_variance_galaxy,leave_one_out_min,leave_one_out_max,leave_one_out_reversals,t_statistic,cluster_t_p_sensitivity,wild_exceedances,wild_draws,p_wild,p_holm4,Z_holm4,raw_MC_95low,raw_MC_95high,monte_carlo_floor,inference,rho
squared_standardized,scalar_core,131,659,-5.173613541761714,1.1534377540684462,-8.451370430350773,-3.2796817959035125,-7.611489862147784,-3.112265766851746,False,7.0413039119864695,0.2580800396667773,NGC0024,-5.239695785036432,-4.585399561084451,0,-4.485385989415695,1.5828881705444246e-05,0.0,99999.0,1e-05,4e-05,4.10747965458625,0.0,3.6888483035950746e-05,True,nominal_retrospective_fixed_prediction_mean_loss_test,
squared_standardized,compact_plummer,131,659,-5.01660066041775,1.192668952607561,-8.32344803981686,-3.0522866895389784,-7.514372427394545,-2.8574918764124857,False,7.476396880169667,0.23815518591144452,NGC0024,-5.258765927378546,-4.432330230625955,0,-4.206197075433074,4.802851180493644e-05,0.0,99999.0,1e-05,4e-05,4.10747965458625,0.0,3.6888483035950746e-05,True,nominal_retrospective_fixed_prediction_mean_loss_test,
squared_standardized,nfw,131,659,10.533192030098487,5.833652351947453,1.0690088524240196,27.668558795893258,0.09796172626779555,22.887226390978718,False,4.689978758745057,0.3175475027127823,UGC06787,7.23323057693239,12.523006762312185,0,1.80559131649012,0.07329618482017616,7145.0,99999.0,0.07146,0.07146,1.8025431002500614,0.06986170757957214,0.07306463132412885,False,nominal_retrospective_fixed_prediction_mean_loss_test,
squared_standardized,baryon_only,131,659,-391.80848862576215,65.3991998236485,-583.886196291703,-288.32197118669774,-531.7668744402667,-277.8707585311598,False,3.8557900506045586,0.49440704824618104,NGC5055,-394.8949274174238,-345.6471140039136,0,-5.991028784484964,1.918376402821334e-08,0.0,99999.0,1e-05,4e-05,4.10747965458625,0.0,3.6888483035950746e-05,True,nominal_retrospective_fixed_prediction_mean_loss_test,
absolute_standardized,scalar_core,131,659,-0.5313588411039906,0.08916876395845118,-0.7544963065804429,-0.3794795387027275,-0.7161705715951782,-0.3680785011419635,False,10.31483533325287,0.20226341918251797,UGC08286,-0.5393892214000701,-0.49110239885584045,0,,,,,,,,,,,,
absolute_standardized,compact_plummer,131,659,-0.5557809749308379,0.09400776288952113,-0.7909027870092082,-0.39551996440951726,-0.750070928708515,-0.38198136670368993,False,10.436938216367563,0.21543727903612145,UGC08286,-0.5681591350951294,-0.5119795622878524,0,,,,,,,,,,,,
absolute_standardized,nfw,131,659,0.623383498621172,0.24257880900756773,0.17661627260103752,1.147410892254868,0.16044641811944405,1.1104949640340853,False,15.330088596447416,0.16818027259791266,NGC5055,0.5235205564400642,0.6899421322902927,0,,,,,,,,,,,,
absolute_standardized,baryon_only,131,659,-11.984425622821183,0.8295274298006783,-13.739885976896414,-10.446875871195417,-13.641182377571074,-10.418034024628309,False,39.46307415607312,0.06679018282838109,NGC5055,-12.076449700406494,-11.769221276038868,0,,,,,,,,,,,,
absolute_kms,scalar_core,131,659,-2.346646928319349,0.38021451539124984,-3.3157903002829836,-1.7051540821530782,-3.1338757738244682,-1.6502368223920476,False,9.408481046891383,0.2349906558426553,UGC05253,-2.3783205414007282,-2.161627233110084,0,,,,,,,,,,,,
absolute_kms,compact_plummer,131,659,-2.419643225108403,0.40186229195373696,-3.436967201703715,-1.7420324162334304,-3.246559426836051,-1.679690820005848,False,9.518428393755242,0.21636247667537573,UGC11455,-2.463669233535727,-2.232000297338673,0,,,,,,,,,,,,
absolute_kms,nfw,131,659,2.423654588863807,0.9397043649054302,0.5683996876628876,4.298588400663402,0.5823276582014886,4.271960211487989,False,27.457547620247652,0.07992144088393975,UGC05253,2.1932638581732498,2.690332391732873,0,,,,,,,,,,,,
absolute_kms,baryon_only,131,659,-45.73754739824381,2.4619743441593425,-51.03211314829541,-41.24063880507,-50.64610930646493,-41.06036499190527,False,20.857968783222688,0.18060731407573957,ESO563-G021,-46.087561538061664,-44.68724305453827,0,,,,,,,,,,,,
correlated_quadratic,scalar_core,131,659,-3.3454329970889014,0.7484352916734255,-5.563210340539328,-2.139405947222066,-4.933497116275408,-2.0173062670581374,False,5.56911242311001,0.35610932109019316,NGC0024,-3.3820645719537987,-2.8970905061490915,0,,,,,,,,,,,,0.25
correlated_quadratic,compact_plummer,131,659,-3.280528412421224,0.782949221290178,-5.503775941026619,-2.0001587664797222,-4.933555055530787,-1.8699170650122103,False,6.2878438851581935,0.31485518838558013,NGC0024,-3.426148607767474,-2.839513783901152,0,,,,,,,,,,,,0.25
correlated_quadratic,nfw,131,659,6.563680904414947,4.085977650655093,0.00043327987816166313,17.91676637938159,-0.7152637159521751,15.274996688384583,False,3.5239056695856257,0.49256693482290603,NGC5055,3.6850062368731984,8.065040307133778,0,,,,,,,,,,,,0.25
correlated_quadratic,baryon_only,131,659,-251.13468107066916,53.50441376385415,-451.0432794094353,-173.07392606906637,-369.97520743305256,-164.411572561294,False,2.038478268213394,0.6955674834106219,NGC5055,-253.2003856381881,-206.34033331551035,0,,,,,,,,,,,,0.25
correlated_quadratic,scalar_core,131,659,-3.246268623655365,0.781900522306102,-5.721700239979762,-2.0168579744918023,-4.9208343486837265,-1.8837128890782184,False,4.149086416966869,0.45673839042824166,NGC0024,-3.279536306484706,-2.715812785660578,0,,,,,,,,,,,,0.5
correlated_quadratic,compact_plummer,131,659,-3.077376455612393,0.7997324821570799,-5.447752878502053,-1.7957017264506265,-4.780896496246104,-1.6568396935914866,False,4.759045827962025,0.41891571026738667,NGC0024,-3.2404313479161155,-2.5577729992412688,0,,,,,,,,,,,,0.5
correlated_quadratic,nfw,131,659,7.136340380652102,4.9015609074928355,-0.5559238237391781,20.763101366928765,-1.4413538158513455,17.691615280141356,True,2.810640578809768,0.5732402924249328,NGC5055,3.410993396955861,8.898603621966148,0,,,,,,,,,,,,0.5
correlated_quadratic,baryon_only,131,659,-251.18785277297562,67.78265446125341,-555.2288737880214,-155.8804004483609,-404.43629290620373,-146.52152786444483,False,1.631863844956009,0.7797020471368934,NGC5055,-253.33106043809744,-191.105506863654,0,,,,,,,,,,,,0.5
correlated_quadratic,scalar_core,131,659,-4.477652133906801,1.2388644454749804,-9.020728579790177,-2.6038567940160884,-7.169972835744481,-2.383288656493561,False,2.9567189489800345,0.557928343399642,NGC0024,-4.521604535894691,-3.5487350007641356,0,,,,,,,,,,,,0.75
correlated_quadratic,compact_plummer,131,659,-3.9976375260617085,1.224749299050326,-7.991957366573208,-2.1084092791723417,-6.644827949871051,-1.890512043421129,False,3.1385741618117633,0.5453435210172681,NGC0024,-4.272603238430828,-3.089720312434148,0,,,,,,,,,,,,0.75
correlated_quadratic,nfw,131,659,11.334662958548414,8.705721516075585,-1.979361448004811,35.82756738114523,-3.701670457907883,30.188006777547645,True,2.438671115788967,0.6219607872851679,NGC5055,4.442583995422102,14.392334137713702,0,,,,,,,,,,,,0.75
correlated_quadratic,baryon_only,131,659,-364.990190122115,124.49061739970723,-1038.7415480576549,-193.79619344762364,-648.8543426164861,-180.3950886714202,False,1.4561821193524649,0.8259237620558779,NGC5055,-368.22830201868874,-251.4183733798833,0,,,,,,,,,,,,0.75
