model,finite_points,failed_points,mean_squared_equal_galaxy,mean_abs_standardized_equal_galaxy,mean_abs_kms_equal_galaxy,fraction_abs_z_gt3,fraction_abs_z_gt5,finite_conditioning
extended,659,0,22.62838862398315,2.5919357538803993,10.532670418609808,0.22825162999407939,0.13916209449730857,False
scalar_core,659,0,27.80200216574486,3.1232945949843893,12.879317346929156,0.29126507964875037,0.17553674613913578,False
compact_plummer,659,0,27.6449892844009,3.1477167288112367,12.952313643718211,0.2973174242507134,0.17434324074715712,False
nfw,659,0,12.095196593884664,1.9685522552592265,8.109015829746001,0.17850496849833059,0.09445081691181924,False
baryon_only,659,0,414.4368772497452,14.576361376701586,56.270217816853645,0.9436307543177771,0.8547024858093559,False
profiled_baryons,654,5,145.5973471988108,7.301714439972413,28.4060521879074,0.6247874988259604,0.4543174133558749,True
adaptive_primary,659,0,24.13499037154903,2.6608400528755487,11.050924094353869,0.23270455620273078,0.1459111554448428,False
