comparator,galaxy,delta_galaxy_loss,mean_contribution,variance_share,mean_without,reverses_direction
scalar_core,CamB,4.902744876744691e-11,3.742553341026482e-13,0.0011813674383105062,-5.213410569006412,False
scalar_core,D631-7,-1.9138169937704674e-08,-1.4609290028782194e-10,0.0011813674295479148,-5.213410568858818,False
scalar_core,DDO064,-0.0654238581898327,-0.0004994187648078832,0.0011516779667874641,-5.21290730855842,False
scalar_core,DDO154,0.38924286272852804,0.002971319562813191,0.0013658176668317468,-5.216404744873178,False
scalar_core,DDO161,0.24184788413668734,0.0018461670544785292,0.0012943983790248107,-5.215270937345547,False
scalar_core,DDO168,9.647589038763726e-08,7.364571785315822e-10,0.0011813674823476406,-5.213410569748158,False
scalar_core,DDO170,-29.79165621193741,-0.22741722299188863,0.026748785441533914,-4.984243982760363,False
scalar_core,ESO079-G014,3.2502778957166356e-07,2.4811281646691874e-09,0.0011813675867248926,-5.213410571506249,False
scalar_core,ESO116-G012,-0.00853138283131294,-6.51250597810148e-05,0.0011774744579481143,-5.213344942984256,False
scalar_core,ESO563-G021,-21.1693911453451,-0.16159840568965725,0.01129295874483066,-5.050569098657227,False
scalar_core,F568-3,-2.950962381120803e-07,-2.2526430390235138e-09,0.0011813673035207723,-5.213410566736064,False
scalar_core,F568-V1,-1.5085251409126044,-0.011515459090935912,0.000592878819166079,-5.201806529460553,False
scalar_core,F571-8,8.628428727064374e-08,6.586586814552958e-10,0.0011813674776932424,-5.213410569669761,False
scalar_core,F574-1,-2.1322458094290937,-0.01627668556816102,0.0004082581797016008,-5.1970086781642735,False
scalar_core,F583-1,1.0664899185997001e-08,8.141144416791604e-11,0.001181367443158663,-5.213410569088072,False
scalar_core,F583-4,-3.401143889655395,-0.025962930455384694,0.00013866110058806725,-5.187247923700994,False
scalar_core,IC2574,0.5627903796512441,0.004296109768330108,0.0014523673427037052,-5.217739725772583,False
scalar_core,IC4202,-9.929337620844315,-0.07579647038812454,0.0009982293294177194,-5.137031048845694,False
scalar_core,KK98-251,-4.8546056063969445e-11,-3.7058058064098813e-13,0.0011813674382659452,-5.213410569005662,False
scalar_core,NGC0024,-81.64143102980594,-0.6232170307618774,0.2580800396667773,-4.585399561084451,False
scalar_core,NGC0055,-5.760366905693814e-10,-4.397226645567797e-12,0.001181367438025046,-5.213410569001604,False
scalar_core,NGC0100,0.014476240100567805,0.000110505649622655,0.0011879878341416702,-5.213521924699116,False
scalar_core,NGC0247,0.04297108170831809,0.0003280235244909778,0.0012010733777328031,-5.213741115788406,False
scalar_core,NGC0289,-0.041428115098655516,-0.00031624515342485127,0.0011625234047850281,-5.213091891197584,False
scalar_core,NGC0300,-0.3249151184211261,-0.002480268079550581,0.0010376415956258212,-5.210911221941257,False
scalar_core,NGC0801,-14.195402905356463,-0.10836185423936232,0.003592381021268477,-5.104215162041754,False
scalar_core,NGC0891,2.1615429446342205e-09,1.650032782163527e-11,0.0011813674392752696,-5.213410569022662,False
scalar_core,NGC1003,3.417078083951509,0.026084565526347397,0.0032572664528759255,-5.239695785036432,False
scalar_core,NGC1090,0.8209860684841269,0.006267069225069671,0.0015860518805290956,-5.219725846455913,False
scalar_core,NGC2403,-5.933408147029695e-07,-4.529319196205874e-09,0.0011813671673156234,-5.213410564441875,False
scalar_core,NGC2683,-2.1819810442202336,-0.01665634384900942,0.0003950149308056472,-5.19662609943511,False
scalar_core,NGC2841,-0.3684237790265996,-0.0028123952597450355,0.0010191030779534752,-5.2105765399366,False
scalar_core,NGC2903,-13.542577049064027,-0.10337845075621395,0.0030912944574618003,-5.1092368993978505,False
scalar_core,NGC2915,-8.63222826552601e-09,-6.589487225592374e-11,0.0011813674343458679,-5.213410568939633,False
scalar_core,NGC2955,3.0717000569779884e-06,2.3448092037999912e-08,0.0011813688411016331,-5.213410592634497,False
scalar_core,NGC2976,-3.119275948648692e-10,-2.3811266783577802e-12,0.001181367438145662,-5.213410569003635,False
scalar_core,NGC2998,-4.825283408393943e-07,-3.683422449155682e-09,0.0011813672179225093,-5.213410565294279,False
scalar_core,NGC3109,0.19390991535705693,0.0014802283615042513,0.0012715836323167445,-5.214902183739551,False
scalar_core,NGC3198,-0.8662227896498962,-0.006612387707251116,0.0008188900035064098,-5.2067473167779585,False
scalar_core,NGC3521,5.17559328727657e-11,3.9508345704401296e-13,0.0011813674383117521,-5.213410569006433,False
scalar_core,NGC3726,0.15444351022786496,0.0011789580933424806,0.0012529529415358641,-5.2145985960077885,False
scalar_core,NGC3741,2.6757216402461825,0.02042535603241361,0.002719335400321545,-5.2339930431617745,False
scalar_core,NGC3769,-2.2699242794798877,-0.017327666255571663,0.00037213224598716565,-5.195949613010035,False
scalar_core,NGC3877,-0.42081077864861394,-0.003212296020218427,0.0009970033341422195,-5.21017356301643,False
scalar_core,NGC3893,-0.5547630320538797,-0.004234832305754807,0.0009415965092717598,-5.209143161067159,False
scalar_core,NGC3917,-3.1626794633056265,-0.024142591322943715,0.00017848128947008237,-5.189082265442146,False
scalar_core,NGC3953,-0.8075091543201349,-0.006164192017710954,0.0008413665787007028,-5.207198960126649,False
scalar_core,NGC3972,-7.247393723570772,-0.05532361621046391,0.00018981147610566568,-5.157661386517029,False
scalar_core,NGC3992,0.2759391607508423,0.0021064058072583383,0.0013107466032957497,-5.215533177934887,False
scalar_core,NGC4010,-0.16426401759664344,-0.0012539237984476599,0.0011075407076919,-5.212146999639907,False
scalar_core,NGC4013,0.08898893651413486,0.0006793048588865256,0.0012223572670127549,-5.214095099286913,False
scalar_core,NGC4088,0.14620171913827118,0.0011160436575440547,0.0012490796386140587,-5.214535197614791,False
scalar_core,NGC4100,-0.11011587849078658,-0.0008405792251205082,0.0011316138513947015,-5.2125635237868755,False
scalar_core,NGC4157,0.012256839989790297,9.356366404420074e-05,0.001186971638784657,-5.213504852390572,False
scalar_core,NGC4183,-6.372376204400361,-0.04864409316336153,6.34254332272364e-05,-5.164392290510648,False
scalar_core,NGC4217,8.03568322993442e-12,6.134109335827802e-14,0.0011813674382917855,-5.213410569006097,False
scalar_core,NGC4559,-0.01750684257168389,-0.00013364001963117473,0.0011733857748113285,-5.213275900986252,False
scalar_core,NGC5005,-0.055778038085471826,-0.0004257865502707773,0.0011560315118396087,-5.212981507174608,False
scalar_core,NGC5033,-6.423260921292275,-0.04903252611673493,6.892424104729464e-05,-5.164000869611479,False
scalar_core,NGC5055,-1.2746313047416606,-0.009730009959860005,0.0006709644961375648,-5.2036057128157145,False
scalar_core,NGC5371,-16.66074321374211,-0.12718124590642832,0.005823982672316893,-5.0852510058234035,False
scalar_core,NGC5585,6.019181261751605e-08,4.594794856298935e-10,0.0011813674657770836,-5.213410569469049,False
scalar_core,NGC5907,-1.2945712946077492e-08,-9.882223622959918e-11,0.001181367432375945,-5.213410568906452,False
scalar_core,NGC5985,-8.76774131798458,-0.06692932303805023,0.0005701433360896053,-5.145966405021539,False
scalar_core,NGC6015,-4.082124860360636e-09,-3.1161258476035393e-11,0.0011813674364238524,-5.213410568974634,False
scalar_core,NGC6195,-8.964750001831533,-0.0684332061208514,0.0006343601027790244,-5.144450953607332,False
scalar_core,NGC6503,-9.250849670530593,-0.07061717305748545,0.0007337172923761901,-5.142250186925031,False
scalar_core,NGC6674,0.16530575980354567,0.0012618760290346999,0.0012580669110697597,-5.214682151773755,False
scalar_core,NGC6946,8.317916434671252e-05,6.349554530283399e-07,0.0011814054256427734,-5.213411208845761,False
scalar_core,NGC7331,-0.1588670190992474,-0.0012127253366354762,0.001109928488973596,-5.212188515012964,False
scalar_core,NGC7793,0.0,0.0,0.0011813674382881159,-5.213410569006035,False
scalar_core,NGC7814,-11.787614656225394,-0.08998179126889613,0.0019307478258861934,-5.1227366101119935,False
scalar_core,UGC00128,0.42703246948967344,0.003259789843432622,0.0013844372463990102,-5.216695434155955,False
scalar_core,UGC00191,-23.902235559435667,-0.1824598134308066,0.015481344556832484,-5.029547218548838,False
scalar_core,UGC00731,-3.8299173417829913,-0.029236010242618255,7.968915191218405e-05,-5.183949666376935,False
scalar_core,UGC01281,-23.852210637192243,-0.18207794379536063,0.0153987523875942,-5.029932025643018,False
scalar_core,UGC02259,-15.863340147665355,-0.12109419960049889,0.005043479073065539,-5.091384875562455,False
scalar_core,UGC02487,-6.431335616337293,-0.04909416501020834,6.981783760508905e-05,-5.163938756572671,False
scalar_core,UGC02885,-0.2154788542953865,-0.0016448767503464618,0.001085009816218876,-5.211753039357609,False
scalar_core,UGC02916,0.0007838895435329785,5.983889645289912e-06,0.0011817254595169642,-5.2134165989256,False
scalar_core,UGC02953,-0.0351301125536736,-0.0002681687981196458,0.001165378355305275,-5.213140337371007,False
scalar_core,UGC03205,-42.20157091397252,-0.32214939628986655,0.06051409422161007,-4.888783100437015,False
scalar_core,UGC03546,-0.9088500888010951,-0.006937786937412939,0.0008027622150328885,-5.206419414476796,False
scalar_core,UGC03580,-9.156245043433842,-0.06989500033155605,0.0007000632440154765,-5.142977914825774,False
scalar_core,UGC04278,-0.5111208962330469,-0.003901686230786618,0.0009594743001736358,-5.209478869804243,False
scalar_core,UGC04325,-4.499423412679645,-0.03434674360824157,2.0061426282614906e-05,-5.17879961967773,False
scalar_core,UGC04483,2.7359523535608332e-09,2.0885132469930023e-11,0.0011813674395375962,-5.213410569027081,False
scalar_core,UGC04499,-2.3976952254913373,-0.01830301698848349,0.0003401029445110454,-5.194966759579178,False
scalar_core,UGC05005,0.0748439750799218,0.0005713280540452046,0.0012157951297623914,-5.213986291891265,False
scalar_core,UGC05253,-75.938984576999,-0.5796869051679313,0.22102357699199995,-4.6292645337983505,False
scalar_core,UGC05716,0.1131339968188132,0.0008636182963268184,0.0012335994596673788,-5.214280830520026,False
scalar_core,UGC05721,-1.5477854767987838,-0.011815156311441097,0.0005802450435229689,-5.201504526876813,False
scalar_core,UGC05750,-1.6810952629953135e-10,-1.2832788267139797e-12,0.0011813674382113422,-5.213410569004742,False
scalar_core,UGC05764,0.49766000724716053,0.00379893135303176,0.0014195745939048635,-5.217238722907936,False
scalar_core,UGC05829,-2.526047673468253,-0.01928280666769659,0.0003093788168413079,-5.193979433056279,False
scalar_core,UGC05918,-1.025804544863205,-0.007830569044757289,0.0007593369359889288,-5.20551976481478,False
scalar_core,UGC05986,-0.13242985460767534,-0.0010109149206692775,0.0011216621665629816,-5.212391877816745,False
scalar_core,UGC06399,-0.8511285726268771,-0.006497164676541047,0.000824639266274631,-5.206863426139675,False
scalar_core,UGC06446,-2.0233630790253083,-0.015445519687216094,0.0004380131963584215,-5.197846237628917,False
scalar_core,UGC06614,0.01684990323961988,0.0001286252155696174,0.0011890751430082517,-5.21354018364634,False
scalar_core,UGC06667,-1.2532913051315027,-0.00956710919947712,0.0006783292724114401,-5.203769866658869,False
scalar_core,UGC06786,1.1020083584220934,0.00841227754520682,0.0017382433107311617,-5.221887556378512,False
scalar_core,UGC06787,4.498161501942377e-06,3.4337110701850203e-08,0.0011813694925520448,-5.213410603607278,False
scalar_core,UGC06818,0.0,0.0,0.0011813674382881159,-5.213410569006035,False
scalar_core,UGC06917,-1.7018684111324354,-0.012991361917041491,0.0005319768053024321,-5.2003192735357855,False
scalar_core,UGC06930,-2.216620560353037,-0.016920767636282728,0.0003859202916844238,-5.196359641618704,False
scalar_core,UGC06983,-0.7768850309583081,-0.005930420083651207,0.0008532107648007214,-5.207434530306356,False
scalar_core,UGC07089,0.07869811286239514,0.0006007489531480545,0.00121758139264989,-5.214015939104977,False
