galaxy,model,epsilon,analysis,holdout,n,n_outer,T,D,e_D,distance_method,inc,e_inc,L36,Rdisk,MHI,RHI,Vflat,Q,morphology,morphology_alt,Rmax_kpc,Rmin_kpc,coverage,median_speed,baryon_fraction_outer_nominal,quality2,raw_residual_kms_mean,raw_residual_kms_median,fractional_error_mean,fractional_error_median,fractional_residual_mean,standardized_residual_mean,outer_loss,predicted_outer_slope,observed_outer_slope,nuisance_bound_hit,scale_bound_hit,eta_bound_hit,eta_boundary,guard_active,maximum_abs_pull,ml_disk,ml_bulge,distance_ratio,fitted_inclination,eta,length_catalogue_kpc,amplitude_catalogue_kms,slope_residual,log10_coverage,log10_speed
UGC06818,fixed_core,0.01,outer_holdout,True,8,2,9,18.0,2.5,4,75.0,3.0,1.588,1.39,1.079,6.96,71.2,2,spiral_T1_9,late_T8_11,6.98,0.87,5.02158273381295,55.45,0.2113258565048605,1,11.962725391185366,11.962725391185366,0.08437544408128464,0.08437544408128464,0.16722923116857896,1.993787565197561,4.046691963577109,0.8593286111444752,0.6646432088380934,False,True,False,not applicable,False,0.6044024396047981,0.4350405711111885,0.7,0.9486621951904042,74.78426754926659,,487.72336003897067,9999.999999998448,0.19468540230638187,0.7008406223690661,1.743901550485179
UGC06917,fixed_core,0.01,outer_holdout,True,11,3,9,18.0,2.5,4,56.0,2.0,6.832,2.76,2.023,12.67,108.7,1,spiral_T1_9,late_T8_11,10.47,1.74,3.793478260869566,100.0,0.25407438842593283,0,-10.323738715960195,-11.83791613938034,0.04556491556491557,0.04454545454545455,-0.09426489516324714,-2.019625116327059,4.297988465120601,-0.12455347633840147,0.30707232289456715,False,False,False,not applicable,False,0.237662065056688,0.5281243731834515,0.7,1.021462148336341,56.106603386559584,,2.3946536407251213,101.65058616070336,-0.4316257992329686,0.5790375996136247,2.0
UGC06930,fixed_core,0.01,outer_holdout,True,10,2,7,18.0,2.5,4,32.0,5.0,8.932,3.94,3.237,16.76,107.2,1,spiral_T1_9,spiral_T1_7,16.61,1.74,4.215736040609137,105.0,0.28809079861111114,0,-13.182612178895617,-13.182612178895617,0.06851851851851852,0.06851851851851852,-0.12206122387866312,-1.7814340782291374,3.2089895978562746,-0.5103233020661123,0.0,False,False,False,not applicable,False,0.6103825110843492,0.5469858637559522,0.7,1.045278485253628,35.051912555421744,,3.108802332246002,100.26725420691396,-0.5103233020661123,0.6248734106258204,2.0211892990699383
UGC06983,fixed_core,0.01,outer_holdout,True,17,4,6,18.0,2.5,4,49.0,1.0,5.298,3.21,2.967,16.07,109.0,1,spiral_T1_9,spiral_T1_7,15.68,1.74,4.8847352024922115,108.0,0.22347473519283745,0,-9.040787323884299,-8.55506808525432,0.09330615018688412,0.09074074074074075,-0.0833063680786724,-0.8745854425840828,0.794391997499051,-0.4191842014127064,-0.0017753814133636405,False,False,False,not applicable,False,1.7317928572822838,0.7449880218192707,0.7,1.1395270291134805,49.247924686070974,,3.067044361094031,107.50158601142618,-0.41740881999934276,0.6888410259435476,2.03342375548695
UGC07089,fixed_core,0.01,outer_holdout,True,12,3,8,18.0,2.5,4,80.0,3.0,3.585,2.26,1.214,9.29,0.0,2,spiral_T1_9,late_T8_11,9.16,0.87,4.053097345132744,66.2,0.30942208618302114,1,-5.086724327977099,-5.704030215049869,0.08455482281458913,0.08276797829036635,-0.06540166544646446,-0.766363260347485,0.6821756455149627,-0.0010827615297613114,0.4632747060009431,False,False,False,not applicable,False,0.1709892849239506,0.520078538774227,0.7,1.0158646909007518,80.04606303408804,,3.146655386526107,67.4500018950803,-0.46435746753070445,0.6077870345204496,1.8208579894397
UGC07125,fixed_core,0.01,outer_holdout,True,13,3,9,19.8,5.9,1,90.0,3.0,2.712,3.38,4.629,23.04,65.2,1,spiral_T1_9,late_T8_11,18.68,1.44,5.5266272189349115,61.5,0.4483119317793022,0,-3.5802908226009933,-2.283927588196697,0.049882735467817206,0.049462365591397855,-0.05503979042272399,-1.0724423190954602,1.4754578326372165,-0.5132946023043883,-0.05602366941816949,True,False,False,not applicable,False,0.3995969257296752,0.539365616858267,0.7,1.119071811202277,89.99999999999817,,3.798474594537952,55.81665769632267,-0.4572709328862188,0.7424601716164199,1.7888751157754168
UGC07151,fixed_core,0.01,outer_holdout,True,11,3,6,6.87,0.34,2,90.0,3.0,2.284,1.25,0.616,6.39,73.5,1,spiral_T1_9,spiral_T1_7,5.5,0.5,4.4,67.2,0.3329463804370862,0,-8.770169271547061,-8.68664907365735,0.04398599767293767,0.04427586206896552,-0.11757944620431178,-2.694370368239539,7.782178180770379,-0.13439095374959953,0.24363893794442815,True,False,False,not applicable,False,0.0698611117775295,0.5081080967794663,0.7,1.0011498487992136,89.9999999999707,,1.046232597614272,66.39519425595044,-0.3780298916940277,0.6434526764861874,1.8273692730538253
UGC07323,fixed_core,0.01,outer_holdout,True,10,2,8,8.0,2.4,1,47.0,3.0,4.109,2.26,0.722,7.14,0.0,1,spiral_T1_9,late_T8_11,5.82,0.58,2.5752212389380533,62.5,0.3757392656325991,0,1.029715114510843,1.029715114510843,0.04597470540430719,0.04597470540430719,0.012282382518871295,0.26607625697954596,0.07500753262316215,0.25223339653030147,0.311137973397341,False,False,False,not applicable,False,0.4563192239567711,0.5467396499561336,0.7,1.1368957671870312,47.49785527391184,,2.9628238014675445,80.58040804556757,-0.05890457686703954,0.4108145455024876,1.7958800173440752
UGC07399,fixed_core,0.01,outer_holdout,True,10,2,8,8.43,2.53,1,55.0,3.0,1.156,1.64,0.745,7.85,103.0,1,spiral_T1_9,late_T8_11,6.13,0.61,3.7378048780487805,93.4,0.10772522061740031,0,-15.919517766694575,-15.919517766694575,0.046841454478842276,0.046841454478842276,-0.15195722037640597,-3.2435277950053356,10.840816635515019,-0.3261118677225258,0.273907248877561,False,False,False,not applicable,False,2.0007973990659247,0.7925921090602344,0.7,1.5155753398398382,56.784520576049744,,1.2837320912250552,98.64270343180073,-0.6000191166000868,0.5726166264707172,1.9703468762300933
UGC07524,fixed_core,0.01,outer_holdout,True,31,7,9,4.74,0.24,2,46.0,3.0,2.436,3.46,1.779,12.11,79.5,1,spiral_T1_9,late_T8_11,10.69,0.35,3.0895953757225434,70.2,0.2648692110047727,0,-4.03350645387233,-3.410888220294197,0.04224419142501462,0.04221668742216688,-0.04955313648910463,-1.1389669691133817,1.4496854112301036,-0.05350876732540937,0.16322396722719865,False,False,False,not applicable,False,1.2119874830211577,0.6609502217664573,0.7,1.0133805193578644,47.521441230388895,,2.4991705586589736,75.5236842554847,-0.21673273455260803,0.4899016064160014,1.8463371121298053
