galaxy,model,epsilon,analysis,holdout,n,n_outer,T,D,e_D,distance_method,inc,e_inc,L36,Rdisk,MHI,RHI,Vflat,Q,morphology,morphology_alt,Rmax_kpc,Rmin_kpc,coverage,median_speed,baryon_fraction_outer_nominal,quality2,raw_residual_kms_mean,raw_residual_kms_median,fractional_error_mean,fractional_error_median,fractional_residual_mean,standardized_residual_mean,outer_loss,predicted_outer_slope,observed_outer_slope,nuisance_bound_hit,scale_bound_hit,eta_bound_hit,eta_boundary,guard_active,maximum_abs_pull,ml_disk,ml_bulge,distance_ratio,fitted_inclination,eta,length_catalogue_kpc,amplitude_catalogue_kms,slope_residual,log10_coverage,log10_speed
CamB,fixed_core,0.001,fullfit_outer_third,False,9,3,10,3.36,0.26,2,65.0,5.0,0.075,0.47,0.012,1.21,0.0,2,irregular_T10_11,late_T8_11,1.79,0.16,3.808510638297873,10.9,0.6791787131519273,1,-0.8567645344946898,-0.4541853307396657,0.0886511320946289,0.08928571428571429,-0.04281700489643394,-0.5711763563297931,0.839714975330809,0.4575575892425217,0.817011099445087,False,False,False,not applicable,True,1.7069649835403933,0.3374997892560591,0.7,0.9148630678387228,57.87129702416407,,488.0806035380214,6969.803149662666,-0.3594535102025653,0.5807551730441758,1.0374264979406236
D512-2,fixed_core,0.001,fullfit_outer_third,False,4,2,10,15.2,4.56,1,56.0,10.0,0.325,1.24,0.081,0.0,0.0,2,irregular_T10_11,late_T8_11,3.83,0.96,3.088709677419355,34.7,0.20002368178903496,1,-0.5281370375241714,-0.5281370375241714,0.13960411237906972,0.13960411237906972,-0.01447643242035803,-0.10555675806969164,0.011234970964786052,-0.1354748596980005,-0.12477953887937837,False,False,False,not applicable,False,0.0085892930117347,0.500457724713454,0.7,1.0025767879035203,56.067413333236274,,1.0250516636609452,38.40739516025297,-0.010695320818622123,0.4897770888063877,1.5403294747908738
D564-8,fixed_core,0.001,fullfit_outer_third,False,6,2,10,8.79,0.28,2,63.0,7.0,0.033,0.61,0.029,0.0,0.0,2,irregular_T10_11,late_T8_11,3.07,0.51,5.032786885245901,20.85,0.13517368798611112,1,-0.08947801435887648,-0.08947801435887648,0.080375,0.080375,-0.003476969644159228,-0.04111677838159164,0.012921186624050807,0.12986509692808126,0.22470372879858577,False,False,False,not applicable,False,0.0041757139812547,0.5004809780299052,0.7,1.0000283493923885,63.02432389649642,,1.179847565463313,26.98740879041619,-0.09483863187050451,0.7018085404664194,1.3191060593097763
D631-7,fixed_core,0.001,fullfit_outer_third,False,16,6,10,7.72,0.18,2,59.0,3.0,0.196,0.7,0.29,0.0,57.7,1,irregular_T10_11,late_T8_11,7.19,0.45,10.271428571428572,47.2,0.11610138710516488,0,0.29050888062837643,-0.4728216706416113,0.05850156776774009,0.06175725910314952,0.004889881172161243,0.00030942862630112256,0.24010116154417535,0.32163140549645697,0.11466348860659234,False,False,False,not applicable,False,0.8957281149106445,0.4068152202067214,0.7,0.9944281507528758,56.91378521217334,,3.202543915409972,69.29455707268517,0.20696791688986463,1.0116308503686258,1.6739419986340878
DDO064,fixed_core,0.001,fullfit_outer_third,False,14,5,10,6.8,2.04,1,60.0,5.0,0.157,0.69,0.211,3.49,46.1,1,irregular_T10_11,late_T8_11,2.98,0.1,4.3188405797101455,37.9,0.2719541304946145,0,0.4659143387775913,1.019565608717805,0.12572301430796207,0.09978401727861771,0.009950922167635823,0.04549452123597283,0.05737794926193376,0.18609327614399582,0.027555362826052053,False,False,False,not applicable,False,0.0464842565993707,0.4977811634571805,0.7,1.0139452769798112,60.07890477523031,,1.010863893168424,48.626882035674186,0.15853791331794376,0.635367173339,1.5786392099680724
DDO154,fixed_core,0.001,fullfit_outer_third,False,12,4,10,4.04,0.2,2,64.0,3.0,0.053,0.37,0.275,4.96,47.0,2,irregular_T10_11,late_T8_11,5.92,0.49,16.0,43.3,0.13060439321894962,1,-0.40368073189438824,-0.4820842171140711,0.015529151941253419,0.013608032634767231,-0.008339954640578013,-0.8180215598654529,1.2010770403876978,-0.09407801926926192,-0.138898837153254,False,False,False,not applicable,False,1.783994454066216,0.7539967080476558,0.7,1.0143087985044217,64.87260052311763,,1.784851992295178,50.83202379515789,0.04482081788399207,1.2041199826559248,1.6364878963533653
DDO161,fixed_core,0.001,fullfit_outer_third,False,31,11,10,7.5,2.25,1,70.0,10.0,0.548,1.22,1.378,10.69,66.3,1,irregular_T10_11,late_T8_11,13.37,0.6,10.959016393442623,55.0,0.2561627792319553,0,0.3013331234403251,0.059502763831019934,0.02414716385837138,0.019818456883509836,0.004807680733656124,0.17203235326202962,0.2000332626678129,0.06684197053267338,0.1262649861337618,False,False,False,not applicable,False,0.6150598079774342,0.5760709631018717,0.7,1.0998944073244872,71.43152606983824,,4.956964883292893,67.66884408853045,-0.059423015601088425,1.0397715765872362,1.7403626894942439
DDO168,fixed_core,0.001,fullfit_outer_third,False,10,4,10,4.25,0.21,2,63.0,6.0,0.191,1.02,0.413,4.3,53.4,2,irregular_T10_11,late_T8_11,4.12,0.41,4.03921568627451,48.0,0.2305924264245383,1,1.2863249960208112,0.45311335071881587,0.042414928409798915,0.04280026542800266,0.024564530062920115,0.4324856224641034,1.0158310472067877,0.2635616200382311,-0.0313637713623182,False,False,False,not applicable,False,1.3859256551957793,0.4528710229311869,0.7,0.9766494523337964,54.68444606882532,,1.6816689841045631,61.6493223042542,0.2949253914005493,0.606297044271217,1.6812412373755872
DDO170,fixed_core,0.001,fullfit_outer_third,False,8,3,10,15.4,4.62,1,66.0,7.0,0.543,1.95,0.735,9.14,60.0,2,irregular_T10_11,late_T8_11,12.33,1.87,6.323076923076923,57.1,0.23484281944444443,1,0.201961559132369,1.002454102888187,0.019360940045173518,0.020338983050847456,0.004344600412969533,-0.04729622278669391,6.492906458540773,-0.20044613675710757,0.18838540714954563,False,False,False,not applicable,False,1.146380303919538,0.6510405429933176,0.7,1.0489730166730875,66.4259993482603,,3.4271577756837006,62.31930426658919,-0.3888315439066532,0.8009284652332136,1.7566361082458481
ESO079-G014,fixed_core,0.001,fullfit_outer_third,False,15,5,4,28.7,7.17,1,79.0,5.0,51.733,5.08,3.14,17.67,175.0,1,spiral_T1_9,spiral_T1_7,16.67,0.41,3.2814960629921264,132.0,0.3315464506122449,0,0.9599331199499659,1.6836872962398672,0.014151935454080172,0.012598870056497175,0.005792213162540015,0.3388708475641508,1.0997698651250127,0.1207181891983404,0.17377785834650536,False,False,False,not applicable,False,0.3718971673747983,0.4687279152630906,0.7,0.9070904986035784,78.76594929380397,,5.318538592493101,177.30557944563134,-0.053059669148164956,0.5160718875440862,2.12057393120585
ESO116-G012,fixed_core,0.001,fullfit_outer_third,False,15,5,7,13.0,3.9,1,74.0,3.0,4.292,1.51,1.083,9.58,109.1,1,spiral_T1_9,spiral_T1_7,9.86,0.25,6.52980132450331,102.0,0.2002782636141739,0,-0.5185870322685929,0.6869777744785637,0.02422276562872893,0.019444444444444445,-0.004502452147536995,0.0010999536580298618,0.32856062608965403,-0.025837249306067362,0.09813323947856283,False,False,False,not applicable,False,1.0351877242653469,0.6293384422658257,0.7,1.310556317279604,74.39675440371822,,2.980091208848642,108.2251075668947,-0.12397048878463018,0.8148999676480417,2.0086001717619175
ESO444-G084,fixed_core,0.001,fullfit_outer_third,False,7,3,10,4.83,0.48,2,32.0,6.0,0.071,0.46,0.135,2.95,0.0,2,irregular_T10_11,late_T8_11,4.44,0.26,9.652173913043478,52.8,0.08843471610730333,1,-0.42613364695906597,-0.27010616869656445,0.06413322379951274,0.05362068965517241,-0.006035231791915011,-0.0043150233028650025,0.1650405830788651,0.013455674226477692,0.12669041610969467,False,False,False,not applicable,False,1.5983164705325763,0.6751131702763297,0.7,1.0629314037015294,41.589898823195455,,1.2864433363036032,67.53428112537603,-0.11323474188321697,0.9846251384330458,1.7226339225338123
ESO563-G021,fixed_core,0.001,fullfit_outer_third,False,30,10,4,60.8,9.1,1,83.0,3.0,311.177,5.45,24.298,55.71,314.6,1,spiral_T1_9,spiral_T1_7,42.41,0.45,7.7816513761467885,310.5,0.2624532912705312,0,-18.148757851170615,-21.193456990447288,0.03256555088719564,0.02833213141025641,-0.05717391656828572,-1.9838580099182146,10.21396711799007,-0.4497263091612118,0.0428535015931636,False,False,False,not applicable,False,3.6452120605176415,0.2159975366642995,0.7,0.9261792941991744,82.88022298667045,,6.388979559739711,392.3239377983961,-0.4925798107543754,0.8910717701830672,2.492061604512599
F565-V2,fixed_core,0.001,fullfit_outer_third,False,7,3,10,51.8,10.4,1,60.0,10.0,0.559,2.17,0.699,7.31,0.0,2,irregular_T10_11,late_T8_11,8.8,1.26,4.055299539170507,68.5,0.13169340579615704,1,0.42390245688292794,1.2455070321386756,0.07704484293966692,0.07220216606498195,0.006339917910351081,0.07015827170684623,0.07218611746090953,0.2313311689437683,0.36551142419418853,False,False,False,not applicable,False,0.0020617933557581,0.4998220793309889,0.7,1.0004125665329255,60.02061793355758,,3.201009826987656,88.2461359859674,-0.13418025525042024,0.6080229383016391,1.8356905714924256
F568-3,fixed_core,0.001,fullfit_outer_third,False,18,6,7,82.4,8.24,1,40.0,10.0,8.346,4.99,3.195,16.14,0.0,1,spiral_T1_9,spiral_T1_7,17.98,0.64,3.603206412825651,83.9,0.22469191106035866,0,-0.5904291052503344,3.8955040098036164,0.10456582810834412,0.1,0.00407227438740719,0.0722592798823594,1.3631873736187534,-0.0876661343291755,0.35819607470240467,False,False,False,not applicable,False,0.3259147540709216,0.478095127121621,0.7,0.9929809278157024,36.74085245929079,,3.9345416666985726,116.32614440858276,-0.44586220903158014,0.55668914177382,1.9237619608287002
F568-V1,fixed_core,0.001,fullfit_outer_third,False,15,5,7,80.6,8.06,1,40.0,10.0,3.825,2.85,2.491,14.38,112.3,1,spiral_T1_9,spiral_T1_7,17.63,0.39,6.185964912280701,111.0,0.1326219548980178,0,-4.872540417867967,1.1432159420508015,0.1527850361825538,0.12372881355932203,-0.04095172149693664,-0.3625645998571879,0.7164230492000354,-0.31044314854676797,0.07839643254339186,False,False,False,not applicable,False,0.5287941347702985,0.5110265623889538,0.7,1.0150746209100414,45.28794134770298,,2.45783518277788,128.24895748498614,-0.3888395810901598,0.7914074522908118,2.0453229787866576
F571-8,fixed_core,0.001,fullfit_outer_third,False,13,5,5,53.3,10.7,1,85.0,5.0,10.164,3.56,1.782,24.55,139.7,1,spiral_T1_9,spiral_T1_7,15.55,0.22,4.367977528089888,105.0,0.13552480932784639,0,0.2530305726177374,1.3452425798379437,0.03193282071201982,0.03225806451612903,0.0021354638207233614,0.11417341123131322,0.46683433624520154,0.20766149918804866,0.23397192268390624,False,False,False,not applicable,False,2.080642489890102,0.3632089019240502,0.7,0.5823100442434505,84.49213756208533,,4.462979210241803,164.01614780268207,-0.026310423495857577,0.6402803953899812,2.0211892990699383
F571-V1,fixed_core,0.001,fullfit_outer_third,False,7,3,7,80.1,8.0,1,30.0,10.0,1.849,2.47,1.217,10.1,83.6,2,spiral_T1_9,spiral_T1_7,13.59,1.95,5.502024291497976,77.0,0.19307411957239085,1,0.018977503244045124,0.3366361410648864,0.07180511891509139,0.07151370679380215,0.0003306038862890039,0.003162917207340854,0.060260497681376035,-0.07437552254121872,0.05233148695419144,False,False,False,not applicable,False,0.0785085117471566,0.5047628211555241,0.7,1.0013348174228212,30.785085117471567,,4.00519257657107,88.50696310544228,-0.12670700949541017,0.7405225034728286,1.8864907251724818
F574-1,fixed_core,0.001,fullfit_outer_third,False,14,5,7,96.8,9.68,1,65.0,10.0,6.537,4.46,3.524,16.19,97.8,1,spiral_T1_9,spiral_T1_7,12.6,0.47,2.8251121076233185,90.95,0.19377821817272864,0,-1.9414168231752655,-2.031300192216918,0.04664344570748506,0.04569055036344757,-0.019417121148775862,-0.4027669618487687,0.4285734533645796,-0.10416516191784551,0.10115070158190652,False,False,False,not applicable,False,0.8584534808945428,0.6092777975012025,0.7,1.050337860238485,71.26091364387386,,2.8678051972261103,101.9875274000462,-0.20531586349975203,0.4510356864054211,1.9588027033995024
F583-1,fixed_core,0.001,fullfit_outer_third,False,25,9,9,35.4,8.85,1,63.0,5.0,0.986,2.36,2.126,15.65,85.8,1,spiral_T1_9,late_T8_11,16.26,0.26,6.889830508474577,59.4,0.11657047545509146,0,1.334998187573706,3.307293665380186,0.10870258922698933,0.08174386920980926,0.020021389510063416,0.1607254748679422,0.4034047990954017,0.0686761807285305,0.18232378476016586,False,False,False,not applicable,False,0.5399353610600633,0.5215695641015707,0.7,1.134983840265016,64.04141475532549,,3.2094802449873754,91.75042083309113,-0.11364760403163536,0.8382085382879428,1.7737864449811935
F583-4,fixed_core,0.001,fullfit_outer_third,False,12,4,5,53.3,10.7,1,55.0,10.0,1.715,1.93,0.641,7.8,0.0,1,spiral_T1_9,spiral_T1_7,7.29,0.22,3.77720207253886,58.5,0.2146088087198342,0,-0.5919531271977156,-0.3024057523794852,0.07087626518707604,0.07150840486409156,-0.007353521426883408,-0.0918356056829907,0.2903803675196931,0.11588822218327481,0.5228685369609894,False,False,False,not applicable,False,0.9224906259297412,0.6183282187596303,0.7,1.1463280509232947,62.54782036137828,,2.628521648753948,62.50799087731216,-0.4069803147777146,0.5771702193102008,1.7671558660821804
IC2574,fixed_core,0.001,fullfit_outer_third,False,34,12,9,3.91,0.2,2,75.0,7.0,1.016,2.78,1.036,10.81,66.4,2,spiral_T1_9,late_T8_11,10.23,0.85,3.679856115107914,43.65,0.22640774467626615,1,0.2889634840957254,0.3427431685262121,0.08339867303930902,0.07516197075033226,0.005822492602574527,-0.10987314074875383,0.2602242292911598,0.6419141801331328,0.6135379193102374,False,False,False,not applicable,False,2.0895779378330714,0.8089613973778198,0.7,1.0331266255302642,79.2483622908687,,7.931794482196136,91.41229826360431,0.02837626082289546,0.5658308377940839,1.6399842480415885
IC4202,fixed_core,0.001,fullfit_outer_third,False,32,11,4,100.4,10.0,1,90.0,1.0,179.749,4.78,12.326,32.13,242.6,1,spiral_T1_9,spiral_T1_7,25.9,0.77,5.418410041841003,240.5,0.4458680655702384,0,-19.344200029245506,-17.521179239936174,0.04870497154877851,0.040160642570281124,-0.07939215930611049,-2.4330063191928883,11.984562069153856,-0.39772031228530463,-0.03148247305406154,True,False,False,not applicable,False,5.999999999999999,1.2978735636410117,0.1758320502056706,0.7913170875653028,89.99999999999993,,2.406507963905205,189.16135145499712,-0.3662378392312431,0.7338718674691329,2.3811150807098507
KK98-251,fixed_core,0.001,fullfit_outer_third,False,15,5,10,6.8,2.04,1,59.0,5.0,0.085,1.34,0.115,2.9,33.7,2,irregular_T10_11,late_T8_11,3.13,0.25,2.335820895522388,21.8,0.34459562836388274,1,-0.5835681761018214,-0.22800554467166734,0.060739870868698996,0.060060060060060066,-0.018832663081576308,-0.2917840880509107,0.40533512432390245,0.4035279905015178,0.22532995416377408,False,False,False,not applicable,False,0.1216443860670023,0.4944322092253036,0.7,1.0364933158201006,59.21847417327418,,1.5488145424654225,35.8943401587856,0.1781980363377437,0.3684395391816408,1.3384564936046048
NGC0024,fixed_core,0.001,fullfit_outer_third,False,29,10,5,7.3,0.36,2,64.0,3.0,3.889,1.34,0.676,7.29,106.3,1,spiral_T1_9,spiral_T1_7,11.27,0.21,8.410447761194028,92.4,0.23735984365446766,0,-1.4808477320667408,-1.3744537871195845,0.06720080387571986,0.08067027632561613,-0.013907570428476327,-0.1419127920670605,0.053407026615150746,0.03250383300553795,0.01596328156698412,False,False,False,not applicable,False,5.521847919589093,1.7830141768706105,0.7,1.0557570219069148,67.19699505524427,,6.075111921506405,117.34567247009174,0.01654055143855383,0.9248191176812989,1.9656719712201067
NGC0055,fixed_core,0.001,fullfit_outer_third,False,21,7,9,2.11,0.11,2,77.0,3.0,4.628,6.11,1.565,10.24,85.6,2,spiral_T1_9,late_T8_11,13.5,1.23,2.20949263502455,82.4,0.3066324672563132,1,0.7748767400159144,0.8010308458265314,0.058079417678656924,0.06358381502890173,0.009077673550483572,0.10896476475206916,0.07705874168731384,-0.06347428319881024,0.02802649297001847,False,False,False,not applicable,False,0.1558699456833697,0.4823730209288264,0.7,0.9980616267373044,76.94815858102982,,4.1111706312016425,85.43687576386358,-0.0915007761688287,0.34429255825245186,1.9159272116971158
NGC0100,fixed_core,0.001,fullfit_outer_third,False,21,7,6,13.5,4.05,1,89.0,1.0,3.232,1.66,1.99,16.36,88.1,1,spiral_T1_9,spiral_T1_7,9.62,0.23,5.795180722891566,77.8,0.16738598530612242,0,-1.0138413035826903,-0.7422134117039576,0.08343908529498825,0.06422764227642278,-0.010709954522113084,-0.07015131739357178,0.1662822672507175,0.0231378184410425,0.3030330137219761,False,False,False,not applicable,False,0.4934445916744127,0.5512139671884616,0.7,1.1480333775023237,89.00114919704373,,3.20205273513222,90.22732242377646,-0.2798951952809336,0.7630669839977579,1.890979596989689
NGC0247,fixed_core,0.001,fullfit_outer_third,False,26,9,7,3.7,0.19,2,74.0,3.0,7.332,3.74,1.746,12.79,104.9,2,spiral_T1_9,spiral_T1_7,14.54,1.08,3.887700534759358,88.9,0.25259502040816323,1,-4.228933817521248,-3.684610430823966,0.08331488314682182,0.08476190476190476,-0.04005293069812153,-0.4906922808497499,0.2865900758141888,0.03118462589676062,0.15693897040393234,True,False,False,not applicable,True,6.0,1.9905358527674863,0.7,1.1119067814267756,77.3320663241204,,1137.9725213134964,7570.814011319001,-0.1257543445071717,0.5896928043225388,1.9489017609702137
NGC0289,fixed_core,0.001,fullfit_outer_third,False,28,10,4,20.8,5.2,1,46.0,5.0,72.065,6.74,27.469,49.51,163.0,2,spiral_T1_9,spiral_T1_7,71.12,1.5,10.55192878338279,175.0,0.2353007261095904,1,-1.8324943167871908,-1.3046213858581268,0.05320092897102609,0.05052645095017977,-0.010490634961454573,-0.1389323983928361,0.38199685083747503,-0.3240021563706721,-0.2702269549959189,False,False,False,not applicable,False,1.196161601549142,0.658546073230202,0.7,1.2734981431682753,50.07048130334584,,16.64758635865515,159.8685112960158,-0.05377520137475317,1.0233318514268375,2.2430380486862944
NGC0300,fixed_core,0.001,fullfit_outer_third,False,25,9,7,2.08,0.1,2,42.0,10.0,2.922,1.75,0.936,9.2,93.3,2,spiral_T1_9,spiral_T1_7,11.8,0.91,6.742857142857143,88.2,0.14859433958186558,1,1.278062682320999,0.17300353444980487,0.07876301635841854,0.07790821771611525,0.014408811677105445,0.19628323108874293,0.5614899971814613,-0.10005373579771301,0.09023635217368768,False,False,False,not applicable,False,1.9819902725127343,0.7891672093174017,0.7,1.0144766657028153,56.61573514679176,,3.981680766799242,92.5266350828422,-0.19029008797140068,0.828843958619831,1.9454685851318196
NGC0801,fixed_core,0.001,fullfit_outer_third,False,13,5,5,80.7,8.07,1,80.0,1.0,312.57,8.72,23.201,44.99,220.1,1,spiral_T1_9,spiral_T1_7,59.82,1.17,6.860091743119265,219.0,0.44167279456721115,0,0.8932908104265891,1.141685657124924,0.02085453331964662,0.01872146118721461,0.0040957750995937086,0.25273210571038873,0.28985117508468183,-0.07214766451273348,-0.045936807257302634,False,False,False,not applicable,False,1.0778590627520348,0.6408492945978853,0.7,1.0429778401797618,80.02751153173678,,24.26908989334389,184.275383242215,-0.026210857255430847,0.8363299237627321,2.3404441148401185
NGC0891,fixed_core,0.001,fullfit_outer_third,False,18,6,3,9.91,0.5,2,90.0,1.0,138.34,2.55,4.462,18.16,216.1,1,spiral_T1_9,spiral_T1_7,17.11,0.92,6.709803921568628,222.5,0.549237392179311,0,-1.1446962626245873,-1.3241374387999088,0.016178220883835217,0.0166371181088923,-0.0055350559995854046,-0.13230651190892015,0.6158185709577559,-0.28775718238925274,-0.17831346983983906,True,False,False,not applicable,False,2.6308365061944707,0.2728263756679414,0.6681988189787369,0.967118036528282,89.99999999996093,,4.318424321095468,207.38164897811015,-0.10944371254941368,0.8267098291071451,2.3473300153169503
NGC1003,fixed_core,0.001,fullfit_outer_third,False,36,12,6,11.4,3.42,1,67.0,5.0,6.82,1.61,5.88,33.33,109.8,1,spiral_T1_9,spiral_T1_7,30.24,1.25,18.782608695652172,103.5,0.11659439354440493,0,-0.13128029115212078,-0.18552440320576125,0.024769231628052748,0.02333467417538214,-0.0009652249589651137,-0.09514846121618149,0.2847684302917007,0.16103152959768183,0.21940640939635384,False,False,False,not applicable,False,2.316382783813086,0.6271560411338788,0.7,1.6949148351439258,70.94469496174025,,10.538184544337312,114.80969448784874,-0.05837487979867201,1.273755910797319,2.0149403497929366
NGC1090,fixed_core,0.001,fullfit_outer_third,False,24,8,4,37.0,9.25,1,64.0,3.0,72.045,3.53,8.783,30.49,164.4,1,spiral_T1_9,spiral_T1_7,30.09,0.35,8.524079320113314,165.0,0.34270975108654694,0,-0.20295321731770244,-0.06109652832518009,0.014477983600059904,0.013765432098765433,-0.0012336319638197794,-0.09353629428020226,0.07348528992842081,-0.08930951452172763,-0.08870953558715274,False,False,False,not applicable,False,1.0817007796532436,0.6414164330030011,0.7,1.1283540316373957,64.3495812777405,,10.43115789900185,139.7795132242152,-0.0005999789345748907,0.9306474823522579,2.2174839442139063
NGC2403,fixed_core,0.001,fullfit_outer_third,False,73,25,6,3.16,0.16,2,63.0,3.0,10.041,1.39,3.199,15.11,131.2,1,spiral_T1_9,spiral_T1_7,20.87,0.16,15.014388489208635,114.0,0.2004949237023836,0,-6.367580047184521,-5.468921736316673,0.024124533446095473,0.02015748031496063,-0.047033567094104896,-1.35391232106827,29.623501149255233,-0.16071934558995296,0.07693923806344007,False,False,False,not applicable,False,2.691833440568243,0.9292944606138724,0.7,0.9877880073500334,62.221306134028886,,4.751619505264917,127.7985907430904,-0.23765858365339304,1.176507648811359,2.0569048513364727
NGC2683,fixed_core,0.001,fullfit_outer_third,False,11,4,3,9.81,0.49,2,80.0,5.0,80.415,2.18,1.406,13.79,154.0,2,spiral_T1_9,spiral_T1_7,34.62,2.89,15.880733944954127,172.0,0.25418338475200797,1,-2.5517120511981872,-8.385063652544304,0.06828824859360536,0.06559139784946236,-0.015606905431611914,-0.2078466063526344,1.382434988598284,-0.45282084766193303,0.031962132262654985,False,False,False,not applicable,False,1.3057290290322174,0.6753717757889766,0.7130732653030023,1.0144705215804288,80.82897610318575,,6.440391879905056,157.66268186665712,-0.484782979924588,1.2008705699347701,2.2355284469075487
NGC2841,fixed_core,0.001,fullfit_outer_third,False,50,17,3,14.1,1.4,3,76.0,10.0,188.121,3.64,9.775,45.12,284.8,1,spiral_T1_9,spiral_T1_7,63.64,3.44,17.483516483516482,301.0,0.18115576613796608,0,-2.7039403755036013,-4.604854481563507,0.015529846321860682,0.014982332155477033,-0.008816840908859673,-0.16016125609799303,5.130707595454674,-0.025677192955756566,0.02673314518284668,False,False,False,not applicable,False,3.839101352889053,1.2102640682310255,0.7113718382783933,1.1497387877838283,83.23302720981216,,20.1157480654224,269.69842461087745,-0.05241033813860324,1.242628787325488,2.4785664955938436
NGC2903,fixed_core,0.001,fullfit_outer_third,False,34,12,4,6.6,1.98,1,66.0,3.0,81.863,2.33,2.552,13.76,184.6,1,spiral_T1_9,spiral_T1_7,24.96,0.32,10.71244635193133,189.5,0.29820008400292186,0,-1.9171324042679387,-2.2159447536785564,0.020870186246914644,0.01671425910981439,-0.01100677624746464,-0.43879938624618436,2.528336867528438,-0.31681999217356194,-0.11460111298878303,False,False,False,not applicable,False,0.7735240924178333,0.5974786810090323,0.7,0.8284046357190824,65.77674181417703,,5.530593691722733,184.8677272022881,-0.2022188791847789,1.0298886599843673,2.2776092143040914
NGC2915,fixed_core,0.001,fullfit_outer_third,False,30,10,11,4.06,0.2,2,56.0,4.0,0.641,0.55,0.508,7.16,83.5,2,irregular_T10_11,late_T8_11,10.04,0.34,18.25454545454545,81.15,0.0764037753062881,1,-1.999649390483907,-1.570815813173894,0.07780715391200387,0.0773958777952209,-0.021764322050000697,-0.353639706873495,1.1513232705222387,-0.34495299562055803,0.2892863892314673,False,False,False,not applicable,False,0.4397336105863424,0.4518524519308112,0.7,0.9981520047746176,55.71051258845747,,1.9927128729352543,99.70042357453114,-0.6342393848520254,1.2613710233147566,1.9092885241622508
NGC2955,fixed_core,0.001,fullfit_outer_third,False,24,8,3,97.9,9.8,1,56.0,7.0,319.422,18.76,28.949,40.34,0.0,1,spiral_T1_9,spiral_T1_7,35.43,0.75,1.8885927505330489,255.5,0.5584935718233018,0,0.02932782209714091,0.947486525850536,0.04783691038284563,0.04805670029842262,0.0010484207469519018,-0.043249135562549446,0.20213247239339543,-0.14325615896216906,-0.20107103737611234,False,False,False,not applicable,False,2.1059899832867943,0.3078725763653223,0.9747666872609602,0.9659690276392944,51.54355340845751,,7.810132510441136,242.39511076895127,0.05781487841394328,0.2761383182901315,2.4073909044707316
NGC2976,fixed_core,0.001,fullfit_outer_third,False,27,9,5,3.58,0.18,2,61.0,10.0,3.371,1.01,0.172,3.04,85.4,2,spiral_T1_9,spiral_T1_7,2.27,0.11,2.2475247524752477,49.2,0.5898784583113941,1,0.25549089139423287,0.46984295667940046,0.053193980538409534,0.05439330543933054,0.003205959897182052,0.03992859733695464,0.09046348758235633,0.45139916849546524,0.4363889332625294,False,False,False,not applicable,False,0.2050190493190955,0.4769447794086475,0.7,0.9982615209077748,59.59374869297145,,1.3118768025200784,86.17517739640763,0.01501023523293582,0.35170448341048016,1.6919651027673603
NGC2998,fixed_core,0.001,fullfit_outer_third,False,13,5,5,68.1,10.2,1,58.0,2.0,150.902,6.2,23.451,43.58,209.9,1,spiral_T1_9,spiral_T1_7,42.28,0.33,6.819354838709677,206.0,0.34193970772994775,0,-0.23669303650212897,-0.5172455461482457,0.011397593856186859,0.009389671361502348,-0.0010147647088072566,-0.0977565276170215,0.28786073440089804,-0.0506251768182193,-0.058924524618240944,False,False,False,not applicable,False,1.7495316823365936,0.7480371597637704,0.7,1.1505045456392482,58.65637754595877,,15.047092435539604,175.01499194125705,0.008299347800021645,0.8337432891371348,2.3138672203691533
NGC3109,fixed_core,0.001,fullfit_outer_third,False,25,9,9,1.33,0.07,2,70.0,5.0,0.194,1.56,0.477,6.0,66.2,1,spiral_T1_9,late_T8_11,6.45,0.26,4.134615384615385,50.6,0.10808169534354384,0,-0.3739352705488241,-0.6345086486299607,0.04271681745990967,0.04503105590062111,-0.0046861120064603965,-0.06666289250114221,0.2761862763023521,0.24224532774462074,0.4170770076097215,False,False,False,not applicable,False,0.2926065168371365,0.5348483446676245,0.7,1.0034498220827548,70.3885747323832,,2.382012926054956,71.72757860577923,-0.17483167986510076,0.6164351162808062,1.7041505168397992
NGC3198,fixed_core,0.001,fullfit_outer_third,False,43,15,5,13.8,1.4,3,73.0,3.0,38.279,3.14,10.869,35.66,150.1,1,spiral_T1_9,spiral_T1_7,44.08,0.32,14.038216560509554,146.0,0.23196221382998686,0,-0.12704068362780846,-0.04598288393481198,0.014246256303626609,0.013422818791946308,-0.0007099830262023964,0.14110177106792893,4.918841740384335,-0.08647566852078797,-0.034062814474634856,False,False,False,not applicable,False,1.8170119172917831,0.7597508525008709,0.7,1.1750112685281957,74.71544356116728,,10.554260537333182,146.19423025402858,-0.05241285404615312,1.1473119377705137,2.164352855784437
NGC3521,fixed_core,0.001,fullfit_outer_third,False,41,14,4,7.7,2.3,1,75.0,5.0,84.836,2.4,4.154,18.85,213.7,1,spiral_T1_9,spiral_T1_7,17.74,0.51,7.391666666666667,213.0,0.6675563224126786,0,-2.2655168311337115,-1.9279839704980333,0.08253827994830819,0.0877314814814815,-0.01061472943600309,-0.14627765207037793,0.08228953781679937,-0.032412554874115984,-0.03588324180988464,False,False,False,not applicable,False,0.330321098216561,0.5301948944462629,0.7,1.098667341025726,75.27857681143053,,7.378298773026651,196.17534071430703,0.0034706869357686576,0.8687423737841016,2.3283796034387376
