galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,parameters_json,guard_epsilon,gradient_ratio,contact_ratio,potential_depth_ratio,guard_active,original_admissible,original_objective,objective_increase,original_gradient_ratio,original_contact_ratio,original_potential_depth_ratio,selected_candidate,constrained_starts,trial_records_json
ESO116-G012,guarded_free_family,False,15,15,0,8.140649962848515,0.5427099975232343,1.8904351341423284,10.031085096990843,3.524375367967793e-14,4.182563567878298,120.08089121763966,3.2297436120113723,120.30251806932709,0.6226668638406132,0.7,1.2950141157717292,74.37302353401637,0.9833803859057637,False,True,True,,,271.86576923186203,,"{""disk_pull"": 0.9528575036228527, ""distance_pull"": 0.9833803859057637, ""inclination_pull"": 0.124341178005457}",6,True,,True,lower,False,"[1.172402756997775, 4.7900095543436745, 3.5243753679677314e-14, 0.9528575036228527, 0.9833803859057637, 0.124341178005457]",0.001,1.6043768955956188e-07,5.654426411773835e-21,2.1526930281576462e-07,False,True,10.031085096990843,0.0,1.6043768955956188e-07,5.654426411773835e-21,2.1526930281576462e-07,admissible original,0,[]
ESO444-G084,guarded_free_family,False,7,7,0,11.496850100733184,1.6424071572475978,4.226812485368651,15.723662586101835,3.968957801564375e-22,1.4811305080103794,60.35642595402273,1.3983089195327671,74.93081871785637,0.6661071565325632,0.7,1.059229822051973,41.13838777012189,1.5230646283536478,False,True,True,,,173.6171025786176,,"{""disk_pull"": 1.2457409532580281, ""distance_pull"": 0.5960000843979768, ""inclination_pull"": 1.5230646283536478}",6,True,,True,lower,False,"[0.3352635918848918, 4.316565270752618, 3.968957801564375e-22, 1.2457409532580281, 0.5960000843979768, 1.5230646283536478]",0.001,4.0532708351827796e-08,1.6087260903152042e-29,5.438527500667612e-08,False,True,15.723662586101835,0.0,4.0532708351827796e-08,1.6087260903152042e-29,5.438527500667612e-08,admissible original,0,[]
ESO563-G021,guarded_free_family,False,30,30,0,260.7803050104062,8.692676833680206,14.358926187129729,275.13923119753593,9.632640080114464e-24,6.043232017657977,433.6037896252548,6.92660632120457,433.4181044693735,0.213698433806106,0.7,0.8724665063117129,82.8029288097892,3.691686651006265,False,True,True,,,1055.6604550822403,,"{""disk_pull"": -3.691686651006265, ""distance_pull"": -0.8520919138733912, ""inclination_pull"": -0.06569039673693404}",6,True,,True,lower,False,"[1.9353699849156332, 6.071702861347861, 9.632640080114464e-24, -3.691686651006265, -0.8520919138733912, -0.06569039673693404]",0.001,2.091918364705611e-06,2.0150696684190775e-29,2.8068579718014447e-06,False,True,275.13923119753593,0.0,2.091918364705611e-06,2.0150696684190775e-29,2.8068579718014447e-06,admissible original,0,[]
F565-V2,guarded_free_family,False,7,7,0,0.2587304635221513,0.03696149478887876,6.953208328118366e-06,0.2587374167304794,3.3365977567939386e-19,3.517750256220771,97.9611961632165,3.517441468688673,97.96552807382392,0.49970500080835534,0.7,1.0000877875395644,60.0043887159884,0.0025630866047928677,False,True,True,,,494.57074592824176,,"{""disk_pull"": -0.0025630866047928677, ""distance_pull"": 0.0004372494759073461, ""inclination_pull"": 0.00043887159884012454}",6,True,,True,lower,False,"[1.2577338698363107, 4.584615662441764, 3.3365977567939386e-19, -0.0025630866047928677, 0.0004372494759073461, 0.00043887159884012454]",0.001,1.0677430495828382e-07,3.562629064070417e-26,1.4326577657722954e-07,False,True,0.2587374167304794,0.0,1.0677430495828382e-07,3.562629064070417e-26,1.4326577657722954e-07,admissible original,0,[]
F568-3,guarded_free_family,False,18,18,0,13.973113787721433,0.7762840993178574,0.1998343144431856,14.172948102164618,1.5590149985983416e-18,4.28781375367287,140.82761227215875,4.323441394586725,129.04246083219905,0.4775421687106957,0.7,0.9917594254987557,36.08579093826745,0.3914209061732549,False,True,True,,,195.2193120594402,,"{""disk_pull"": -0.1995827694031672, ""distance_pull"": -0.08240574501244306, ""inclination_pull"": -0.3914209061732549}",6,True,,True,lower,False,"[1.4640517042407188, 4.860141503940442, 1.5590149985983416e-18, -0.1995827694031672, -0.08240574501244306, -0.3914209061732549]",0.001,2.2066539194969134e-07,3.4402065572115057e-25,2.960805856216308e-07,False,True,14.172948102164618,0.0,2.2066539194969134e-07,3.4402065572115057e-25,2.960805856216308e-07,admissible original,0,[]
F568-V1,guarded_free_family,False,15,15,0,5.109575467378143,0.3406383644918762,0.24821249930311234,5.357787966681255,1.5881064592372278e-17,2.711426357908585,129.68608534290476,2.6759103888477007,142.00811768788623,0.5091057300260314,0.7,1.0132724807261495,44.73764952924494,0.47376495292449433,False,True,True,,,233.326761222712,,"{""disk_pull"": 0.07837980748230336, ""distance_pull"": 0.13272480726149527, ""inclination_pull"": 0.47376495292449433}",6,True,,True,lower,False,"[0.9842896547275903, 4.955884222783401, 1.5881064592372278e-17, 0.07837980748230336, 0.13272480726149527, 0.47376495292449433]",0.001,1.8713083528714922e-07,2.9718368824197945e-24,2.510851693151585e-07,False,True,5.357787966681255,0.0,1.8713083528714922e-07,2.9718368824197945e-24,2.510851693151585e-07,admissible original,0,[]
F571-8,guarded_free_family,False,13,13,0,6.121249632280823,0.47086535632929405,6.446722462799286,12.567972095080108,2.960409816468629e-18,2.796287425510381,181.65676590335295,4.866888022839283,181.5079024604803,0.3626676548253533,0.7,0.5745534749079888,84.489334722366,2.1192803539630094,False,True,True,,,327.91172127630676,,"{""disk_pull"": -1.3946118037197546, ""distance_pull"": -2.1192803539630094, ""inclination_pull"": -0.10213305552680013}",6,True,,True,lower,False,"[1.5824547231568669, 5.201299192484243, 2.960409816468629e-18, -1.3946118037197546, -2.1192803539630094, -0.10213305552680013]",0.001,3.6716540142606204e-07,1.0869600586493589e-24,4.926488295863545e-07,False,True,12.567972095080108,0.0,3.6716540142606204e-07,1.0869600586493589e-24,4.926488295863545e-07,admissible original,0,[]
F571-V1,guarded_free_family,False,7,7,0,0.40676582689421853,0.05810940384203122,0.00493081118434964,0.41169663807856816,2.0974396457835484e-18,4.3518417365417745,96.23046578532403,4.347383941682775,97.99137881767635,0.5038999231233121,0.7,1.0010253970937,30.607192098927342,0.06071920989273416,False,True,True,,,972.2221757743364,,"{""disk_pull"": 0.033742877623101235, ""distance_pull"": 0.010266788400670787, ""inclination_pull"": 0.06071920989273416}",6,True,,True,lower,False,"[1.4695742714748543, 4.584879503552674, 2.0974396457835484e-18, 0.033742877623101235, 0.010266788400670787, 0.06071920989273416]",0.001,1.0303476146057472e-07,2.1610919358126024e-25,1.382481967067454e-07,False,True,0.41169663807856816,0.0,1.0303476146057472e-07,2.1610919358126024e-25,1.382481967067454e-07,admissible original,0,[]
F574-1,guarded_free_family,False,14,14,0,6.927692351316144,0.4948351679511531,1.0561224976615653,7.983814848977709,1.5019051573937022e-18,3.2340217691148947,108.67503921182299,3.096534262548882,113.1542966199986,0.5918840764583344,0.7,1.0444004473739752,70.6761104358491,0.732666519066554,False,True,True,,,210.89470356729538,,"{""disk_pull"": 0.732666519066554, ""distance_pull"": 0.4440044737397511, ""inclination_pull"": 0.5676110435849101}",6,True,,True,lower,False,"[1.1302835062625463, 4.7287523441380825, 1.5019051573937022e-18, 0.732666519066554, 0.4440044737397511, 0.5676110435849101]",0.001,1.314069106593673e-07,1.973607168364772e-25,1.7631688738769263e-07,False,True,7.983814848977709,0.0,1.314069106593673e-07,1.973607168364772e-25,1.7631688738769263e-07,admissible original,0,[]
F583-1,guarded_free_family,False,25,25,0,6.326404786660996,0.2530561914664398,0.2609516457441297,6.587356432405126,1.1017872843480844e-16,3.900712349771207,100.67269542505475,3.498975374389425,101.44554506779782,0.5162542421660077,0.7,1.1148156052546914,63.87644711227024,0.4592624210187651,False,True,True,,,33.59385819470158,,"{""disk_pull"": 0.1389362902910484, ""distance_pull"": 0.4592624210187651, ""inclination_pull"": 0.17528942245404833}",6,True,,True,lower,False,"[1.2524701754612206, 4.619522152718163, 1.1017872843480844e-16, 0.1389362902910484, 0.4592624210187651, 0.17528942245404833]",0.001,1.1276698976455824e-07,1.2424523541680085e-23,1.5130653734723783e-07,False,True,6.587356432405126,0.0,1.1276698976455824e-07,1.2424523541680085e-23,1.5130653734723783e-07,admissible original,0,[]
