tau,z,D_to_reference,ergotropy_over_kBT,ergotropy_sorted_over_kBT,spectral_mismatch
-2.2400000000000002e+00,2.5924651196577837e-02,1.3880571446991469e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3880571446991469e-01
-2.2300000000000000e+00,2.6178377572967922e-02,1.3823863802290109e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3823863802290109e-01
-2.2199999999999998e+00,2.6434519796900244e-02,1.3766872359686477e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3766872359686477e-01
-2.2100000000000000e+00,2.6693099546103681e-02,1.3709597149272651e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3709597149272651e-01
-2.2000000000000002e+00,2.6954138666779603e-02,1.3652038229025987e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3652038229025987e-01
-2.1899999999999999e+00,2.7217659174389147e-02,1.3594195685309718e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3594195685309718e-01
-2.1800000000000002e+00,2.7483683254432859e-02,1.3536069633380110e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3536069633380110e-01
-2.1699999999999999e+00,2.7752233263222043e-02,1.3477660217898552e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3477660217898552e-01
-2.1600000000000001e+00,2.8023331728641784e-02,1.3418967613449773e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3418967613449773e-01
-2.1499999999999999e+00,2.8297001350905328e-02,1.3359992025065437e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3359992025065437e-01
-2.1400000000000001e+00,2.8573265003299101e-02,1.3300733688753816e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3300733688753816e-01
-2.1299999999999999e+00,2.8852145732918569e-02,1.3241192872034721e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3241192872034721e-01
-2.1200000000000001e+00,2.9133666761394127e-02,1.3181369874480769e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3181369874480769e-01
-2.1099999999999999e+00,2.9417851485606859e-02,1.3121265028263884e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3121265028263884e-01
-2.1000000000000001e+00,2.9704723478393820e-02,1.3060878698708156e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3060878698708156e-01
-2.0899999999999999e+00,2.9994306489242391e-02,1.3000211284847790e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3000211284847790e-01
-2.0800000000000001e+00,3.0286624444973289e-02,1.2939263219991620e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2939263219991620e-01
-2.0699999999999998e+00,3.0581701450412110e-02,1.2878034972292929e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2878034972292929e-01
-2.0600000000000001e+00,3.0879561789048538e-02,1.2816527045325485e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2816527045325485e-01
-2.0499999999999998e+00,3.1180229923683325e-02,1.2754739978665069e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2754739978665069e-01
-2.0400000000000000e+00,3.1483730497062289e-02,1.2692674348477201e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2692674348477201e-01
-2.0299999999999998e+00,3.1790088332496982e-02,1.2630330768110451e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2630330768110451e-01
-2.0200000000000000e+00,3.2099328434471809e-02,1.2567709888696099e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2567709888696099e-01
-2.0099999999999998e+00,3.2411475989236840e-02,1.2504812399752882e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2504812399752882e-01
-2.0000000000000000e+00,3.2726556365386059e-02,1.2441639029798610e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2441639029798610e-01
-1.9900000000000000e+00,3.3044595114420761e-02,1.2378190546966734e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2378190546966734e-01
-1.9800000000000000e+00,3.3365617971297307e-02,1.2314467759629520e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2314467759629520e-01
-1.9700000000000000e+00,3.3689650854958918e-02,1.2250471517026776e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2250471517026776e-01
-1.9600000000000000e+00,3.4016719868851270e-02,1.2186202709900293e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2186202709900293e-01
-1.9500000000000000e+00,3.4346851301420976e-02,1.2121662271134720e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2121662271134720e-01
-1.9399999999999999e+00,3.4680071626596809e-02,1.2056851176403693e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2056851176403693e-01
-1.9299999999999999e+00,3.5016407504253229e-02,1.1991770444822317e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1991770444822317e-01
-1.9199999999999999e+00,3.5355885780655169e-02,1.1926421139605026e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1926421139605026e-01
-1.9100000000000001e+00,3.5698533488884347e-02,1.1860804368729762e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1860804368729762e-01
-1.8999999999999999e+00,3.6044377849246120e-02,1.1794921285607669e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1794921285607669e-01
-1.8900000000000001e+00,3.6393446269656168e-02,1.1728773089758586e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1728773089758586e-01
-1.8799999999999999e+00,3.6745766346007222e-02,1.1662361027492518e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1662361027492518e-01
-1.8700000000000001e+00,3.7101365862514453e-02,1.1595686392596760e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1595686392596760e-01
-1.8599999999999999e+00,3.7460272792039437e-02,1.1528750527028597e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1528750527028597e-01
-1.8500000000000001e+00,3.7822515296392252e-02,1.1461554821614151e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1461554821614151e-01
-1.8399999999999999e+00,3.8188121726610666e-02,1.1394100716752292e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1394100716752292e-01
-1.8300000000000001e+00,3.8557120623216236e-02,1.1326389703124862e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1326389703124862e-01
-1.8199999999999998e+00,3.8929540716446873e-02,1.1258423322412126e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1258423322412126e-01
-1.8100000000000001e+00,3.9305410926464508e-02,1.1190203168013652e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1190203168013652e-01
-1.7999999999999998e+00,3.9684760363538400e-02,1.1121730885775363e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1121730885775363e-01
-1.7900000000000000e+00,4.0067618328202444e-02,1.1053008174721324e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1053008174721324e-01
-1.7800000000000000e+00,4.0454014311386531e-02,1.0984036787791693e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0984036787791693e-01
-1.7700000000000000e+00,4.0843977994520844e-02,1.0914818532585424e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0914818532585424e-01
-1.7600000000000000e+00,4.1237539249613264e-02,1.0845355272108978e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0845355272108978e-01
-1.7500000000000000e+00,4.1634728139298027e-02,1.0775648925529846e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0775648925529846e-01
