BKM_distance,sharp_bound,local_distance_squared,symmetric_cycle_direct,asymmetric_cycle_direct,symmetric_z0,symmetric_z1,asymmetric_z0,asymmetric_z1
2.8499999999999998e-01,8.1225748628128050e-02,8.1224999999999992e-02,8.1225748628128480e-02,8.2614500369337485e-02,4.2899089200796225e-01,5.7100910799203763e-01,8.7804154174905658e-01,9.5479732297158204e-01
2.9249999999999998e-01,8.5557125160359931e-02,8.5556249999999986e-02,8.5557125160359959e-02,8.7083154427057163e-02,4.2713540055696686e-01,5.7286459944303303e-01,8.7594773286237404e-01,9.5503075206361288e-01
2.9999999999999999e-01,9.0001019058123494e-02,8.9999999999999997e-02,9.0001019058123966e-02,9.1673585603263774e-02,4.2528093376320036e-01,5.7471906623679958e-01,8.7383864527660560e-01,9.5526360525740861e-01
3.0750000000000000e-01,9.4557432183081755e-02,9.4556249999999994e-02,9.4557432183081769e-02,9.6386131212827131e-02,4.2342751770507137e-01,5.7657248229492852e-01,8.7171436470609820e-01,9.5549588225826476e-01
3.1500000000000000e-01,9.9226366543685135e-02,9.9225000000000008e-02,9.9226366543684996e-02,1.0122112937973116e-01,4.2157517844621295e-01,5.7842482155378694e-01,8.6957497748264978e-01,9.5572758277220582e-01
3.2250000000000001e-01,1.0400782430283916e-01,1.0400625000000001e-01,1.0400782430283928e-01,1.0617891887234210e-01,4.1972394203511509e-01,5.8027605796488479e-01,8.6742057055199973e-01,9.5595870650598591e-01
3.2999999999999996e-01,1.0890180778578579e-01,1.0889999999999997e-01,1.0890180778578618e-01,1.1125983894622982e-01,4.1787383450475940e-01,5.8212616549524054e-01,8.6525123147029570e-01,9.5618925316708880e-01
3.3749999999999997e-01,1.1390831948820036e-01,1.1390624999999997e-01,1.1390831948820046e-01,1.1646422919417265e-01,4.1602488187225273e-01,5.8397511812774716e-01,8.6306704840053527e-01,9.5641922246372901e-01
3.4499999999999997e-01,1.1902736208450580e-01,1.1902499999999998e-01,1.1902736208450571e-01,1.2179242940297996e-01,4.1417711013846087e-01,5.8582288986153896e-01,8.6086811010898279e-01,9.5664861410485169e-01
3.5249999999999998e-01,1.2425893843640676e-01,1.2425624999999998e-01,1.2425893843640679e-01,1.2724477941681078e-01,4.1233054528764329e-01,5.8766945471235676e-01,8.5865450596156212e-01,9.5687742780013307e-01
3.5999999999999999e-01,1.2960305160164512e-01,1.2959999999999999e-01,1.2960305160164531e-01,1.3282161900667111e-01,4.1048521328708792e-01,5.8951478671291202e-01,8.5642632592022472e-01,9.5710566325998092e-01
3.6749999999999999e-01,1.3505970484297886e-01,1.3505624999999999e-01,1.3505970484297913e-01,1.3852328774578559e-01,4.0864114008674535e-01,5.9135885991325454e-01,8.5418366053929329e-01,9.5733332019553485e-01
3.7500000000000000e-01,1.4062890163738731e-01,1.4062500000000000e-01,1.4062890163738784e-01,1.4435012489057808e-01,4.0679835161886496e-01,5.9320164838113487e-01,8.5192660096178197e-01,9.5756039831866635e-01
3.8250000000000001e-01,1.4631064568550411e-01,1.4630625000000000e-01,1.4631064568550389e-01,1.5030246926699764e-01,4.0495687379762901e-01,5.9504312620237076e-01,8.4965523891569206e-01,9.5778689734197986e-01
3.9000000000000001e-01,1.5210494092128038e-01,1.5210000000000001e-01,1.5210494092128002e-01,1.5638065916192456e-01,4.0311673251878899e-01,5.9688326748121090e-01,8.4736966671028380e-01,9.5801281697881246e-01
3.9749999999999996e-01,1.5801179152188094e-01,1.5800624999999996e-01,1.5801179152188105e-01,1.6258503221945908e-01,4.0127795365930136e-01,5.9872204634069870e-01,8.4506997723232580e-01,9.5823815694323478e-01
4.0499999999999997e-01,1.6403120191781559e-01,1.6402499999999998e-01,1.6403120191781495e-01,1.6891592534184063e-01,3.9944056307696352e-01,6.0055943692303637e-01,8.4275626394231928e-01,9.5846291695005081e-01
4.1249999999999998e-01,1.7016317680330748e-01,1.7015624999999998e-01,1.7016317680330828e-01,1.7537367459480446e-01,3.9760458661005005e-01,6.0239541338994984e-01,8.4042862087069958e-01,9.5868709671479868e-01
4.1999999999999998e-01,1.7640772114690231e-01,1.7639999999999997e-01,1.7640772114690240e-01,1.8195861511718725e-01,3.9577005007695015e-01,6.0422994992304968e-01,8.3808714261401596e-01,9.5891069595375111e-01
