galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,parameters_json,guard_epsilon,gradient_ratio,contact_ratio,potential_depth_ratio,guard_active,original_admissible,original_objective,objective_increase,original_gradient_ratio,original_contact_ratio,original_potential_depth_ratio,selected_candidate,constrained_starts,trial_records_json
ESO116-G012,guarded_free_family,False,15,15,0,8.140650642535665,0.542710042835711,1.8904344544549185,10.031085096990584,1.2142340615848532e-16,4.182563142218708,120.08089340119902,3.229743479096537,120.30251956104895,0.6226668588120712,0.7,1.2950140372723054,74.37302234916892,0.9833801242410177,False,True,True,,,271.86575281483437,,"{""disk_pull"": 0.9528574685500364, ""distance_pull"": 0.9833801242410177, ""inclination_pull"": 0.12434078305630572}",6,True,,True,lower,False,"[1.1724027158444037, 4.79000956674343, 1.2142340615848532e-16, 0.9528574685500364, 0.9833801242410177, 0.12434078305630572]",0.001,1.6043769539438238e-07,1.948089145100344e-23,2.152693106447044e-07,False,True,10.031085096990584,0.0,1.6043769539438238e-07,1.948089145100344e-23,2.152693106447044e-07,admissible original,0,[]
ESO444-G084,guarded_free_family,False,7,7,0,11.496847424259295,1.642406774894185,4.226815161883994,15.72366258614329,6.21806377353958e-31,1.4811306265117563,60.356423261007514,1.3983089878267836,74.93081833752797,0.6661072350694378,0.7,1.0592298550649324,41.13838974923689,1.5230649582061484,False,True,True,,,173.61711664515295,,"{""disk_pull"": 1.2457414653097139, ""distance_pull"": 0.5960004165908821, ""inclination_pull"": 1.5230649582061484}",6,True,,True,lower,False,"[0.3352636407253261, 4.316565265676891, 6.21806377353958e-31, 1.2457414653097139, 0.5960004165908821, 1.5230649582061484]",0.001,4.053270473480785e-08,2.5203494295508493e-38,5.4385270153493785e-08,False,True,15.72366258614329,0.0,4.053270473480785e-08,2.5203494295508493e-38,5.4385270153493785e-08,admissible original,0,[]
ESO563-G021,guarded_free_family,False,30,30,0,260.7803190425384,8.692677301417946,14.358912154383972,275.13923119692237,9.563506720754442e-24,6.043231571631432,433.60376205055354,6.926606415045847,433.4180916000308,0.21369852862023941,0.7,0.8724664300983576,82.80294419193855,3.6916847241205564,False,True,True,,,1055.660768027882,,"{""disk_pull"": -3.6916847241205564, ""distance_pull"": -0.8520924230791052, ""inclination_pull"": -0.06568526935381436}",6,True,,True,lower,False,"[1.9353699984635775, 6.071702831655186, 9.563506720754442e-24, -3.6916847241205564, -0.8520924230791052, -0.06568526935381436]",0.001,2.0919180986377235e-06,2.0006072795589723e-29,2.8068576148014854e-06,False,True,275.13923119692237,0.0,2.0919180986377235e-06,2.0006072795589723e-29,2.8068576148014854e-06,admissible original,0,[]
F565-V2,guarded_free_family,False,7,7,0,0.258730463843956,0.03696149483485085,6.952886516673102e-06,0.2587374167304727,1.565697476546504e-19,3.517750223863528,97.961196951756,3.517441467441362,97.96552820133313,0.49970500584760424,0.7,1.0000877786951181,60.00438804621014,0.002563042808593749,False,True,True,,,494.57074571243265,,"{""disk_pull"": -0.002563042808593749, ""distance_pull"": 0.0004372054237610578, ""inclination_pull"": 0.000438804621013593}",6,True,,True,lower,False,"[1.2577338694817033, 4.584615663743336, 1.565697476546504e-19, -0.002563042808593749, 0.0004372054237610578, 0.000438804621013593]",0.001,1.0677430667724519e-07,1.6717626252456533e-26,1.4326577888366775e-07,False,True,0.2587374167304727,0.0,1.0677430667724519e-07,1.6717626252456533e-26,1.4326577888366775e-07,admissible original,0,[]
F568-3,guarded_free_family,False,18,18,0,13.973113944338246,0.7762841080187914,0.19983415782693917,14.172948102165186,1.5624715847500865e-18,4.287813808958505,140.82761037244504,4.323441382707058,129.0424595578953,0.4775422015560067,0.7,0.991759441011261,36.085791089208264,0.3914208910791734,False,True,True,,,195.2193170595423,,"{""disk_pull"": -0.1995824706957911, ""distance_pull"": -0.08240558988739025, ""inclination_pull"": -0.3914208910791734}",6,True,,True,lower,False,"[1.4640517014929848, 4.860141494065369, 1.5624715847500865e-18, -0.1995824706957911, -0.08240558988739025, -0.3914208910791734]",0.001,2.2066538599629828e-07,3.447833953571257e-25,2.960805776335902e-07,False,True,14.172948102165186,0.0,2.2066538599629828e-07,3.447833953571257e-25,2.960805776335902e-07,admissible original,0,[]
F568-V1,guarded_free_family,False,15,15,0,5.109575617834499,0.3406383745222999,0.24821234885532498,5.357787966689823,1.8604163890986935e-15,2.7114267917376162,129.6860952749224,2.675910860277173,142.00812518526067,0.5091057457555048,0.7,1.0132724643364108,44.737648178622784,0.4737648178622784,False,True,True,,,233.32672350320257,,"{""disk_pull"": 0.07837994166314162, ""distance_pull"": 0.13272464336410802, ""inclination_pull"": 0.4737648178622784}",6,True,,True,lower,False,"[0.9842898309029334, 4.955884275578793, 1.860416389098692e-15, 0.07837994166314162, 0.13272464336410802, 0.4737648178622784]",0.001,1.8713086395000573e-07,3.4814132619878854e-22,2.5108520777390974e-07,False,True,5.357787966689823,0.0,1.8713086395000573e-07,3.4814132619878854e-22,2.5108520777390974e-07,admissible original,0,[]
F571-8,guarded_free_family,False,13,13,0,6.121249561643298,0.4708653508956383,6.446722533439398,12.567972095082695,3.1753327847115725e-18,2.796287528041375,181.65676626606287,4.866888016936441,181.50790243429765,0.36266764050807004,0.7,0.5745534966718946,84.48933345091041,2.119280245550282,False,True,True,,,327.91171954717106,,"{""disk_pull"": -1.3946119751692119, ""distance_pull"": -2.119280245550282, ""inclination_pull"": -0.10213330981791918}",6,True,,True,lower,False,"[1.5824547219440093, 5.2012991923399925, 3.1753327847115725e-18, -1.3946119751692119, -2.119280245550282, -0.10213330981791918]",0.001,3.6716540289228364e-07,1.1658723412157014e-24,4.926488315536758e-07,False,True,12.567972095082695,0.0,3.6716540289228364e-07,1.1658723412157014e-24,4.926488315536758e-07,admissible original,0,[]
F571-V1,guarded_free_family,False,7,7,0,0.40676581593814815,0.05810940227687831,0.004930822140411533,0.41169663807855966,2.228058038784103e-18,4.351841755981683,96.23046493180489,4.347383946984031,97.9913785140698,0.5038999367266201,0.7,1.0010254003446704,30.60719229453946,0.06071922945394584,False,True,True,,,972.2221839173559,,"{""disk_pull"": 0.03374299486546036, ""distance_pull"": 0.010266820951011304, ""inclination_pull"": 0.06071922945394584}",6,True,,True,lower,False,"[1.469574272694267, 4.584879500454376, 2.228058038784103e-18, 0.03374299486546036, 0.010266820951011304, 0.06071922945394584]",0.001,1.030347596328346e-07,2.2956742447412495e-25,1.3824819425435192e-07,False,True,0.41169663807855966,0.0,1.030347596328346e-07,2.2956742447412495e-25,1.3824819425435192e-07,admissible original,0,[]
F574-1,guarded_free_family,False,14,14,0,6.927692944027514,0.49483521028767957,1.056121904948411,7.983814848975925,1.4964227507315283e-18,3.2340217310701007,108.67504166653939,3.096534261519396,113.15429782807554,0.591884051741286,0.7,1.0444004354349508,70.67610848962956,0.7326663377053987,False,True,True,,,210.89469700727818,,"{""disk_pull"": 0.7326663377053987, ""distance_pull"": 0.44400435434950686, ""inclination_pull"": 0.5676108489629557}",6,True,,True,lower,False,"[1.1302835059300824, 4.728752354814451, 1.4964227507315283e-18, 0.7326663377053987, 0.44400435434950686, 0.5676108489629557]",0.001,1.3140691659572033e-07,1.9664029959731634e-25,1.7631689535286952e-07,False,True,7.983814848975925,0.0,1.3140691659572033e-07,1.9664029959731634e-25,1.7631689535286952e-07,admissible original,0,[]
F583-1,guarded_free_family,False,25,25,0,6.326405733727599,0.25305622934910393,0.26095069870093923,6.587356432428538,4.234060933317703e-15,3.9007122538141568,100.6727091164568,3.498976092784375,101.44555687052932,0.5162543087636078,0.7,1.1148153489411505,63.87644481606043,0.45926139576460207,False,True,True,,,33.593852818340146,,"{""disk_pull"": 0.13893685053764834, ""distance_pull"": 0.45926139576460207, ""inclination_pull"": 0.17528896321208576}",6,True,,True,lower,False,"[1.252470380777006, 4.619522269063645, 4.234060933317694e-15, 0.13893685053764834, 0.45926139576460207, 0.17528896321208576]",0.001,1.1276702043699217e-07,4.774624357989075e-22,1.5130657850236507e-07,False,True,6.587356432428538,0.0,1.1276702043699217e-07,4.774624357989075e-22,1.5130657850236507e-07,admissible original,0,[]
