galaxy,model,configuration,holdout,n,n_train,n_test,n_parameters,chi2_data,chi2_data_per_row,prior_penalty,objective,length_catalogue_kpc,amplitude_catalogue_kms,physical_length_kpc,physical_amplitude_kms,ml_disk,ml_bulge,distance_ratio,distance_Mpc,inclination_deg,disk_pull,bulge_pull,distance_pull,inclination_pull,halo_bound_hit,nuisance_bound_hit,maximum_abs_pull,success,optimality,n_starts,near_best_starts,restart_objective_spread,holdout_admissible,holdout_chi2,holdout_chi2_per_row,distance_method,parameters_json,parameter_names_json
DDO161,nfw,fixed,False,31,31,0,2,33.319075563925146,1.0748088891588756,0.0,33.319075563925146,71.60738092218912,224.0586469996153,71.60738092218912,224.0586469996153,0.5,0.7,1.0,7.5,70.0,0.0,0.0,0.0,0.0,False,False,0.0,True,3.0351159082998986e-05,8,8,1.5432988220709376e-10,True,,,1,"[4.271198154159089, 5.411907834549528]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO168,core,fixed,False,10,10,0,2,26.031118340608874,2.603111834060887,0.0,26.031118340608874,1.7811925398481774,61.2213444701156,1.7811925398481774,61.2213444701156,0.5,0.7,1.0,4.25,63.0,0.0,0.0,0.0,0.0,False,False,0.0,True,2.8871208206083998e-05,8,8,1.5645085227333766e-10,True,,,2,"[0.5772831061836646, 4.11449589456517]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO168,nfw,fixed,False,10,10,0,2,85.203725082123,8.5203725082123,0.0,85.203725082123,4999.999999999986,2466.919981133704,4999.999999999986,2466.919981133704,0.5,0.7,1.0,4.25,63.0,0.0,0.0,0.0,0.0,True,False,0.0,True,3.018983365847073e-06,8,8,4.055067392982892e-10,True,,,2,"[8.517193191416235, 7.81072568030558]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO170,core,fixed,False,8,8,0,2,40.61069310985606,5.076336638732007,0.0,40.61069310985606,3.3615799217327615,63.38070137098063,3.3615799217327615,63.38070137098063,0.5,0.7,1.0,15.4,66.0,0.0,0.0,0.0,0.0,False,False,0.0,True,2.1854357506196265e-05,8,8,4.5834980255676783e-10,True,,,1,"[1.2124110782601931, 4.1491594203262006]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO170,nfw,fixed,False,8,8,0,2,12.969326322828968,1.621165790353621,0.0,12.969326322828968,13.326296217545101,127.02934687540474,13.326296217545101,127.02934687540474,0.5,0.7,1.0,15.4,66.0,0.0,0.0,0.0,0.0,False,False,0.0,True,8.191804414259946e-07,8,8,3.886668764607748e-12,True,,,1,"[2.5897392424348755, 4.844418137523331]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO079-G014,core,fixed,False,15,15,0,2,13.778292906588119,0.9185528604392079,0.0,13.778292906588119,5.382141078072142,171.86541493140675,5.382141078072142,171.86541493140675,0.5,0.7,1.0,28.7,79.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.4728057600044121e-05,8,8,1.0551559626037488e-11,True,,,1,"[1.6830862649065608, 5.146711699193946]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO079-G014,nfw,fixed,False,15,15,0,2,49.49539665201267,3.299693110134178,0.0,49.49539665201267,68.21782693981504,509.14639783149306,68.21782693981504,509.14639783149306,0.5,0.7,1.0,28.7,79.0,0.0,0.0,0.0,0.0,False,False,0.0,True,2.5691269172349678e-05,8,8,7.197229479061207e-10,True,,,1,"[4.222705922771858, 6.232735593725699]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO116-G012,core,fixed,False,15,15,0,2,20.148373255957388,1.3432248837304925,0.0,20.148373255957388,2.5968240509526668,115.89099516312618,2.5968240509526668,115.89099516312618,0.5,0.7,1.0,13.0,74.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.1181714667888344e-06,8,8,3.7896796811764943e-11,True,,,1,"[0.9542891795008062, 4.752650052444871]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO116-G012,nfw,fixed,False,15,15,0,2,30.398477754824203,2.026565183654947,0.0,30.398477754824203,24.04641084251463,295.5081799156604,24.04641084251463,295.5081799156604,0.5,0.7,1.0,13.0,74.0,0.0,0.0,0.0,0.0,False,False,0.0,True,8.958708305122565e-06,8,8,1.723989839774731e-10,True,,,1,"[3.1799857480972946, 5.688696518072704]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO444-G084,core,fixed,False,7,7,0,2,20.02017917470209,2.860025596386013,0.0,20.02017917470209,1.1696821362113088,69.83945826641988,1.1696821362113088,69.83945826641988,0.5,0.7,1.0,4.83,32.0,0.0,0.0,0.0,0.0,False,False,0.0,True,8.95306960057598e-06,8,8,7.30366878087807e-11,True,,,2,"[0.15673203344651576, 4.246199154720333]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO444-G084,nfw,fixed,False,7,7,0,2,3.349026599496533,0.47843237135664757,0.0,3.349026599496533,12.714368837372833,194.3741869826471,12.714368837372833,194.3741869826471,0.5,0.7,1.0,4.83,32.0,0.0,0.0,0.0,0.0,False,False,0.0,True,3.19940919230058e-05,8,8,9.213074747549399e-12,True,,,2,"[2.5427327584263524, 5.26978510019882]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO563-G021,core,fixed,False,30,30,0,2,342.6807389905203,11.42269129968401,0.0,342.6807389905203,6.929835002331412,345.79956268147953,6.929835002331412,345.79956268147953,0.5,0.7,1.0,60.8,83.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.00012431694765066605,8,8,2.6151383281103335e-09,True,,,1,"[1.9358360037309823, 5.845859308591015]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
ESO563-G021,nfw,fixed,False,30,30,0,2,577.7054771752254,19.25684923917418,0.0,577.7054771752254,39.06059583982452,649.2707430523153,39.06059583982452,649.2707430523153,0.5,0.7,1.0,60.8,83.0,0.0,0.0,0.0,0.0,False,False,0.0,True,7.708634217929674e-05,8,8,3.2081288736662827e-09,True,,,1,"[3.6651141798079787, 6.475849799285191]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F565-V2,core,fixed,False,7,7,0,2,0.2864280737521649,0.04091829625030927,0.0,0.2864280737521649,3.2010655330873394,88.251282549712,3.2010655330873394,88.251282549712,0.5,0.7,1.0,51.8,60.0,0.0,0.0,0.0,0.0,False,False,0.0,True,3.539998824742927e-07,8,8,1.5720758028692217e-13,True,,,1,"[1.1634837334702406, 4.480188228849014]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F565-V2,nfw,fixed,False,7,7,0,2,1.8697709470937578,0.26711013529910826,0.0,1.8697709470937578,4999.9999999937245,2675.613573921729,4999.9999999937245,2675.613573921729,0.5,0.7,1.0,51.8,60.0,0.0,0.0,0.0,0.0,True,False,0.0,True,6.76515123936431e-09,8,8,5.701883409869879e-12,True,,,1,"[8.517193191414982, 7.891934006456728]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F568-3,core,fixed,False,18,18,0,2,14.792389038559723,0.8217993910310957,0.0,14.792389038559723,3.9624989414789233,113.89767497893554,3.9624989414789233,113.89767497893554,0.5,0.7,1.0,82.4,40.0,0.0,0.0,0.0,0.0,False,False,0.0,True,2.891266653174318e-06,8,8,2.972910806420259e-11,True,,,1,"[1.3768748720687067, 4.735300457417185]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F568-3,nfw,fixed,False,18,18,0,2,51.03379404285348,2.8352107801585267,0.0,51.03379404285348,4999.999999999995,2636.3238854643423,4999.999999999995,2636.3238854643423,0.5,0.7,1.0,82.4,40.0,0.0,0.0,0.0,0.0,True,False,0.0,True,3.9302689798699745e-07,8,8,6.139089236967266e-11,True,,,1,"[8.517193191416236, 7.877140758129249]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F568-V1,core,fixed,False,15,15,0,2,6.267627104477277,0.4178418069651518,0.0,6.267627104477277,2.4752907324527635,130.54142000495375,2.4752907324527635,130.54142000495375,0.5,0.7,1.0,80.6,40.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.0891527474025885e-05,8,8,1.3883028060490687e-10,True,,,1,"[0.9063578567795508, 4.871690571077689]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F568-V1,nfw,fixed,False,15,15,0,2,2.823920805712012,0.18826138704746748,0.0,2.823920805712012,8.012882358088724,244.55671206469617,8.012882358088724,244.55671206469617,0.5,0.7,1.0,80.6,40.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.986627627744242e-06,8,8,1.2260858994750379e-11,True,,,1,"[2.081050541306497, 5.499447233203261]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F571-8,core,fixed,False,13,13,0,2,105.44605666256008,8.111235127889238,0.0,105.44605666256008,5.355201293017288,163.59156969797024,5.355201293017288,163.59156969797024,0.5,0.7,1.0,53.3,85.0,0.0,0.0,0.0,0.0,False,False,0.0,True,8.680489249628007e-06,8,8,3.405915549592464e-10,True,,,1,"[1.6780682929256892, 5.097372892877425]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F571-8,nfw,fixed,False,13,13,0,2,210.3383716718526,16.179874743988663,0.0,210.3383716718526,4999.999999926578,3742.913226038759,4999.999999926578,3742.913226038759,0.5,0.7,1.0,53.3,85.0,0.0,0.0,0.0,0.0,True,False,0.0,True,9.120905828522753e-06,8,8,2.744400262599811e-10,True,,,1,"[8.517193191401553, 8.227619524637772]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F571-V1,core,fixed,False,7,7,0,2,0.5056916744014487,0.07224166777163553,0.0,0.5056916744014487,3.9922574287055035,89.043934545616,3.9922574287055035,89.043934545616,0.5,0.7,1.0,80.1,30.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.347870919501874e-06,8,8,1.3761214390228815e-12,True,,,1,"[1.3843568425187485, 4.4891298945087055]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F571-V1,nfw,fixed,False,7,7,0,2,1.5938606361574643,0.22769437659392347,0.0,1.5938606361574643,26.16322829669347,206.3106764972691,26.16322829669347,206.3106764972691,0.5,0.7,1.0,80.1,30.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.8987821250387168e-06,8,8,1.681366157413322e-11,True,,,1,"[3.2643549248120305, 5.329383171027337]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F574-1,core,fixed,False,14,14,0,2,10.776002737144497,0.769714481224607,0.0,10.776002737144497,2.8385464092031993,106.10652731347066,2.8385464092031993,106.10652731347066,0.5,0.7,1.0,96.8,65.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.6588375362676313e-05,8,8,1.6368417732337548e-10,True,,,1,"[1.0432920933992307, 4.6644435641185]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F574-1,nfw,fixed,False,14,14,0,2,19.7246791519399,1.4089056537099929,0.0,19.7246791519399,15.908197493666485,221.93467131138607,15.908197493666485,221.93467131138607,0.5,0.7,1.0,96.8,65.0,0.0,0.0,0.0,0.0,False,False,0.0,True,6.5007445041649986e-06,8,8,1.857465292687266e-10,True,,,1,"[2.766834542007286, 5.40238306519324]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F583-1,core,fixed,False,25,25,0,2,7.955736648624692,0.3182294659449877,0.0,7.955736648624692,3.2449126843755405,93.43786582590067,3.2449126843755405,93.43786582590067,0.5,0.7,1.0,35.4,63.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.2227471331709354e-05,8,8,9.023981561995242e-11,True,,,1,"[1.177088442051519, 4.537296678770927]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F583-1,nfw,fixed,False,25,25,0,2,35.95753615281708,1.438301446112683,0.0,35.95753615281708,29.881439928517466,226.15313652443902,29.881439928517466,226.15313652443902,0.5,0.7,1.0,35.4,63.0,0.0,0.0,0.0,0.0,False,False,0.0,True,2.300948572494108e-05,8,8,1.6310579553646676e-09,True,,,1,"[3.3972375494822615, 5.421212365049161]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F583-4,core,fixed,False,12,12,0,2,10.750352516082506,0.8958627096735422,0.0,10.750352516082506,2.2369389694395294,66.6815465045242,2.2369389694395294,66.6815465045242,0.5,0.7,1.0,53.3,55.0,0.0,0.0,0.0,0.0,False,False,0.0,True,3.30509163147934e-05,8,8,5.251479251455748e-10,True,,,1,"[0.805108399811071, 4.199928250542919]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
F583-4,nfw,fixed,False,12,12,0,2,1.5171284566452186,0.12642737138710156,0.0,1.5171284566452186,27.448176572912306,197.03882288358693,27.448176572912306,197.03882288358693,0.5,0.7,1.0,53.3,55.0,0.0,0.0,0.0,0.0,False,False,0.0,True,3.247578682914282e-06,8,8,2.5284219162813315e-12,True,,,1,"[3.312299738532845, 5.283400779797214]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
IC2574,core,fixed,False,34,34,0,2,113.18735850634435,3.3290399560689514,0.0,113.18735850634435,4.9768227692443565,68.81630932923949,4.9768227692443565,68.81630932923949,0.5,0.7,1.0,3.91,75.0,0.0,0.0,0.0,0.0,False,False,0.0,True,3.4220458947987505e-05,8,8,1.3050964753347216e-09,True,,,2,"[1.604791689285437, 4.231440771050452]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
IC2574,nfw,fixed,False,34,34,0,2,1064.6601021200966,31.313532415296958,0.0,1064.6601021200966,4999.999999999995,1551.16555507314,4999.999999999995,1551.16555507314,0.5,0.7,1.0,3.91,75.0,0.0,0.0,0.0,0.0,True,False,0.0,True,2.9896829075539263e-05,8,8,2.4306245904881507e-10,True,,,2,"[8.517193191416236, 7.3467618983396745]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
IC4202,core,fixed,False,32,32,0,2,997.8183634559776,31.1818238579993,0.0,997.8183634559776,5.272959951470567,219.33909091094694,5.272959951470567,219.33909091094694,0.5,0.7,1.0,100.4,90.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.0007672223654290892,8,8,1.6984813555609435e-08,True,,,1,"[1.6625918655015817, 5.390618892666534]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
IC4202,nfw,fixed,False,32,32,0,2,1205.2439035062016,37.6638719845688,0.0,1205.2439035062016,50.45465356084289,532.9178974807076,50.45465356084289,532.9178974807076,0.5,0.7,1.0,100.4,90.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.0005358360410950485,8,8,2.8152953746030107e-08,True,,,1,"[3.921074983593105, 6.278367373802962]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
KK98-251,core,fixed,False,15,15,0,2,2.9801253069747276,0.19867502046498184,0.0,2.9801253069747276,1.5364428074556895,36.139270136569124,1.5364428074556895,36.139270136569124,0.5,0.7,1.0,6.8,59.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.2045232447452112e-06,8,8,7.571276938733718e-12,True,,,1,"[0.4294698792829907, 3.5873800895138075]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
KK98-251,nfw,fixed,False,15,15,0,2,23.523672052643047,1.5682448035095364,0.0,23.523672052643047,4999.999999999933,1509.2808214791607,4999.999999999933,1509.2808214791607,0.5,0.7,1.0,6.8,59.0,0.0,0.0,0.0,0.0,True,False,0.0,True,3.0838885185373982e-06,8,8,5.275779813018744e-12,True,,,1,"[8.517193191416224, 7.319388539186856]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0024,core,fixed,False,29,29,0,2,94.17376230591438,3.2473711139970476,0.0,94.17376230591438,1.5333396229541276,144.71859663756396,1.5333396229541276,144.71859663756396,0.5,0.7,1.0,7.3,64.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.4828029109411515e-05,8,8,2.793996145555866e-10,True,,,2,"[0.4274481167451318, 4.974791143952985]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
