galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,model,predicted_kms,valid_prediction,fit_failed,failure_reason,conditioning,inclination_factor,distance_ratio,residual_kms,standardized_residual,squared_standardized_error
CamB,0,0.16,1.99,1.5,False,True,1.22,adaptive_primary,2.865548596789006,True,False,,conditional_inner_validation_retrospective_prediction,0.9705044967338508,0.9547066309317926,0.8755485967890062,0.5836990645260042,0.34070459792853236
CamB,0,0.16,1.99,1.5,False,True,1.22,baryon_only,2.8215126046778702,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9705044967338508,0.9547066309317926,0.8315126046778702,0.5543417364519135,0.30729476077252277
CamB,0,0.16,1.99,1.5,False,True,1.22,compact_plummer,2.865548596789006,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,0.8755485967890062,0.5836990645260042,0.34070459792853236
CamB,0,0.16,1.99,1.5,False,True,1.22,extended,2.865548596789006,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,0.8755485967890062,0.5836990645260042,0.34070459792853236
CamB,0,0.16,1.99,1.5,False,True,1.22,nfw,2.8855022358480533,True,False,,inner_only_retrospective_prediction,0.977204588245286,0.9637632320787952,0.8955022358480533,0.5970014905653689,0.35641077973727225
CamB,0,0.16,1.99,1.5,False,True,1.22,profiled_baryons,2.885502003618126,True,False,,independently_profiled_baryons_inner_only_matched_priors,0.9772044143426082,0.9637633377673184,0.895502003618126,0.5970013357454174,0.35641059488181254
CamB,0,0.16,1.99,1.5,False,True,1.22,scalar_core,2.865548596789373,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,0.875548596789373,0.5836990645262486,0.3407045979288178
CamB,1,0.4099999999999999,4.84,1.5,False,True,1.22,adaptive_primary,6.981416742126187,True,False,,conditional_inner_validation_retrospective_prediction,0.9705044967338508,0.9547066309317926,2.1414167421261867,1.4276111614174578,2.0380736282037026
CamB,1,0.4099999999999999,4.84,1.5,False,True,1.22,baryon_only,6.862632096681927,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9705044967338508,0.9547066309317926,2.022632096681927,1.3484213977879513,1.8182402660124124
CamB,1,0.4099999999999999,4.84,1.5,False,True,1.22,compact_plummer,6.981416742126187,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,2.1414167421261867,1.4276111614174578,2.0380736282037026
