galaxy,model,n_outer,valid,loss,rmse_kms
CamB,adaptive_primary,2,True,16.905718321589262,6.167484594514675
CamB,baryon_only,2,True,23.613066862697867,7.288991730072836
CamB,compact_plummer,2,True,16.905718321589262,6.167484594514675
CamB,extended,2,True,16.90571832158926,6.167484594514674
CamB,nfw,2,True,22.038687988227206,7.041807152536288
CamB,profiled_baryons,2,True,22.038693442917573,7.041808023978255
CamB,scalar_core,2,True,16.90571832154023,6.167484594505731
D631-7,adaptive_primary,4,True,1.8479547551244238,5.39305106598572
D631-7,baryon_only,4,True,109.1023259117705,39.36971346403505
D631-7,compact_plummer,4,True,1.8479547551244244,5.393051065985721
D631-7,extended,4,True,1.8479547551244244,5.393051065985721
D631-7,nfw,4,True,0.7692628172098102,3.047686610884562
D631-7,profiled_baryons,4,True,62.36546264316252,29.84258837164023
D631-7,scalar_core,4,True,1.8479547742625944,5.393051093319352
DDO064,adaptive_primary,3,True,0.4454895711302016,4.574719146089808
DDO064,baryon_only,3,True,13.226302356588276,21.852054640152982
DDO064,compact_plummer,3,True,0.3198396464531727,3.9287339225850255
DDO064,extended,3,True,0.3800657119607107,4.256712430281227
DDO064,nfw,3,True,0.1229078000095256,2.983934211250474
DDO064,profiled_baryons,3,True,0.4932605528955738,4.204792269916587
DDO064,scalar_core,3,True,0.4454895701505434,4.574719141602168
DDO154,adaptive_primary,3,True,3.2544055936624474,1.1567673644069438
DDO154,baryon_only,3,True,1611.4922193209443,29.610733358377882
DDO154,compact_plummer,3,True,3.0483125856519386,1.116915091667309
DDO154,extended,3,True,3.2492856310018516,1.1544779913289172
DDO154,nfw,3,True,21.741567215625707,4.687661784463014
DDO154,profiled_baryons,3,True,1013.170365611059,23.529090196740288
DDO154,scalar_core,3,True,2.8600427682733227,1.079466660597766
DDO161,adaptive_primary,7,True,3.982072567909721,2.090809313011114
DDO161,baryon_only,7,True,947.3869820694362,32.976334586239325
DDO161,compact_plummer,7,True,4.522180853126215,2.2281431133246987
DDO161,extended,7,True,4.223920453952181,2.1539408199558854
DDO161,nfw,7,True,24.071295212343188,4.762085921833166
