galaxy,model,n_outer,n_valid,fit_failed,failure_reason
NGC0100,compact_plummer,5,5,False,
NGC0100,extended,5,5,False,
NGC0100,nfw,5,5,False,
NGC0100,profiled_baryons,5,5,False,
NGC0100,scalar_core,5,5,False,
NGC0247,adaptive_primary,6,6,False,
NGC0247,baryon_only,6,6,False,
NGC0247,compact_plummer,6,6,False,
NGC0247,extended,6,6,False,
NGC0247,nfw,6,6,False,
NGC0247,profiled_baryons,6,6,False,
NGC0247,scalar_core,6,6,False,
NGC0289,adaptive_primary,6,6,False,
NGC0289,baryon_only,6,6,False,
NGC0289,compact_plummer,6,6,False,
NGC0289,extended,6,6,False,
NGC0289,nfw,6,6,False,
NGC0289,profiled_baryons,6,6,False,
NGC0289,scalar_core,6,6,False,
NGC0300,adaptive_primary,5,5,False,
NGC0300,baryon_only,5,5,False,
NGC0300,compact_plummer,5,5,False,
NGC0300,extended,5,5,False,
NGC0300,nfw,5,5,False,
NGC0300,profiled_baryons,5,5,False,
NGC0300,scalar_core,5,5,False,
NGC0801,adaptive_primary,3,3,False,
NGC0801,baryon_only,3,3,False,
NGC0801,compact_plummer,3,3,False,
NGC0801,extended,3,3,False,
NGC0801,nfw,3,3,False,
NGC0801,profiled_baryons,3,3,False,
NGC0801,scalar_core,3,3,False,
NGC0891,adaptive_primary,4,4,False,
NGC0891,baryon_only,4,4,False,
NGC0891,compact_plummer,4,4,False,
NGC0891,extended,4,4,False,
NGC0891,nfw,4,4,False,
NGC0891,profiled_baryons,4,4,False,
NGC0891,scalar_core,4,4,False,
NGC1003,adaptive_primary,8,8,False,
NGC1003,baryon_only,8,8,False,
NGC1003,compact_plummer,8,8,False,
NGC1003,extended,8,8,False,
NGC1003,nfw,8,8,False,
NGC1003,profiled_baryons,8,8,False,
NGC1003,scalar_core,8,8,False,
NGC1090,adaptive_primary,5,5,False,
NGC1090,baryon_only,5,5,False,
NGC1090,compact_plummer,5,5,False,
NGC1090,extended,5,5,False,
NGC1090,nfw,5,5,False,
NGC1090,profiled_baryons,5,5,False,
NGC1090,scalar_core,5,5,False,
NGC2403,adaptive_primary,15,15,False,
NGC2403,baryon_only,15,15,False,
NGC2403,compact_plummer,15,15,False,
NGC2403,extended,15,15,False,
NGC2403,nfw,15,15,False,
NGC2403,profiled_baryons,15,15,False,
NGC2403,scalar_core,15,15,False,
NGC2683,adaptive_primary,3,3,False,
NGC2683,baryon_only,3,3,False,
NGC2683,compact_plummer,3,3,False,
NGC2683,extended,3,3,False,
NGC2683,nfw,3,3,False,
NGC2683,profiled_baryons,3,3,False,
NGC2683,scalar_core,3,3,False,
NGC2841,adaptive_primary,10,10,False,
NGC2841,baryon_only,10,10,False,
NGC2841,compact_plummer,10,10,False,
NGC2841,extended,10,10,False,
NGC2841,nfw,10,10,False,
NGC2841,profiled_baryons,10,10,False,
NGC2841,scalar_core,10,10,False,
NGC2903,adaptive_primary,7,7,False,
NGC2903,baryon_only,7,7,False,
NGC2903,compact_plummer,7,7,False,
NGC2903,extended,7,7,False,
NGC2903,nfw,7,7,False,
NGC2903,profiled_baryons,7,7,False,
NGC2903,scalar_core,7,7,False,
NGC2915,adaptive_primary,6,6,False,
NGC2915,baryon_only,6,6,False,
NGC2915,compact_plummer,6,6,False,
NGC2915,extended,6,6,False,
NGC2915,nfw,6,6,False,
NGC2915,profiled_baryons,6,6,False,
NGC2915,scalar_core,6,6,False,
NGC2955,adaptive_primary,5,5,False,
NGC2955,baryon_only,5,5,False,
NGC2955,compact_plummer,5,5,False,
NGC2955,extended,5,5,False,
NGC2955,nfw,5,5,False,
NGC2955,profiled_baryons,5,5,False,
NGC2955,scalar_core,5,5,False,
NGC2976,adaptive_primary,6,6,False,
NGC2976,baryon_only,6,6,False,
NGC2976,compact_plummer,6,6,False,
NGC2976,extended,6,6,False,
NGC2976,nfw,6,6,False,
NGC2976,profiled_baryons,6,6,False,
NGC2976,scalar_core,6,6,False,
NGC2998,adaptive_primary,3,3,False,
NGC2998,baryon_only,3,3,False,
NGC2998,compact_plummer,3,3,False,
NGC2998,extended,3,3,False,
NGC2998,nfw,3,3,False,
NGC2998,profiled_baryons,3,3,False,
NGC2998,scalar_core,3,3,False,
NGC3109,adaptive_primary,5,5,False,
NGC3109,baryon_only,5,5,False,
NGC3109,compact_plummer,5,5,False,
NGC3109,extended,5,5,False,
NGC3109,nfw,5,5,False,
NGC3109,profiled_baryons,5,5,False,
NGC3109,scalar_core,5,5,False,
NGC3198,adaptive_primary,9,9,False,
NGC3198,baryon_only,9,9,False,
NGC3198,compact_plummer,9,9,False,
NGC3198,extended,9,9,False,
NGC3198,nfw,9,9,False,
NGC3198,profiled_baryons,9,9,False,
NGC3198,scalar_core,9,9,False,
NGC3521,adaptive_primary,9,9,False,
NGC3521,baryon_only,9,9,False,
NGC3521,compact_plummer,9,9,False,
NGC3521,extended,9,9,False,
NGC3521,nfw,9,9,False,
NGC3521,profiled_baryons,9,9,False,
NGC3521,scalar_core,9,9,False,
NGC3726,adaptive_primary,3,3,False,
NGC3726,baryon_only,3,3,False,
NGC3726,compact_plummer,3,3,False,
NGC3726,extended,3,3,False,
NGC3726,nfw,3,3,False,
NGC3726,profiled_baryons,3,3,False,
NGC3726,scalar_core,3,3,False,
NGC3741,adaptive_primary,5,5,False,
NGC3741,baryon_only,5,5,False,
NGC3741,compact_plummer,5,5,False,
NGC3741,extended,5,5,False,
NGC3741,nfw,5,5,False,
NGC3741,profiled_baryons,5,5,False,
NGC3741,scalar_core,5,5,False,
NGC3769,adaptive_primary,3,3,False,
NGC3769,baryon_only,3,3,False,
NGC3769,compact_plummer,3,3,False,
NGC3769,extended,3,3,False,
NGC3769,nfw,3,3,False,
NGC3769,profiled_baryons,3,3,False,
NGC3769,scalar_core,3,3,False,
NGC3877,adaptive_primary,3,3,False,
NGC3877,baryon_only,3,3,False,
NGC3877,compact_plummer,3,3,False,
NGC3877,extended,3,3,False,
NGC3877,nfw,3,3,False,
NGC3877,profiled_baryons,3,3,False,
NGC3877,scalar_core,3,3,False,
NGC3893,adaptive_primary,2,2,False,
NGC3893,baryon_only,2,2,False,
NGC3893,compact_plummer,2,2,False,
NGC3893,extended,2,2,False,
NGC3893,nfw,2,2,False,
NGC3893,profiled_baryons,2,2,False,
NGC3893,scalar_core,2,2,False,
NGC3917,adaptive_primary,4,4,False,
NGC3917,baryon_only,4,4,False,
NGC3917,compact_plummer,4,4,False,
NGC3917,extended,4,4,False,
NGC3917,nfw,4,4,False,
NGC3917,profiled_baryons,4,4,False,
NGC3917,scalar_core,4,4,False,
NGC3953,adaptive_primary,2,2,False,
NGC3953,baryon_only,2,2,False,
NGC3953,compact_plummer,2,2,False,
NGC3953,extended,2,2,False,
NGC3953,nfw,2,2,False,
NGC3953,profiled_baryons,2,2,False,
NGC3953,scalar_core,2,2,False,
NGC3972,adaptive_primary,2,2,False,
NGC3972,baryon_only,2,2,False,
NGC3972,compact_plummer,2,2,False,
NGC3972,extended,2,2,False,
NGC3972,nfw,2,2,False,
NGC3972,profiled_baryons,2,2,False,
NGC3972,scalar_core,2,2,False,
NGC3992,adaptive_primary,2,2,False,
NGC3992,baryon_only,2,2,False,
NGC3992,compact_plummer,2,2,False,
NGC3992,extended,2,2,False,
NGC3992,nfw,2,2,False,
NGC3992,profiled_baryons,2,2,False,
NGC3992,scalar_core,2,2,False,
NGC4010,adaptive_primary,3,3,False,
NGC4010,baryon_only,3,3,False,
NGC4010,compact_plummer,3,3,False,
NGC4010,extended,3,3,False,
NGC4010,nfw,3,3,False,
NGC4010,profiled_baryons,3,3,False,
NGC4010,scalar_core,3,3,False,
NGC4013,adaptive_primary,8,8,False,
NGC4013,baryon_only,8,8,False,
NGC4013,compact_plummer,8,8,False,
NGC4013,extended,8,8,False,
NGC4013,nfw,8,8,False,
NGC4013,profiled_baryons,8,8,False,
NGC4013,scalar_core,8,8,False,
NGC4088,adaptive_primary,3,3,False,
NGC4088,baryon_only,3,3,False,
NGC4088,compact_plummer,3,3,False,
NGC4088,extended,3,3,False,
NGC4088,nfw,3,3,False,
NGC4088,profiled_baryons,3,3,False,
NGC4088,scalar_core,3,3,False,
NGC4100,adaptive_primary,5,5,False,
NGC4100,baryon_only,5,5,False,
NGC4100,compact_plummer,5,5,False,
NGC4100,extended,5,5,False,
NGC4100,nfw,5,5,False,
NGC4100,profiled_baryons,5,5,False,
NGC4100,scalar_core,5,5,False,
NGC4157,adaptive_primary,4,4,False,
NGC4157,baryon_only,4,4,False,
NGC4157,compact_plummer,4,4,False,
NGC4157,extended,4,4,False,
NGC4157,nfw,4,4,False,
NGC4157,profiled_baryons,4,4,False,
NGC4157,scalar_core,4,4,False,
NGC4183,adaptive_primary,5,5,False,
NGC4183,baryon_only,5,5,False,
NGC4183,compact_plummer,5,5,False,
NGC4183,extended,5,5,False,
NGC4183,nfw,5,5,False,
NGC4183,profiled_baryons,5,5,False,
NGC4183,scalar_core,5,5,False,
NGC4217,adaptive_primary,4,4,False,
NGC4217,baryon_only,4,4,False,
NGC4217,compact_plummer,4,4,False,
NGC4217,extended,4,4,False,
NGC4217,nfw,4,4,False,
NGC4217,profiled_baryons,4,4,False,
NGC4217,scalar_core,4,4,False,
NGC4559,adaptive_primary,7,7,False,
NGC4559,baryon_only,7,7,False,
NGC4559,compact_plummer,7,7,False,
NGC4559,extended,7,7,False,
NGC4559,nfw,7,7,False,
NGC4559,profiled_baryons,7,7,False,
NGC4559,scalar_core,7,7,False,
NGC5005,adaptive_primary,4,4,False,
NGC5005,baryon_only,4,4,False,
NGC5005,compact_plummer,4,4,False,
NGC5005,extended,4,4,False,
NGC5005,nfw,4,4,False,
NGC5005,profiled_baryons,4,4,False,
NGC5005,scalar_core,4,4,False,
NGC5033,adaptive_primary,5,5,False,
NGC5033,baryon_only,5,5,False,
NGC5033,compact_plummer,5,5,False,
NGC5033,extended,5,5,False,
NGC5033,nfw,5,5,False,
NGC5033,profiled_baryons,5,5,False,
NGC5033,scalar_core,5,5,False,
NGC5055,adaptive_primary,6,6,False,
NGC5055,baryon_only,6,6,False,
NGC5055,compact_plummer,6,6,False,
NGC5055,extended,6,6,False,
NGC5055,nfw,6,6,False,
NGC5055,profiled_baryons,6,6,False,
NGC5055,scalar_core,6,6,False,
NGC5371,adaptive_primary,4,4,False,
NGC5371,baryon_only,4,4,False,
NGC5371,compact_plummer,4,4,False,
NGC5371,extended,4,4,False,
NGC5371,nfw,4,4,False,
NGC5371,profiled_baryons,4,4,False,
NGC5371,scalar_core,4,4,False,
NGC5585,adaptive_primary,5,5,False,
NGC5585,baryon_only,5,5,False,
NGC5585,compact_plummer,5,5,False,
NGC5585,extended,5,5,False,
NGC5585,nfw,5,5,False,
NGC5585,profiled_baryons,5,5,False,
NGC5585,scalar_core,5,5,False,
NGC5907,adaptive_primary,4,4,False,
NGC5907,baryon_only,4,4,False,
NGC5907,compact_plummer,4,4,False,
NGC5907,extended,4,4,False,
NGC5907,nfw,4,4,False,
NGC5907,profiled_baryons,4,4,False,
NGC5907,scalar_core,4,4,False,
NGC5985,adaptive_primary,7,7,False,
NGC5985,baryon_only,7,7,False,
NGC5985,compact_plummer,7,7,False,
NGC5985,extended,7,7,False,
NGC5985,nfw,7,7,False,
NGC5985,profiled_baryons,7,7,False,
NGC5985,scalar_core,7,7,False,
NGC6015,adaptive_primary,9,9,False,
NGC6015,baryon_only,9,9,False,
NGC6015,compact_plummer,9,9,False,
NGC6015,extended,9,9,False,
NGC6015,nfw,9,9,False,
NGC6015,profiled_baryons,9,9,False,
NGC6015,scalar_core,9,9,False,
NGC6195,adaptive_primary,5,5,False,
NGC6195,baryon_only,5,5,False,
NGC6195,compact_plummer,5,5,False,
NGC6195,extended,5,5,False,
NGC6195,nfw,5,5,False,
NGC6195,profiled_baryons,5,5,False,
NGC6195,scalar_core,5,5,False,
NGC6503,adaptive_primary,7,7,False,
NGC6503,baryon_only,7,7,False,
NGC6503,compact_plummer,7,7,False,
NGC6503,extended,7,7,False,
NGC6503,nfw,7,7,False,
NGC6503,profiled_baryons,7,7,False,
NGC6503,scalar_core,7,7,False,
NGC6674,adaptive_primary,3,3,False,
NGC6674,baryon_only,3,3,False,
NGC6674,compact_plummer,3,3,False,
NGC6674,extended,3,3,False,
NGC6674,nfw,3,3,False,
NGC6674,profiled_baryons,3,3,False,
NGC6674,scalar_core,3,3,False,
NGC6946,adaptive_primary,12,12,False,
NGC6946,baryon_only,12,12,False,
NGC6946,compact_plummer,12,12,False,
NGC6946,extended,12,12,False,
NGC6946,nfw,12,12,False,
NGC6946,profiled_baryons,12,12,False,
NGC6946,scalar_core,12,12,False,
NGC7331,adaptive_primary,8,8,False,
NGC7331,baryon_only,8,8,False,
NGC7331,compact_plummer,8,8,False,
NGC7331,extended,8,8,False,
NGC7331,nfw,8,8,False,
NGC7331,profiled_baryons,8,8,False,
NGC7331,scalar_core,8,8,False,
NGC7793,adaptive_primary,10,10,False,
NGC7793,baryon_only,10,10,False,
NGC7793,compact_plummer,10,10,False,
