r_over_L,u,u_prime,initial_vc_over_vs,gravity_acceleration_L_over_vs2,internal_stress_acceleration_L_over_vs2,initial_delta_vc2_over_t2,delta_vc2_t015,delta_vc2_t030,delta_vc2_over_t2_t015,delta_vc2_over_t2_t030,required_confinement_mass_over_core_mass,required_confinement_density
1.347934918648310276e-01,9.969947736334116017e-01,-4.451695321703368069e-02,7.768269161764258801e-02,-4.476922805006913753e-02,2.860703845925912682e-03,-1.916450434711449769e-04,-4.216836178670551686e-06,-1.585006822740656239e-05,-1.874149412742467566e-04,-1.761118691934062503e-04,1.958666703899054922e-05,6.340154990254745493e-02
1.447747183979974928e-01,9.965341048715699035e-01,-4.778926276433786979e-02,8.341184351261665686e-02,-4.805766997968815429e-02,3.069566751993704420e-03,-2.206602714371008148e-04,-4.855424354975685568e-06,-1.825188628030401103e-05,-2.157966379989193796e-04,-2.027987364478223403e-04,2.424444979830430583e-05,6.329934964741132375e-02
1.547559449311639579e-01,9.960407998451782374e-01,-5.105642464446009249e-02,8.913605453345169183e-02,-5.134042651042934613e-02,3.277797444664855547e-03,-2.516249576387045972e-04,-5.536961277869566271e-06,-2.081568782575037274e-05,-2.460871679053140866e-04,-2.312854202861152556e-04,2.958193564555827102e-05,6.319000635425671419e-02
1.647371714643303953e-01,9.955149116827469724e-01,-5.431808867168465282e-02,9.485498793501902226e-02,-5.461711316380574860e-02,3.485353513068876075e-03,-2.845142236710333349e-04,-6.260909795641423021e-06,-2.353954139322908198e-05,-2.782626575840632514e-04,-2.615504599247675836e-04,3.564345848227739580e-05,6.307355176229297034e-02
1.747183979974968604e-01,9.949564970032670486e-01,-5.757390559997735413e-02,1.005683077477785847e-01,-5.788734694898473726e-02,3.692192779547636469e-03,-3.193016748131696694e-04,-7.026697339476997052e-06,-2.642138737756451129e-05,-3.122976595323109891e-04,-2.935709708618279394e-04,4.247285348023315871e-05,6.295001965226453000e-02
1.846996245306633255e-01,9.943656159068616773e-01,-6.082352718299761929e-02,1.062756788269759167e-01,-6.115074645568351758e-02,3.898273314095624352e-03,-3.559594267952593833e-04,-7.833720388793856122e-06,-2.945905413024847794e-05,-3.481653506130602841e-04,-3.273228236694275387e-04,5.011342699964259362e-05,6.281944583236687141e-02
1.946808510638297907e-01,9.937423319641703889e-01,-6.406660623378564179e-02,1.119767669013952832e-01,-6.440693194616420314e-02,4.103553448672444051e-03,-3.944581340342164346e-04,-8.681343738993744401e-06,-3.265025517374349132e-05,-3.858374995108330725e-04,-3.627806130415943691e-04,5.860792689183372890e-05,6.268186812318732315e-02
2.046620775969962558e-01,9.930867122058238960e-01,-6.730279668451952246e-02,1.176712386222118906e-01,-6.765552544693190229e-02,4.307991791411824693e-03,-4.347670193059393002e-04,-9.568899817470167296e-06,-3.599258662573989769e-05,-4.252844363320074745e-04,-3.999176291748877672e-04,6.799851320818601271e-05,6.253732634193484574e-02
2.146433041301626932e-01,9.923988271106256587e-01,-7.053175364589715779e-02,1.233587616113344110e-01,-7.089615083941308571e-02,4.511547240687380049e-03,-4.768539048127847652e-04,-1.049569240720493309e-05,-3.948354057170836914e-05,-4.664752180979970684e-04,-4.387060063523152368e-04,7.832672933608033489e-05,6.238586228570467546e-02
2.246245306633291583e-01,9.916787505938442493e-01,-7.375313346660043734e-02,1.290390045098663008e-01,-7.412843395031587512e-02,4.714178999064245687e-03,-5.206852446116824783e-04,-1.146099392450322442e-05,-4.312049484162135387e-05,-5.093775077556989082e-04,-4.791166093513483763e-04,8.963347358316018276e-05,6.222751971404774651e-02
2.346057571964956234e-01,9.909265599942121971e-01,-7.696659379233942999e-02,1.347116370260005580e-01,-7.735200264086271316e-02,4.915846587092708407e-03,-5.662261583573306896e-04,-1.246404861268909281e-05,-4.690072454799005440e-05,-5.539577161195152451e-04,-5.211191616443339950e-04,1.019589712297919322e-04,6.206234433059072686e-02
2.445869837296620608e-01,9.901423360610296376e-01,-8.017179362498333406e-02,1.403763299830421141e-01,-8.056648689567268151e-02,5.116509856976737824e-03,-6.134404663235728909e-04,-1.350407250233846124e-05,-5.082140176694686001e-05,-6.001810001039315987e-04,-5.646822418549651444e-04,1.153427470704713299e-04,6.189038376397430763e-02
2.545682102628285537e-01,9.893261629399975332e-01,-8.336839338123483434e-02,1.460327553668193667e-01,-8.377151891042389220e-02,5.316129006070681451e-03,-6.622907256534135007e-04,-1.458025322115112721e-05,-5.487959470553910795e-05,-6.480112542733834765e-04,-6.097732745059900733e-04,1.298235984631401492e-04,6.171168754786295063e-02
2.645494367959950188e-01,9.884781281591300539e-01,-8.655605495138518624e-02,1.516805863732192394e-01,-8.696673317911945977e-02,5.514664590239413619e-03,-7.127382677986139918e-04,-1.569175284213867208e-05,-5.907227795613261093e-05,-6.974112374283854320e-04,-6.563586439570289833e-04,1.454395689065466561e-04,6.152630710028447747e-02
2.745306633291614840e-01,9.875983226134409376e-01,-8.973444175758610308e-02,1.573194974550812253e-01,-9.015176658005891186e-02,5.712077537033908962e-03,-7.647432370957759750e-04,-1.683770650028858839e-05,-6.339632700809117924e-05,-7.483425111239372677e-04,-7.044036334232353430e-04,1.622279221636296139e-04,6.133429570206735959e-02
2.845118898623279491e-01,9.866868405496613814e-01,-9.290321881218496780e-02,1.629491643691960423e-01,-9.332625846135177150e-02,5.908329158718288003e-03,-8.182646304377439719e-04,-1.801722479138405817e-05,-6.784852694316328948e-05,-8.007655462837359609e-04,-7.538725215907032947e-04,1.802251169503736507e-04,6.113570847461637786e-02
2.944931163954944142e-01,9.857437795497971944e-01,-9.606205277556055522e-02,1.685692642226490068e-01,-9.648985072508130256e-02,6.103381165100689801e-03,-8.732603379842174881e-04,-1.922939419600687937e-05,-7.242557377379163399e-05,-8.546397420447502183e-04,-8.047285974865737773e-04,1.994667822070903635e-04,6.093060235681843628e-02
3.044743429286608238e-01,9.847692405146535322e-01,-9.921061201399274110e-02,1.741794755192334343e-01,-9.964218791093221173e-02,6.297195676203115426e-03,-9.296871848682858319e-04,-2.047327728584455263e-05,-7.712407501352090981e-05,-9.099234349264246095e-04,-8.569341668168990039e-04,2.199876929707986564e-04,6.071903608129299024e-02
3.144555694618272890e-01,9.837633276462786069e-01,-1.023485666570277258e-01,1.797794782052107576e-01,-1.027829172784339856e-01,6.489735234724718776e-03,-9.875009738403756239e-04,-2.174791495319924767e-05,-8.194055773611420151e-05,-9.665739979199665811e-04,-9.104506415123800409e-04,2.418217468646166753e-04,6.050107014980936337e-02
3.244367959949937541e-01,9.827261484302989292e-01,-1.054755886548348759e-01,1.853689537150900457e-01,-1.059116888885729690e-01,6.680962818330997942e-03,-1.046656528804134354e-03,-2.305232599746956425e-05,-8.687146652522359253e-05,-1.024547822109758526e-03,-9.652385169469288300e-04,2.650019412219534101e-04,6.027676680805474363e-02
