galaxy,model,configuration,holdout,n,n_train,n_test,n_parameters,chi2_data,chi2_data_per_row,prior_penalty,objective,length_catalogue_kpc,amplitude_catalogue_kms,physical_length_kpc,physical_amplitude_kms,ml_disk,ml_bulge,distance_ratio,distance_Mpc,inclination_deg,disk_pull,bulge_pull,distance_pull,inclination_pull,halo_bound_hit,nuisance_bound_hit,maximum_abs_pull,success,optimality,n_starts,near_best_starts,restart_objective_spread,holdout_admissible,holdout_chi2,holdout_chi2_per_row,distance_method,parameters_json,parameter_names_json,guard_optimizer_success,guard_optimizer_message,guard_selected_start,guard_epsilon,guard_depth_factor,guard_depth_ratio,guard_admissible,guard_active,guard_refitted,original_depth_ratio,original_objective,objective_change
CamB,core,all_0.10,False,9.0,9.0,0.0,5.0,11.927561529488504,1.3252846143876116,6.156980273595163,18.084541803083667,700.2790425030772,9999.99999821326,640.6594339991569,10702.035731515054,0.33749979118883094,0.7,0.9148630690262899,3.073939911928334,57.87128620905352,-1.7069649586695,0.0,-1.1002311079679457,-1.425742758189296,True,False,1.7069649586695,True,7.616074400888844e-07,8.0,7.0,26.884843093991336,True,,,2.0,"[6.551478887757972, 9.210340371797509, -1.7069649586695, -1.1002311079679457, -1.425742758189296]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,0.0020585388993656487,True,False,False,0.0020585388993656487,18.084541803083667,0.0
CamB,nfw,all_0.10,False,9.0,9.0,0.0,5.0,34.088918017948245,3.787657557549805,3.0955851837240065,37.18450320167225,4999.999999999995,756.9635751771315,4699.757713866091,789.7185961671961,0.37320385244758253,0.7,0.939951542773219,3.1582371837180157,60.30988910930001,-1.2702388617449458,0.0,-0.7760108318537856,-0.9380221781399983,True,False,1.2702388617449458,True,9.744349058462851e-05,8.0,8.0,3.4152947137044976e-10,True,,,2.0,"[8.517193191416236, 6.629315134944411, -1.2702388617449458, -0.7760108318537856, -0.9380221781399983]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,6.939102837869845e-06,True,False,False,6.939102837869845e-06,37.18450320167225,0.0
D512-2,core,all_0.10,False,4.0,4.0,0.0,5.0,0.18415148335074627,0.04603787083768657,0.00013501363045412057,0.1842864969812004,1.0250516636609452,38.40739516025297,1.02769300438835,38.37696514387172,0.500457724713454,0.7,1.0025767879035203,15.239167176133508,56.067413333236274,0.003973927658178934,0.0,0.008589293011734719,0.006741333323627173,False,False,0.008589293011734719,True,2.415731957054053e-06,8.0,8.0,3.460842723512769e-13,True,,,1.0,"[0.02474301489180814, 3.648250023350345, 0.003973927658178934, 0.008589293011734719, 0.006741333323627173]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,2.647082885656423e-08,True,False,False,2.647082885656423e-08,0.1842864969812004,0.0
D512-2,nfw,all_0.10,False,4.0,4.0,0.0,5.0,0.6164317643838997,0.15410794109597492,0.005158779142856358,0.621590543526756,8.486324358863852,95.09575936831385,8.61215388909513,94.66561327445149,0.5040227747838253,0.7,1.014827329820342,15.4253754132692,56.3879246835199,0.034801565925856155,0.0,0.049424432734473535,0.03879246835199002,False,False,0.049424432734473535,True,4.448088977540648e-07,8.0,8.0,4.396372155213157e-12,True,,,1.0,"[2.138455968871231, 4.554884377267048, 0.034801565925856155, 0.049424432734473535, 0.03879246835199002]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,9.971100638578046e-08,True,False,False,9.971100638578046e-08,0.621590543526756,0.0
D564-8,core,all_0.10,False,6.0,6.0,0.0,5.0,0.18458490505936706,0.030764150843227842,3.0303160454780987e-05,0.18461520821982183,1.179847565463313,26.98740879041619,1.179881013424905,26.981574840266003,0.5004809780299052,0.7,1.0000283493923885,8.790249191159093,63.02432389649642,0.004175713981254739,0.0,0.000889968425336472,0.0034748423566312767,False,False,0.004175713981254739,True,2.3267050927563879e-07,8.0,8.0,5.345723863570129e-14,True,,,2.0,"[0.16538524832213292, 3.295370416137806, 0.004175713981254739, 0.000889968425336472, 0.0034748423566312767]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,1.3084612757370117e-08,True,False,False,1.3084612757370117e-08,0.18461520821982183,0.0
D564-8,nfw,all_0.10,False,6.0,6.0,0.0,5.0,3.5619675187909805,0.59366125313183,0.029212413129434317,3.591179931920415,4999.999999999995,1338.425980348909,4996.502261991903,1345.8820638898749,0.4836012759062356,0.7,0.9993004523983814,8.783850976581771,62.383536275789076,-0.14482566327792049,0.0,-0.021960797922240607,-0.08806624631584578,True,False,0.14482566327792049,True,1.3011370543365256e-06,8.0,8.0,2.595257342363766e-12,True,,,2.0,"[8.517193191416236, 7.199249560982203, -0.14482566327792049, -0.021960797922240607, -0.08806624631584578]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,2.0154526758291995e-05,True,False,False,2.0154526758291995e-05,3.591179931920415,0.0
D631-7,core,all_0.10,False,16.0,16.0,0.0,5.0,6.917676648747837,0.4323547905467398,1.3430237346978324,8.26070038344567,3.202543915409972,69.29455707268517,3.184699823506013,70.8921913846119,0.4068152202067214,0.7,0.9944281507528758,7.676985323812201,56.91378521217334,-0.8957281149106445,0.0,-0.23897042326554943,-0.6954049292755551,False,False,0.8957281149106445,True,0.00010610377562831884,8.0,8.0,1.0374101577781403e-10,True,,,2.0,"[1.1639454675471823, 4.238366361591616, -0.8957281149106445, -0.23897042326554943, -0.6954049292755551]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,9.032814412013413e-08,True,False,False,9.032814412013413e-08,8.26070038344567,0.0
D631-7,nfw,all_0.10,False,16.0,16.0,0.0,5.0,64.60194348780969,4.037621467988106,7.208952272624263,71.81089576043395,4999.999999983582,2102.758722356595,4936.833340321567,2236.271189211818,0.31915083089225155,0.7,0.9873666680675557,7.622470677481529,53.70613812397536,-1.9497402490608644,0.0,-0.541829569547055,-1.7646206253415475,True,False,1.9497402490608644,True,1.9992432753239918e-05,8.0,8.0,4.994106461708725e-09,True,,,2.0,"[8.517193191412954, 7.651005438905086, -1.9497402490608644, -0.541829569547055, -1.7646206253415475]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,5.5642614919087506e-05,True,False,False,5.5642614919087506e-05,71.81089576043395,0.0
DDO064,core,all_0.10,False,14.0,14.0,0.0,5.0,3.614309213329626,0.258164943809259,0.0027829116082386473,3.6170921249378645,1.010863893168424,48.626882035674186,1.024960670147548,48.58829572225173,0.49778116345718054,0.7,1.0139452769798112,6.894827883462716,60.078904775230306,-0.019315458950713234,0.0,0.046484256599370714,0.01578095504606167,False,False,0.046484256599370714,True,5.760227603093982e-06,8.0,7.0,28.1592970116532,True,,,1.0,"[0.010805305029280045, 3.8841765062934264, -0.019315458950713234, 0.046484256599370714, 0.01578095504606167]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,4.243162038002464e-08,True,False,False,4.243162038002464e-08,3.6170921249378645,0.0
DDO064,nfw,all_0.10,False,14.0,14.0,0.0,5.0,6.001956496565686,0.42871117832612043,0.2895772371944586,6.2915337337601445,4999.999999999995,2531.4367519516186,5756.210226611294,2508.0627741479375,0.4983325921356839,0.7,1.1512420453222598,7.828445908191367,60.93820957997874,-0.014507123449756675,0.0,0.5041401510741996,0.1876419159957478,True,False,0.5041401510741996,True,4.071294909067863e-07,8.0,8.0,6.532996366104271e-11,True,,,1.0,"[8.517193191416236, 7.836542306682134, -0.014507123449756675, 0.5041401510741996, 0.1876419159957478]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,6.998990412392004e-05,True,False,False,6.998990412392004e-05,6.2915337337601445,0.0
DDO154,core,all_0.10,False,12.0,12.0,0.0,5.0,14.428578630966173,1.2023815525805144,3.350782540596907,17.77936117156308,1.784851992295178,50.83202379515789,1.8103910798131453,50.46304863755904,0.7539967080476558,0.7,1.0143087985044217,4.097807545957863,64.87260052311763,1.783994454066216,0.0,0.28903772978931597,0.2908668410392105,False,False,1.783994454066216,True,0.0002965721631301743,8.0,8.0,1.3570655710282153e-10,True,,,2.0,"[0.579335494312065, 3.928526545640796, 1.783994454066216, 0.28903772978931597, 0.2908668410392105]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,4.5769192790505766e-08,True,False,False,4.5769192790505766e-08,17.77936117156308,0.0
