analysis,split,left_model,right_model,galaxy,n_points,left_loss,right_loss,delta_left_minus_right,outcome
guard_0.001,holdout,fixed_core,nfw,CamB,2,16.905718321540224,22.03868798822721,-5.132969666686986,left_win
guard_0.001,holdout,fixed_core,nfw,D631-7,4,1.8479547742625952,0.7692628172098074,1.0786919570527878,right_win
guard_0.001,holdout,fixed_core,nfw,DDO064,3,0.4454895701505434,0.1229078000095256,0.3225817701410178,right_win
guard_0.001,holdout,fixed_core,nfw,DDO154,3,2.860042768273324,21.74156721562578,-18.881524447352454,left_win
guard_0.001,holdout,fixed_core,nfw,DDO161,7,3.982072569815506,24.071295212343188,-20.08922264252768,left_win
guard_0.001,holdout,fixed_core,nfw,DDO168,2,13.119604293252996,2.7420987767928726,10.377505516460124,right_win
guard_0.001,holdout,fixed_core,nfw,DDO170,2,54.16752330807255,1.3135354676205946,52.85398784045196,right_win
guard_0.001,holdout,fixed_core,nfw,ESO079-G014,3,15.660278987497948,48.17110123119005,-32.510822243692104,left_win
guard_0.001,holdout,fixed_core,nfw,ESO116-G012,3,1.3926647567630923,10.346351363849374,-8.953686607086281,left_win
guard_0.001,holdout,fixed_core,nfw,ESO563-G021,6,43.788274011877945,1.6929467447847963,42.09532726709315,right_win
guard_0.001,holdout,fixed_core,nfw,F568-3,4,3.048021125589856,0.0384877217042694,3.0095334038855865,right_win
guard_0.001,holdout,fixed_core,nfw,F568-V1,3,2.373312378203215,1.1245161148610092,1.2487962633422056,right_win
guard_0.001,holdout,fixed_core,nfw,F571-8,3,4.582736935374092,22.251974009325355,-17.669237073951265,left_win
guard_0.001,holdout,fixed_core,nfw,F574-1,3,3.55245293368743,3.245582652629228,0.306870281058202,right_win
guard_0.001,holdout,fixed_core,nfw,F583-1,5,3.622104121193423,8.652719918624097,-5.0306157974306736,left_win
guard_0.001,holdout,fixed_core,nfw,F583-4,3,4.496707119353792,0.1147073823539208,4.381999736999871,right_win
guard_0.001,holdout,fixed_core,nfw,IC2574,7,1.480100309635133,9.600929347606405,-8.120829037971271,left_win
guard_0.001,holdout,fixed_core,nfw,IC4202,7,32.029345343136924,4.119906856155294,27.90943848698163,right_win
guard_0.001,holdout,fixed_core,nfw,KK98-251,3,10.754134351861536,2.361968712782438,8.392165639079098,right_win
guard_0.001,holdout,fixed_core,nfw,NGC0024,6,137.27164348102283,303.7729356088992,-166.50129212787638,left_win
guard_0.001,holdout,fixed_core,nfw,NGC0055,5,0.1855576793307827,4.8953239981173,-4.709766318786517,left_win
guard_0.001,holdout,fixed_core,nfw,NGC0100,5,1.0976296223880735,0.2761944353592143,0.8214351870288592,right_win
guard_0.001,holdout,fixed_core,nfw,NGC0247,6,0.9474316245277395,0.1436045829347682,0.8038270415929714,right_win
guard_0.001,holdout,fixed_core,nfw,NGC0289,6,0.6814491904721223,4.192816884348642,-3.5113676938765197,left_win
guard_0.001,holdout,fixed_core,nfw,NGC0300,5,14.372749499900287,0.2183332916622077,14.154416208238079,right_win
guard_0.001,holdout,fixed_core,nfw,NGC0801,3,36.52180018123585,7.740340007818689,28.78146017341716,right_win
guard_0.001,holdout,fixed_core,nfw,NGC0891,4,2.0241837017412365,4.824140716684242,-2.799957014943005,left_win
guard_0.001,holdout,fixed_core,nfw,NGC1003,8,12.637490540462691,3.6659983744626,8.971492166000091,right_win
guard_0.001,holdout,fixed_core,nfw,NGC1090,5,0.4089735349505811,1.2075614409932212,-0.7985879060426401,left_win
guard_0.001,holdout,fixed_core,nfw,NGC2403,15,152.99930721671697,18.99455281242652,134.00475440429045,right_win
guard_0.001,holdout,fixed_core,nfw,NGC2683,3,5.183807969049685,0.0413180419005061,5.142489927149179,right_win
guard_0.001,holdout,fixed_core,nfw,NGC2841,10,53.57628791920083,23.495498710578254,30.080789208622576,right_win
guard_0.001,holdout,fixed_core,nfw,NGC2903,7,25.240265727065484,0.5159669166352349,24.72429881043025,right_win
guard_0.001,holdout,fixed_core,nfw,NGC2915,6,5.866557488673034,0.0714693507934134,5.79508813787962,right_win
guard_0.001,holdout,fixed_core,nfw,NGC2955,5,5.750786497668459,30.775505050547,-25.02471855287854,left_win
guard_0.001,holdout,fixed_core,nfw,NGC2976,6,0.4412693709756179,1.443422888446959,-1.0021535174713412,left_win
guard_0.001,holdout,fixed_core,nfw,NGC2998,3,12.505503971775758,7.761412502661396,4.744091469114362,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3109,5,1.371293085970453,5.035835746587408,-3.6645426606169553,left_win
guard_0.001,holdout,fixed_core,nfw,NGC3198,9,60.47409418264048,3.408432884001521,57.06566129863896,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3521,9,2.131940590534797,18.67953925584569,-16.547598665310893,left_win
guard_0.001,holdout,fixed_core,nfw,NGC3726,3,2.7659133290840345,0.6496500528630564,2.116263276220978,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3741,5,8.76149857006882,0.7383936268785158,8.023104943190305,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3769,3,13.354735347981595,0.0660393535884965,13.288695994393098,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3877,3,3.795552393197593,2.7984025489320525,0.9971498442655404,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3893,2,0.7104131573804631,1.046760436421066,-0.336347279040603,left_win
guard_0.001,holdout,fixed_core,nfw,NGC3917,4,4.8862229334926734,0.0739861410851046,4.812236792407569,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3953,2,3.4840977833104807,0.0952702019827077,3.388827581327773,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3972,2,8.284912513277572,0.071853136380018,8.213059376897554,right_win
guard_0.001,holdout,fixed_core,nfw,NGC3992,2,0.2009473186645019,0.3967364940915942,-0.19578917542709232,left_win
guard_0.001,holdout,fixed_core,nfw,NGC4010,3,22.9512391143577,6.228878256667055,16.722360857690646,right_win
guard_0.001,holdout,fixed_core,nfw,NGC4013,8,0.7885942842843834,0.5341591709585889,0.2544351133257945,right_win
guard_0.001,holdout,fixed_core,nfw,NGC4088,3,1.0970855305661036,0.402933490336,0.6941520402301036,right_win
guard_0.001,holdout,fixed_core,nfw,NGC4100,5,0.5461120358546022,3.320723469577588,-2.7746114337229857,left_win
guard_0.001,holdout,fixed_core,nfw,NGC4157,4,0.115095811773817,0.0982942889763801,0.016801522797436907,right_win
guard_0.001,holdout,fixed_core,nfw,NGC4183,5,6.964780953985016,0.2799576397739277,6.684823314211088,right_win
guard_0.001,holdout,fixed_core,nfw,NGC4217,4,0.4211093155995329,5.922182342566876,-5.501073026967343,left_win
guard_0.001,holdout,fixed_core,nfw,NGC4559,7,0.5205216752937702,2.2371139202388943,-1.716592244945124,left_win
guard_0.001,holdout,fixed_core,nfw,NGC5005,4,0.421412419162985,0.0456410329835143,0.3757713861794707,right_win
guard_0.001,holdout,fixed_core,nfw,NGC5033,5,9.551767377060273,12.154930160015496,-2.6031627829552235,left_win
guard_0.001,holdout,fixed_core,nfw,NGC5055,6,427.941789824476,1.5012595404274174,426.4405302840486,right_win
guard_0.001,holdout,fixed_core,nfw,NGC5371,4,73.74324555070466,21.607942688273027,52.13530286243163,right_win
guard_0.001,holdout,fixed_core,nfw,NGC5585,5,0.1011976334506556,61.78389502508794,-61.68269739163729,left_win
guard_0.001,holdout,fixed_core,nfw,NGC5907,4,2.251394922322018,10.1746039947434,-7.923209072421382,left_win
guard_0.001,holdout,fixed_core,nfw,NGC5985,7,56.72713623035387,6.954402391323581,49.77273383903029,right_win
guard_0.001,holdout,fixed_core,nfw,NGC6015,9,77.6537115165844,6.384722025823645,71.26898949076075,right_win
guard_0.001,holdout,fixed_core,nfw,NGC6195,5,47.32973626007623,1.970753374430864,45.35898288564537,right_win
guard_0.001,holdout,fixed_core,nfw,NGC6503,7,18.34364573772677,0.9875198157051158,17.356125922021654,right_win
guard_0.001,holdout,fixed_core,nfw,NGC6674,3,1.4374328971502364,2.8742070977108973,-1.436774200560661,left_win
guard_0.001,holdout,fixed_core,nfw,NGC6946,12,0.0510237131455014,0.5143566838011627,-0.4633329706556613,left_win
guard_0.001,holdout,fixed_core,nfw,NGC7331,8,8.728524146626436,1.481717705446408,7.246806441180028,right_win
guard_0.001,holdout,fixed_core,nfw,NGC7793,10,22.87724784991917,10.045169565516304,12.832078284402865,right_win
guard_0.001,holdout,fixed_core,nfw,NGC7814,4,17.404803410090743,1.179855313298114,16.22494809679263,right_win
guard_0.001,holdout,fixed_core,nfw,UGC00128,5,7.220291818200653,5.144192937276286,2.0760988809243663,right_win
guard_0.001,holdout,fixed_core,nfw,UGC00191,2,304.5589278904799,45.38145104784292,259.17747684263696,right_win
guard_0.001,holdout,fixed_core,nfw,UGC00731,3,4.16993779191318,1.081703860763225,3.088233931149955,right_win
guard_0.001,holdout,fixed_core,nfw,UGC01281,5,28.01650125940722,0.8144600315220792,27.202041227885143,right_win
guard_0.001,holdout,fixed_core,nfw,UGC02259,2,23.023419004435603,1.9312337699302264,21.092185234505376,right_win
