x,f,f_prime,phi,phi_prime,radial_mass_integral
0,1,0,-1.341762670629833,0,0
0.00125,0.9999996617011235,-0.000541278081343275,-1.341762410213219,0.0004166664975172383,6.51042547651108e-10
0.0025,0.9999986468053951,-0.001082554722228576,-1.341761628964011,0.0008333319801390347,5.208324523476518e-09
0.00375,0.9999969553155162,-0.00162382848220607,-1.341760326884113,0.001249995432975623,1.757806421200741e-08
0.005,0.9999945872359889,-0.002165097920842188,-1.341758503976696,0.001666655841148577,4.166639532394644e-08
0.00625,0.9999915425731151,-0.002706361597727752,-1.341756160246202,0.002083312189796474,8.137938814005884e-08
0.0075,0.9999878213349968,-0.003247618072486094,-1.341753295698337,0.002499963464080558,1.406229437974201e-07
0.008750000000000001,0.9999834235315368,-0.003788865904781183,-1.34174991034008,0.002916608649190403,2.233028577198496e-07
0.01,0.9999783491744376,-0.004330103654325745,-1.341746004179675,0.003333246730349574,3.333246716255497e-07
0.01125,0.9999725982772023,-0.004871329880889399,-1.341741577226637,0.003749876692821306,4.745937792411066e-07
0.0125,0.9999661708551351,-0.00541254314430684,-1.341736629491748,0.004166497521914198,6.510152360374642e-07
0.01375,0.9999590669253408,-0.005953742004485927,-1.341731160987059,0.00458310820298786,8.66493907222531e-07
0.015,0.9999512865067239,-0.006494925021415801,-1.341725171725891,0.00499970772145857,1.124934235214415e-06
0.01625,0.9999428296199886,-0.007036090755175002,-1.341718661722829,0.005416295062804935,1.430240429905697e-06
0.0175,0.9999336962876386,-0.007577237765939587,-1.341711630993731,0.005832869212573542,1.786316193884828e-06
0.01875,0.9999238865339769,-0.008118364613991243,-1.341704079555718,0.006249429156384628,2.197064954963143e-06
0.02,0.9999134003851061,-0.008659469859725407,-1.341696007427183,0.006665973879937737,2.666389549157317e-06
0.02125,0.9999022378689283,-0.009200552063659415,-1.341687414627783,0.007082502369017388,3.198192495468208e-06
0.0225,0.9998903990151458,-0.009741609786440701,-1.341678301178446,0.007499013609498807,3.796375636639234e-06
0.02375,0.9998778838552604,-0.01028264158885486,-1.341668667101367,0.007915506587353545,4.464840456174174e-06
0.025,0.9998646924225723,-0.01082364603183372,-1.341658512420008,0.008331980288655101,5.207487676888303e-06
0.02625,0.9998508247521801,-0.01136462167646346,-1.3416478371591,0.008748433699584586,6.02821762015027e-06
0.0275,0.9998362808809812,-0.01190556708399274,-1.341636641344637,0.009164865806436382,6.930929762244844e-06
0.02875,0.9998210608476704,-0.01244648081584075,-1.341624925003884,0.009581275595623776,7.919523135822005e-06
0.03,0.9998051646927406,-0.01298736143360538,-1.341612688165371,0.009997662053684625,8.997895844092088e-06
0.03125,0.9997885924584832,-0.01352820749907134,-1.341599930858893,0.01041402416728704,1.01699455044633e-05
0.0325,0.9997713441889874,-0.01406901757421836,-1.341586653115517,0.01083036092323509,1.143956872059202e-05
0.03375,0.9997534199301406,-0.01460979022122927,-1.341572854967572,0.01124667130847446,1.281066156818791e-05
0.035,0.999734819729627,-0.01515052400249798,-1.341558536448655,0.01166295431009797,1.42871190249442e-05
0.03625,0.9997155436369274,-0.01569121748063761,-1.341543697593628,0.01207920891535127,1.587283549848756e-05
0.0375,0.9996955917033186,-0.0162318692184886,-1.341528338438621,0.01249543411163852,1.757170421421507e-05
0.03875,0.9996749639818736,-0.01677247777912677,-1.341512459021026,0.01291162888652796,1.938761778536414e-05
0.04,0.9996536605274615,-0.01731304172587144,-1.341496059379503,0.01332779222775757,2.132446755878486e-05
0.04125,0.9996316813967465,-0.01785355962229352,-1.341479139553976,0.01374392312324079,2.338614422710323e-05
0.0425,0.9996090266481902,-0.01839403003222384,-1.341461699585635,0.01416002056107221,2.557653713245956e-05
0.04375,0.9995856963420484,-0.01893445151976104,-1.341443739516934,0.01457608352953318,2.789953492073638e-05
0.045,0.9995616905403719,-0.01947482264927961,-1.341425259391594,0.01499211101709732,3.035902480329537e-05
0.04625,0.9995370093070057,-0.02001514198543796,-1.341406259254597,0.01540810201243624,3.295889325323939e-05
0.0475,0.9995116527075882,-0.02055540809318655,-1.34138673915219,0.01582405550442511,3.57030252251826e-05
0.04875,0.9994856208095512,-0.02109561953777586,-1.341366699131884,0.01623997048214831,3.859530489351376e-05
0.05,0.9994589136821194,-0.02163577488476453,-1.341346139242454,0.01665584593490504,4.163961483023628e-05
0.05125,0.9994315313963108,-0.02217587270002749,-1.341325059533937,0.017071680852215,4.483983678519823e-05
0.0525,0.9994034740249367,-0.02271591154976422,-1.341303460057633,0.01748747422382416,4.819985082204065e-05
0.05375,0.9993747416426005,-0.0232558900005066,-1.341281340866108,0.01790322503971027,5.17235361403579e-05
