r_dimensionless,u,u_prime,phi,phi_prime,enclosed_mass_integral
0,1,0,-1.615353922734203,0,0
0.0012,0.9999997614309063,-0.0003976151016161757,-1.615353682734235,0.0003999998854868436,5.760005496623009e-10
0.0024,0.9999990457240002,-0.0007952295827888084,-1.615352962734748,0.0007999990838952056,4.607994503372038e-09
0.0036,0.9999978528804014,-0.001192842823075909,-1.61535176273698,0.001199996908149091,1.555196207327485e-08
0.0048,0.9999961829019711,-0.001590454202038554,-1.615350082742995,0.001599992671177408,3.686383070420534e-08
0.005999999999999999,0.9999940357913133,-0.001988063099242388,-1.615347922755674,0.001999985685916368,7.199948826568751e-08
0.0072,0.9999914115517751,-0.002385668894259138,-1.615345282778724,0.002399975265311912,1.244147170942017e-07
0.008399999999999999,0.9999883101874527,-0.002783270966668226,-1.615342162816682,0.002799960722322285,1.975652335686924e-07
0.009599999999999999,0.9999847317031888,-0.003180868696058299,-1.61533856287491,0.003199941369920482,2.949065957724856e-07
0.0108,0.9999806761045681,-0.003578461462028693,-1.615334482959593,0.003599916521096605,4.198942694511209e-07
0.012,0.9999761433979176,-0.003976048644190953,-1.615329923077737,0.003999885488860265,5.7598350929668e-07
0.0132,0.9999711335903062,-0.004373629622170332,-1.615324883237171,0.004399847586242996,7.666294512859684e-07
0.0144,0.9999656466895516,-0.004771203775607438,-1.615319363446551,0.004799802126300903,9.952869675908075e-07
0.0156,0.9999596827042188,-0.00516877048415981,-1.615313363715361,0.005199748422117146,1.265410785293805e-06
0.0168,0.9999532416436152,-0.005566329127503314,-1.61530688405391,0.005599685786804206,1.580455314928955e-06
0.018,0.9999463235177904,-0.005963879085333654,-1.615299924473324,0.005999613533506277,1.943874795571443e-06
0.0192,0.9999389283375361,-0.006361419737367865,-1.615292484985555,0.006399530975401672,2.359123097013673e-06
0.0204,0.9999310561143897,-0.006758950463345971,-1.615284565603378,0.006799437425705455,2.829653891224772e-06
0.0216,0.9999227068606383,-0.007156470643032643,-1.6152761663404,0.007199332197672111,3.358920428167972e-06
0.0228,0.9999138805893116,-0.00755397965621854,-1.615267287211048,0.007599214604597666,3.950375733624683e-06
0.024,0.9999045773141808,-0.00795147688272178,-1.615257928230572,0.007999083959822064,4.607472358659931e-06
0.0252,0.9998947970497598,-0.008348961702389444,-1.615248089415044,0.008398939576731558,5.333662603805075e-06
0.0264,0.9998845398113055,-0.008746433495099197,-1.615237770781358,0.008798780768761281,6.132398242178791e-06
0.0276,0.9998738056148262,-0.009143891640761074,-1.615226972347239,0.009198606849398147,7.007130770021742e-06
0.0288,0.9998625944770723,-0.009541335519318772,-1.615215694131236,0.00959841713218287,7.961311103481413e-06
0.03,0.9998509064155365,-0.009938764510751083,-1.615203936152717,0.009998210930712279,8.998389855491201e-06
0.0312,0.9998387414484534,-0.01033617799507339,-1.615191698431875,0.0103979875586417,1.012181700622817e-05
0.0324,0.9998260995948002,-0.01073357535233923,-1.615178980989721,0.01079774632968746,1.133504220632828e-05
0.0336,0.999812980874303,-0.01113095596264221,-1.615165783848097,0.01119748655762992,1.264151442102694e-05
0.0348,0.9997993853074333,-0.01152831920611731,-1.61515210702967,0.01159720755631562,1.404468225970133e-05
0.036,0.9997853129154038,-0.01192566446294225,-1.615137950557929,0.01199690863965935,1.554799359370433e-05
0.0372,0.999770763720169,-0.01232299111333894,-1.61512331445718,0.01239658912164661,1.715489591222411e-05
0.0384,0.9997557377444244,-0.01272029853757507,-1.615108198752554,0.01279624831633604,1.886883591382289e-05
0.0396,0.9997402350116142,-0.01311758611596598,-1.615092603470007,0.01319588553786243,2.069325988860309e-05
0.0408,0.9997242555459285,-0.01351485322887617,-1.615076528636323,0.01359550010043916,2.263161328346316e-05
0.042,0.9997077993722988,-0.01391209925672051,-1.615059974279104,0.01399509131836009,2.468734111055897e-05
0.0432,0.9996908665163978,-0.01430932357996569,-1.615042940426775,0.01439465850600194,2.68638874862896e-05
0.0444,0.9996734570046397,-0.0147065255791318,-1.615025427108579,0.01479420097782669,2.916469606604169e-05
0.04559999999999999,0.9996555708641836,-0.01510370463479409,-1.615007434354587,0.01519371804838454,3.159320955691908e-05
