r_kpc,true_v_kms,fit_v_kms,fit_se_kms
0.02,0.3463963881265527,0.3475112809428249,0.01016549504312126
0.029975,0.5191358622127571,0.5208061860180992,0.01523356691469332
0.03995,0.6918445329219612,0.6940695432391557,0.02029928153624343
0.049925,0.86451215664902,0.8672908615773774,0.02536185539992481
0.05990000000000001,1.037128495829595,1.040459656320074,0.0304205057940045
0.06987500000000001,1.209683320445955,1.213565450644908,0.03547445100346851
0.07985,1.382166409531163,1.386597777192537,0.04052291050526115
0.08982500000000002,1.554567552671428,1.559546179637161,0.04556510516914259
0.09980000000000001,1.726876551506097,1.732400214254644,0.05060025745218429
0.109775,1.899083221224942,1.90514945148788,0.05562759159909637
0.11975,2.071177392062624,2.077783477509083,0.06064633383467619
0.129725,2.243148910790046,2.250291895778497,0.06565571256370441
0.1397,2.414987642201875,2.422664328599315,0.07065495856426231
0.149675,2.586683470600187,2.594890418668459,0.07564330517987319
0.15965,2.758226301274092,2.766959830622893,0.08061998851778321
0.169625,2.929606061974825,2.938862252581136,0.08558424763756904
0.1796,3.100812704385666,3.110587397679447,0.09053532474914947
0.189575,3.271836205586853,3.282125005602524,0.09547246539614548
0.19955,3.442666569515265,3.453464844108369,0.1003949186498802
0.209525,3.613293828418002,3.624596710547022,0.1053019373004585
0.2195,3.783708044299703,3.795510433372749,0.1101927780406894
0.229475,3.953899310363683,3.966195873649202,0.1150667016531343
0.23945,4.12385775244653,4.136642926547439,0.1199229732018872
0.249425,4.293573530445094,4.306841522836426,0.1247608622111281
0.2594,4.463036839736243,4.476781630365768,0.1295796428426162
0.269375,4.632237912589277,4.646453255540198,0.1343785940893807
0.27935,4.801167019570247,4.815846444785346,0.1391569999447045
0.2893250000000001,4.969814470937515,4.984951286004773,0.1439141495989677
0.2993000000000001,5.138170618029026,5.153757910027833,0.1486493375880119
0.3092750000000001,5.306225854641064,5.322256492048175,0.1533618639920448
0.31925,5.473970618397254,5.490437253052289,0.1580510345943082
0.329225,5.64139539210797,5.658290461237775,0.1627161610712355
0.3392000000000001,5.808490705120314,5.825806433421247,0.1673565611501218
0.3491750000000001,5.975247134658248,5.992975536435513,0.171971558771571
0.3591500000000001,6.141655307151533,6.159788188515806,0.176560484265628
0.369125,6.307705899554288,6.326234860674441,0.1811226745174037
0.3791,6.473389640653028,6.492306078063636,0.1856574731258617
0.3890750000000001,6.6386973123632,6.657992421326464,0.1901642305701488
0.3990500000000001,6.803619751013622,6.823284527935512,0.1946423043607925
0.4090250000000001,6.968147848619584,6.988173093519132,0.1990910591875358
0.419,7.132272554144292,7.152648873174464,0.2035098671023
0.4289750000000001,7.295984874747151,7.316702682767239,0.2078981076438667
0.4389500000000001,7.45927587701937,7.480325400218182,0.2122551680111359
0.4489250000000001,7.622136688207164,7.64350796677569,0.2165804431814527
0.4589000000000001,7.784558497421953,7.806241388274636,0.220873336070952
0.4688750000000001,7.946532556836132,7.968516736380439,0.2251332576922642
0.4788500000000001,8.108050182865544,8.130325149818534,0.2293596272740245
0.4888250000000001,8.26910275733856,8.291657835589051,0.2335518724143354
0.4988000000000001,8.429681728650451,8.45250607016637,0.2377094291926048
0.5087750000000001,8.589778612902748,8.612861200683415,0.2418317423190153
0.51875,8.749384995028423,8.772714646099812,0.2459182652686144
0.5287250000000001,8.908492529902615,8.932057898354149,0.2499684604094686
0.5387000000000001,9.067092943437085,9.090882523500108,0.2539817991204667
0.5486750000000001,9.225178033659324,9.249180162826224,0.257957761903746
