z,virial_over_E,sharp_lower_bound,local_quadratic
3.1800000000000000e-01,2.3180000000000001e+00,1.4410815535587290e-02,1.4008333333333340e-02
3.2000000000000001e-01,2.3199999999999998e+00,1.3705000788176908e-02,1.3333333333333341e-02
3.2200000000000001e-01,2.3220000000000001e+00,1.3017568483570136e-02,1.2675000000000004e-02
3.2400000000000001e-01,2.3239999999999998e+00,1.2348458332657339e-02,1.2033333333333337e-02
3.2600000000000001e-01,2.3260000000000001e+00,1.1697611107556807e-02,1.1408333333333338e-02
3.2800000000000001e-01,2.3279999999999998e+00,1.1064968624887081e-02,1.0800000000000002e-02
3.3000000000000002e-01,2.3300000000000001e+00,1.0450473729479284e-02,1.0208333333333335e-02
3.3200000000000002e-01,2.3319999999999999e+00,9.8540702785177015e-03,9.6333333333333358e-03
3.3400000000000002e-01,2.3340000000000001e+00,9.2757031260975384e-03,9.0750000000000015e-03
3.3600000000000002e-01,2.3359999999999999e+00,8.7153181081855435e-03,8.5333333333333337e-03
3.3800000000000002e-01,2.3380000000000001e+00,8.1728620279729117e-03,8.0083333333333326e-03
3.4000000000000002e-01,2.3399999999999999e+00,7.6482826416108332e-03,7.5000000000000006e-03
3.4200000000000003e-01,2.3420000000000001e+00,7.1415286443155188e-03,7.0083333333333326e-03
3.4400000000000003e-01,2.3439999999999999e+00,6.6525496568335604e-03,6.5333333333333328e-03
3.4600000000000003e-01,2.3460000000000001e+00,6.1812962122589493e-03,6.0749999999999988e-03
3.4800000000000003e-01,2.3479999999999999e+00,5.7277197431896201e-03,5.6333333333333313e-03
3.5000000000000003e-01,2.3500000000000001e+00,5.2917725692157025e-03,5.2083333333333313e-03
3.5199999999999998e-01,2.3519999999999999e+00,4.8734078847316731e-03,4.8000000000000083e-03
3.5399999999999998e-01,2.3540000000000001e+00,4.4725797470607370e-03,4.4083333333333414e-03
3.5599999999999998e-01,2.3559999999999999e+00,4.0892430648867689e-03,4.0333333333333410e-03
3.5799999999999998e-01,2.3580000000000001e+00,3.7233535869822670e-03,3.6750000000000068e-03
3.5999999999999999e-01,2.3599999999999999e+00,3.3748678912280464e-03,3.3333333333333396e-03
3.6199999999999999e-01,2.3620000000000001e+00,3.0437433739142483e-03,3.0083333333333390e-03
3.6399999999999999e-01,2.3639999999999999e+00,2.7299382393167551e-03,2.7000000000000049e-03
3.6599999999999999e-01,2.3660000000000001e+00,2.4334114895430345e-03,2.4083333333333378e-03
3.6799999999999999e-01,2.3679999999999999e+00,2.1541229146386405e-03,2.1333333333333373e-03
3.7000000000000000e-01,2.3700000000000001e+00,1.8920330829487741e-03,1.8750000000000034e-03
3.7200000000000000e-01,2.3719999999999999e+00,1.6471033317300224e-03,1.6333333333333362e-03
3.7400000000000000e-01,2.3740000000000001e+00,1.4192957580037718e-03,1.4083333333333361e-03
3.7600000000000000e-01,2.3759999999999999e+00,1.2085732096466413e-03,1.2000000000000021e-03
3.7800000000000000e-01,2.3780000000000001e+00,1.0148992767134817e-03,1.0083333333333353e-03
3.8000000000000000e-01,2.3799999999999999e+00,8.3823828298517852e-04,8.3333333333333490e-04
3.8200000000000001e-01,2.3820000000000001e+00,6.7855527773704252e-04,6.7500000000000123e-04
3.8400000000000001e-01,2.3839999999999999e+00,5.3581602772400164e-04,5.3333333333333433e-04
3.8600000000000001e-01,2.3860000000000001e+00,4.0998700937531010e-04,4.0833333333333406e-04
3.8800000000000001e-01,2.3879999999999999e+00,3.0103540119506660e-04,3.0000000000000052e-04
3.9000000000000001e-01,2.3900000000000001e+00,2.0892907636534813e-04,2.0833333333333373e-04
3.9200000000000002e-01,2.3919999999999999e+00,1.3363659554496872e-04,1.3333333333333358e-04
3.9400000000000002e-01,2.3940000000000001e+00,7.5127199860879068e-05,7.5000000000000129e-05
