run,case,t,r,rho,vf2,vb2,vtotal2,mass_field
J239_R24,isolated_mixed,0.0,0.1,1.0009796398558188,0.005004898199279097,0.0,0.005004898199279097,0.006289340565927999
J239_R24,isolated_mixed,0.0,0.125,0.999190932517887,0.007126883460446776,0.0,0.007126883460446776,0.011194882361165098
J239_R24,isolated_mixed,0.0,0.15000000000000002,0.9969137153044711,0.009451425848049987,0.0,0.009451425848049987,0.017815518006109515
J239_R24,isolated_mixed,0.0,0.17500000000000002,0.9941874496024395,0.012014748200735968,0.0,0.012014748200735968,0.026421811277514314
J239_R24,isolated_mixed,0.0,0.2,0.9910515967986604,0.014915414167265701,0.0,0.014915414167265701,0.03748652445850484
J239_R24,isolated_mixed,0.0,0.225,0.9875382977432613,0.018280659065987657,0.0,0.018280659065987657,0.05168734580203783
J239_R24,isolated_mixed,0.0,0.25,0.9836504111394057,0.02213545433834676,0.0,0.02213545433834676,0.06954058073322249
J239_R24,isolated_mixed,0.0,0.275,0.9793834751535155,0.026451140751866747,0.0,0.026451140751866747,0.0914085804116476
J239_R24,isolated_mixed,0.0,0.30000000000000004,0.9747330279520136,0.031171615509448417,0.0,0.031171615509448417,0.11751422194201058
J239_R24,isolated_mixed,0.0,0.325,0.9696969669550095,0.036230760356228346,0.0,0.036230760356228346,0.1479689777398291
J239_R24,isolated_mixed,0.0,0.35,0.9642826265973645,0.041615450888991455,0.0,0.041615450888991455,0.18303431270415532
J239_R24,isolated_mixed,0.0,0.375,0.9584997005676276,0.047332040966057906,0.0,0.047332040966057906,0.22304698826756797
J239_R24,isolated_mixed,0.0,0.4,0.9523578825543475,0.05339161584763344,0.0,0.05339161584763344,0.26837553297634176
J239_R24,isolated_mixed,0.0,0.42500000000000004,0.9458665835183373,0.05980485750327687,0.0,0.05980485750327687,0.3194002516681744
J239_R24,isolated_mixed,0.0,0.45000000000000007,0.9390340835094659,0.06656422420840538,0.0,0.06656422420840538,0.3764118199770544
J239_R24,isolated_mixed,0.0,0.475,0.9318683798498669,0.07365512605157092,0.0,0.07365512605157092,0.43964936551540623
J239_R24,isolated_mixed,0.0,0.5,0.9243774698616732,0.08106045554551815,0.0,0.08106045554551815,0.5093178632768837
J239_R24,isolated_mixed,0.0,0.525,0.9165697167920984,0.08876267685940817,0.0,0.08876267685940817,0.585597964422411
J239_R24,isolated_mixed,0.0,0.55,0.9084549475886763,0.09675088941347958,0.0,0.09675088941347958,0.6686941435012651
J239_R24,isolated_mixed,0.0,0.5750000000000001,0.9000433551240218,0.10501595300385984,0.0,0.10501595300385984,0.7588098968733112
J239_R24,isolated_mixed,0.0,0.6,0.891345132270749,0.11354859754483908,0.0,0.11354859754483908,0.8561362556934972
J239_R24,isolated_mixed,0.0,0.625,0.882370596475049,0.12233899138553864,0.0,0.12233899138553864,0.9608481914609829
J239_R24,isolated_mixed,0.0,0.65,0.8731305634774195,0.13137530812125034,0.0,0.13137530812125034,1.0730920274277205
J239_R24,isolated_mixed,0.0,0.675,0.863635973591935,0.14064477990076527,0.0,0.14064477990076527,1.1929912397153934
J239_R24,isolated_mixed,0.0,0.7000000000000001,0.8538977671326697,0.15013409457503907,0.0,0.15013409457503907,1.3206484719968343
J239_R24,isolated_mixed,0.0,0.725,0.8439270008752077,0.1598297194616883,0.0,0.1598297194616883,1.456147630209857
J239_R24,isolated_mixed,0.0,0.75,0.833735197441169,0.1697189619528251,0.0,0.1697189619528251,1.599563532137643
J239_R24,isolated_mixed,0.0,0.775,0.8233339959136836,0.17978915452166816,0.0,0.17978915452166816,1.7509552898252179
J239_R24,isolated_mixed,0.0,0.8,0.8127350353758814,0.19002735328663253,0.0,0.19002735328663253,1.9103633186124704
J239_R24,isolated_mixed,0.0,0.8250000000000001,0.801949998762103,0.2004204191072912,0.0,0.2004204191072912,2.0778097437796164
J239_R24,isolated_mixed,0.0,0.85,0.7909907444115332,0.21095528053188778,0.0,0.21095528053188778,2.2533009024868385
J239_R24,isolated_mixed,0.0,0.875,0.7798691745145674,0.22161872491379847,0.0,0.22161872491379847,2.4368251533049428
J239_R24,isolated_mixed,0.0,0.9,0.7685971912616016,0.23239732223047685,0.0,0.23239732223047685,2.6283517928395415
J239_R24,isolated_mixed,0.0,0.925,0.7571866866098267,0.24327758218452192,0.0,0.24327758218452192,2.8278325404037306
J239_R24,isolated_mixed,0.0,0.9500000000000001,0.7456495115836147,0.2542464594746794,0.0,0.2542464594746794,3.0352074752900977
J239_R24,isolated_mixed,0.0,0.975,0.7339975069741331,0.26529094193628594,0.0,0.26529094193628594,3.250400689578714
J239_R24,isolated_mixed,0.0,1.0,0.7222425135725492,0.27639790193215147,0.0,0.27639790193215147,3.4733184727107167
J239_R24,isolated_mixed,0.0,1.0250000000000001,0.7103963072049535,0.28755423458458884,0.0,0.28755423458458884,3.70385091060628
