dimensionless_kBT,free_energy_minus_scalar_and_entropy,beyond_quadratic_free_energy,leading_cubic
1.0,-0.1085130668623151,0.011486933137684896,0.00800000000000001
1.0471285480508996,-0.10422696002082939,0.010372150301742919,0.007296086714847287
1.096478196143185,-0.10007561269165986,0.009365688031049299,0.006654110168821376
1.1481536214968828,-0.0960584105714667,0.008457220223262965,0.006068620600233477
1.202264434617413,-0.09217430381760529,0.00763734871471522,0.0055346477673514985
1.2589254117941673,-0.0884218566114039,0.006897531555509859,0.0050476587558415525
1.318256738556407,-0.08479929435158293,0.006230014651919122,0.004603519498697262
1.3803842646028848,-0.08130454817385498,0.005627767035143838,0.004198459681998187
1.4454397707459274,-0.07793529659543547,0.005084419914836907,0.0038290407385811126
1.5135612484362082,-0.07468900417051699,0.004594209590394527,0.003492126657921332
1.5848931924611136,-0.07156295711549458,0.004151924222128595,0.0031848573644279814
1.6595869074375607,-0.0685542959219746,0.003752854406948336,0.0029046244381608147
1.7378008287493754,-0.06566004502265958,0.0033927474577992445,0.0026490489718607327
1.8197008586099834,-0.06287713961148934,0.0030677652514256026,0.002415961376321616
1.9054607179632472,-0.06020244974634423,0.002774445483628485,0.002203382962670536
1.9952623149688795,-0.05763280188156966,0.0025096661537030093,0.002009509145207667
2.0892961308540396,-0.05516499798984157,0.002270613088875023,0.0018326941222142207
2.1877616239495525,-0.052795832439650525,0.0020547503141344764,0.0016714369046832338
2.290867652767773,-0.0505221067969899,0.0018597930718300126,0.0015243685743705998
2.3988329190194904,-0.04834064271863255,0.0016836832978076935,0.0013902406629995024
2.51188643150958,-0.04624829310045244,0.0015245673659672263,0.0012679145539688927
2.6302679918953817,-0.044241951638305015,0.001380775920162329,0.0011563518165967437
2.7542287033381663,-0.04231856095156947,0.0012508056208426974,0.0010546053908451272
2.884031503126606,-0.04047511941106854,0.0011333026432352594,0.0009618115476939316
3.019951720402016,-0.03870868680409345,0.0010270477738174785,0.0008771825569145492
3.1622776601683795,-0.037016388959977616,0.0009309429620429355,0.0008000000000000009
3.311311214825911,-0.03539542145034161,0.0008439991944825809,0.0007296086714847287
3.4673685045253166,-0.033843052468927236,0.0007653255685920318,0.0006654110168821376
3.630780547701014,-0.032356624987028564,0.0006941194530294265,0.0006068620600233476
3.8018939632056115,-0.03093355827197676,0.0006296576307678256,0.0005534647767351501
3.9810717055349722,-0.0295713488480364,0.0005712883300785648,0.0005047658755841553
4.168693834703354,-0.028267570971451925,0.000518424056781961,0.00046035194986972623
4.36515832240166,-0.02701987668428134,0.0004705351489319304,0.0004198459681998185
4.570881896148751,-0.025825995505061712,0.0004271439823329143,0.0003829040738581111
4.786300923226384,-0.024683733808277923,0.00038781976197054674,0.0003492126657921331
5.011872336272724,-0.02359097393903107,0.0003521738405954794,0.0003184857364427981
5.248074602497725,-0.022545673104209376,0.000319855511349592,0.0002904624438160815
5.495408738576246,-0.021545862076827432,0.0002905482264923681,0.0002649048971860732
5.7543993733715695,-0.020589643745994504,0.00026396619899799953,0.00024159613763216162
6.025595860743578,-0.019675191541169656,0.00023985134808107017,0.0002203382962670536
6.309573444801933,-0.01880074775593195,0.00021797055360140913,0.00020095091452076663
6.606934480075961,-0.01796462179340826,0.0001981131878262335,0.00018326941222142202
6.918309709189364,-0.01716518835273688,0.00018008889621425397,0.00016714369046832344
7.244359600749901,-0.016400885573465217,0.00016372560176940165,0.00015243685743705998
7.5857757502918375,-0.01567021315256898,0.00014886771010790348,0.00013902406629995025
7.943282347242816,-0.014971730446805944,0.00013537449472406093,0.0001267914553968892
8.31763771102671,-0.01430405457136487,0.00012311864404408214,0.00011563518165967435
8.709635899560807,-0.013665858504209205,0.00011198495375338603,0.00010546053908451269
9.120108393559097,-0.013055869204135866,0.00010186914958235614,9.618115476939318e-05
9.549925860214358,-0.012472865749347431,9.267682726336358e-05,8.771825569145494e-05
10.0,-0.011915677502253681,8.432249774631938e-05,8.00000000000001e-05
10.471285480508996,-0.011383182305274072,7.672872698315757e-05,7.296086714847287e-05
10.964781961431852,-0.010874304711569926,6.982536070098896e-05,6.654110168821374e-05
11.481536214968829,-0.010388014253904732,6.354882556823538e-05,6.068620600233477e-05
12.02264434617413,-0.009923323754186007,5.784149904604352e-05,5.534647767351498e-05
12.589254117941675,-0.009479287675683694,5.2651141007682006e-05,5.0476587558415505e-05
13.182567385564074,-0.009055000519425621,4.7930380924581656e-05,4.60351949869726e-05
13.803842646028853,-0.008649595265850437,4.363625504944131e-05,4.198459681998184e-05
14.454397707459272,-0.008262241862425348,3.9729788601890886e-05,3.8290407385811135e-05
15.13561248436208,-0.007892145757620898,3.6175618470255314e-05,3.4921266579213334e-05
15.848931924611133,-0.007538546481360761,3.2941652401558e-05,3.184857364427983e-05
16.595869074375607,-0.0072007162718275685,2.9998761064724093e-05,2.9046244381608147e-05
17.378008287493753,-0.006877958748311876,2.7320499734007596e-05,2.649048971860733e-05
18.197008586099834,-0.006569607629615759,2.4882856675735934e-05,2.415961376321616e-05
19.054607179632473,-0.006275025497385425,2.2664025611845474e-05,2.2033829626705358e-05
19.952623149688797,-0.005993602603627333,2.064419989993363e-05,2.0095091452076665e-05
20.892961308540396,-0.0057247557215635275,1.8805386308132395e-05,1.8326941222142205e-05
21.87761623949553,-0.005467927038904595,1.7131236473903917e-05,1.671436904683233e-05
22.908676527677734,-0.005222583092553543,1.560689432844771e-05,1.524368574370599e-05
23.98832919019491,-0.004988213743704293,1.4218857939730413e-05,1.3902406629995016e-05
25.11886431509581,-0.004764331192262438,1.2954854379527113e-05,1.2679145539688914e-05
26.302679918953814,-0.004550469029486507,1.1803726360228375e-05,1.1563518165967439e-05
27.542287033381662,-0.00434618132773195,1.0755329509265672e-05,1.0546053908451273e-05
28.84031503126606,-0.004151041766167983,9.800439262397202e-06,9.618115476939317e-06
30.19951720402016,-0.003964642791336369,8.930666454724616e-06,8.771825569145493e-06
31.622776601683793,-0.003786594811419714,8.138380782341404e-06,8.00000000000001e-06
33.11311214825911,-0.0036165254230991406,7.416641383278192e-06,7.296086714847287e-06
34.673685045253166,-0.003454078669886494,6.759133865432906e-06,6.654110168821377e-06
36.30780547701014,-0.003298914330837354,6.160113168444947e-06,6.068620600233475e-06
38.018939632056124,-0.0031507072385636072,5.614351710850687e-06,5.534647767351498e-06
39.810717055349734,-0.0030091466254873436,5.117092324151591e-06,5.0476587558415505e-06
41.68693834703355,-0.0028739354972993993,4.664005523988095e-06,4.603519498697259e-06
43.65158322401661,-0.0027447900326095283,4.251150711798331e-06,4.198459681998184e-06
45.708818961487516,-0.0026214390077997207,3.874940939741552e-06,3.82904073858111e-06
47.86300923226383,-0.002503623246119532,3.532110905315848e-06,3.492126657921333e-06
50.11872336272722,-0.0023910950900858565,3.219687876798976e-06,3.1848573644279826e-06
52.48074602497726,-0.002283617896280582,2.934965275314984e-06,2.9046244381608143e-06
54.954087385762456,-0.002180965551664413,2.6754786675671147e-06,2.6490489718607323e-06
57.543993733715695,-0.0020829220105520268,2.4389839472236177e-06,2.415961376321616e-06
60.25595860743578,-0.001989280851424283,2.2234375007894845e-06,2.2033829626705356e-06
63.09573444801933,-0.0018998448527767168,2.0269781766191555e-06,2.0095091452076667e-06
66.06934480075961,-0.0018144255872329436,1.8479108905059514e-06,1.8326941222142207e-06
