z,variance,cubic,maximum_block_entropy
0.001,0.000999,0.000997002,1.1061140786722334
0.002,0.001996,0.001988016,1.1122285733140695
0.003,0.002991,0.002973054,1.117818817807965
0.004,0.003984,0.003952128,1.1230682612190745
0.005,0.004975,0.00492525,1.1280640290747357
0.006,0.005964,0.0058924319999999995,1.132857436769595
0.007,0.006951,0.0068536859999999995,1.1374823914532461
0.008,0.007936,0.007809024,1.141962992025349
0.009000000000000001,0.008919000000000002,0.008758458000000002,1.1463172569602293
0.010000000000000002,0.009900000000000003,0.009702000000000002,1.1505591719418755
0.011,0.010879,0.010639662,1.1546999094854125
0.012,0.011856,0.011571456,1.1587486011805994
0.013000000000000001,0.012831,0.012497394,1.1627128506769944
0.014000000000000002,0.013804000000000002,0.013417488000000002,1.1665990878839203
0.015,0.014775,0.014331749999999999,1.1704128214575835
0.016,0.015744,0.015240192000000001,1.1741588236652623
0.017,0.016711,0.016142826,1.1778412688587876
0.018000000000000002,0.017676,0.017039664,1.1814638392580832
0.019000000000000003,0.018639000000000003,0.017930718000000002,1.185029807158408
0.02,0.0196,0.018816,1.1885420997856784
0.021,0.020559,0.019695522,1.192003351150414
0.022000000000000002,0.021516,0.020569296,1.1954159440039327
0.023,0.022470999999999998,0.021437333999999995,1.1987820441515897
0.024,0.023424,0.022299648,1.202103628788122
0.025,0.024375,0.02315625,1.2053825101029365
0.026000000000000002,0.025324000000000003,0.024007152,1.208620355103047
0.027000000000000003,0.026271000000000003,0.024852366,1.2118187023822267
0.028,0.027216,0.025691903999999998,1.2149789764027656
0.029,0.028159,0.026525778,1.2181024997346257
0.030000000000000002,0.0291,0.027354,1.2211905036046315
0.031,0.030039,0.028176582,1.2242441370377013
0.032,0.030976,0.028993535999999997,1.2272644748174677
0.033,0.031911,0.029804874,1.2302525244509477
0.034,0.032844,0.030610607999999997,1.2332092322883272
0.035,0.033775,0.031410749999999994,1.2361354889222103
0.036000000000000004,0.034704000000000006,0.032205312,1.239032133969367
0.037000000000000005,0.035631,0.032994306,1.2418999603208136
0.038,0.036556,0.033777744,1.2447397179321242
0.039,0.037479,0.034555638,1.247552117214521
0.04,0.0384,0.035328,1.250337832077956
0.041,0.039319,0.036094842,1.2530975026697182
0.042,0.040236,0.036856176000000004,1.255831737845718
0.043000000000000003,0.041151,0.037612014,1.2585411174062953
0.044000000000000004,0.042064000000000004,0.03836236800000001,1.2612261941239444
0.045,0.042975,0.03910725,1.2638874955866177
0.046,0.043884,0.039846672,1.2665255258771073
0.047,0.044791,0.040580646,1.2691407671063355
0.048,0.045696,0.041309184,1.2717336808160964
0.049,0.046599,0.042032298,1.2743047092648598
0.05,0.0475,0.04275,1.2768542766085742
0.051000000000000004,0.048399000000000005,0.04346230200000001,1.2793827899869683
0.052000000000000005,0.049296,0.044169216,1.2818906405246273
0.053000000000000005,0.050191,0.044870754,1.2843782042550353
0.054,0.051084,0.045566928,1.2868458429748584
0.055,0.051975,0.04625775,1.2892939050349248
0.056,0.052864,0.046943232,1.2917227260736686
0.057,0.053751,0.047623386000000004,1.2941326296981617
0.058,0.054636,0.048298224,1.2965239281173468
0.059000000000000004,0.055519,0.048967758,1.2988969227315854
0.060000000000000005,0.0564,0.049632,1.3012519046822244
0.061,0.057279000000000004,0.050290962,1.303589155364518
0.062,0.058156,0.050944656,1.305908946906906
0.063,0.05903100000000001,0.051593094000000006,1.3082115426193643
0.064,0.059904,0.052236288,1.310497197413279
0.065,0.060775,0.052874250000000005,1.3127661581950774
0.066,0.061644,0.053506991999999996,1.3150186642356247
0.067,0.06251100000000001,0.05413452600000001,1.3172549475172333
0.068,0.063376,0.054756864,1.3194752330599453
0.069,0.064239,0.055374018000000004,1.321679739228623
0.07,0.0651,0.055986,1.3238686780222295
0.07100000000000001,0.065959,0.056592822,1.3260422553465776
0.07200000000000001,0.066816,0.057194496,1.3282006712717087
0.07300000000000001,0.06767100000000001,0.057791034000000005,1.3303441202749706
0.074,0.068524,0.058382447999999997,1.332472791470772
0.075,0.069375,0.05896875,1.3345868688279177
0.076,0.070224,0.059549951999999996,1.3366865313753489
0.077,0.07107100000000001,0.060126066000000006,1.3387719533970517
0.078,0.07191600000000001,0.060697104,1.3408433046168424
0.079,0.072759,0.061263078,1.3429007503736696
0.08,0.0736,0.061824,1.3449444517880438
