r_over_a,rho_quadrature,rho_formula,variance_quadrature,variance_formula,specific_entropy,entropy_change,entropy_change_formula
0.0,0.23873241463784467,0.238732414637843,0.16666666666666574,0.16666666666666666,3.9658359832285326,0.0,0.0
0.1,0.23286700428711615,0.23286700428711438,0.16583953170166393,0.16583953170166488,3.983249062221576,0.017413078993043563,0.01741307899304415
0.5,0.13665840833609894,0.13665840833609802,0.14907119849998512,0.14907119849998599,4.356337198028397,0.39050121479986455,0.3905012147998671
1.0,0.04220232731986463,0.04220232731986435,0.11785113019775725,0.1178511301977579,5.178843549208429,1.213007565979896,1.2130075659799042
2.0,0.004270575260503091,0.004270575260503063,0.07453559924999259,0.07453559924999299,6.782352329988191,2.8165163467596583,2.8165163467596757
5.0,6.92592877085511e-05,6.92592877085506e-05,0.032686022523030496,0.032686022523030676,9.667504924766089,5.701668941537556,5.701668941537593
10.0,2.3286700428711605e-06,2.328670042871144e-06,0.01658395317016639,0.016583953170166487,12.042296887700683,8.07646090447215,8.076460904472205
100.0,2.386727419771973e-11,2.3867274197716023e-11,0.0016665833396070414,0.0016665833395828125,20.084106625434732,16.1182706422062,16.118270642208905
