r,vc_total,vc_total_sphere,vc_total_unchanged_field,disk_minus_sphere_percent
0.1,0.467722140884694,0.471868563910777,0.44372418076401,-0.87872414973319
0.1074375,0.500532752655647,0.50499161929944,0.474695628840082,-0.882958542951529
0.114875,0.532944711465962,0.537717022915293,0.5052546090324,-0.88751355191572
0.1223125,0.564937720551899,0.570024454723862,0.535380499056273,-0.892371218429044
0.12975,0.596492956943361,0.601895079999926,0.565054050648393,-0.897519058731311
0.1371875,0.627593051166233,0.633311522553517,0.594257416059657,-0.902947630611162
0.144625,0.658222260510841,0.664258059876488,0.622974165967539,-0.908652785751529
0.1520625,0.688366474678631,0.694720627846492,0.651189299060113,-0.914634302360917
0.1595,0.718012493969958,0.724685997672897,0.678889243615662,-0.920882109543941
0.1669375,0.747148531110538,0.75414234954693,0.706061851465035,-0.927387043121697
0.174375,0.775764208414381,0.783079271304625,0.732696384777974,-0.934140789866289
0.1818125,0.803850575334556,0.811487781131258,0.758783496159413,-0.941136265299747
0.18925,0.831400270204462,0.839360514857831,0.784315202577135,-0.94837015947995
0.1966875,0.8584069303818,0.866691059552112,0.80928485366846,-0.95583415555166
0.204125,0.884865409628869,0.893474206262954,0.833687094990981,-0.96351932419988
0.2115625,0.910771794981884,0.919705974966599,0.857517826791439,-0.971416977587813
0.219,0.936123363404633,0.94538357153703,0.880774158868045,-0.979518621985542
0.2264375,0.960918704056808,0.970505532811267,0.903454362095704,-0.987818042282385
0.233875,0.985157347686498,0.995071313262649,0.925557817171361,-0.996307042923861
0.2413125,1.00883975529244,1.01908127975205,0.947084961118907,-1.00497621368406
0.24875,1.0319673593122,1.04253676578756,0.968037232070473,-1.01381618588483
0.2561875,1.05454250507505,1.06544001284114,0.9884170128144,-1.02281758097574
0.263625,1.07656848634149,1.08779421805344,1.00822757357043,-1.03197199669237
0.2710625,1.09804939535255,1.1096033722724,1.02747301442048,-1.04127089089366
0.2785,1.11898993882561,1.13087205997753,1.04615820778948,-1.05070428145136
0.2859375,1.13939550668746,1.15160554462479,1.06428874133576,-1.06026217000471
0.293375,1.15927211534061,1.17180971204387,1.08187086157506,-1.0699345272866
0.3008125,1.17862638997094,1.19149105768479,1.09891141852687,-1.07971164624997
0.30825,1.19746554149446,1.21065666757178,1.11541781163698,-1.08958439090542
0.3156875,1.21579712835954,1.22931395687887,1.13139793719613,-1.09954242719688
0.323125,1.23362911633722,1.24747074401494,1.14686013744222,-1.10957533426106
0.3305625,1.25096983805366,1.26513521143545,1.16181315150215,-1.11967268429121
0.338,1.26782795772232,1.28231587203018,1.17626606830039,-1.12982414269914
0.3454375,1.28421249555099,1.29902160227624,1.19022828153354,-1.140020050421
0.352875,1.30013262280537,1.31526141743198,1.20370944678518,-1.15025001312329
