galaxy,ml_disk,ml_bulge,n,Q,D_Mpc,inclination_deg,refs,baryon_invalid_rows,baryon_chi2_valid,baryon_chi2_per_valid_row,core_length_kpc,core_amplitude_kms,core_excess_amplitude_kms,core_admissible_min_amplitude_kms,core_chi2,core_reduced_chi2,core_dof,core_success,core_optimality,core_bound_hit,core_bound_distance_log,core_restart_chi2_spread,core_near_best_starts,nfw_length_kpc,nfw_amplitude_kms,nfw_excess_amplitude_kms,nfw_admissible_min_amplitude_kms,nfw_chi2,nfw_reduced_chi2,nfw_dof,nfw_success,nfw_optimality,nfw_bound_hit,nfw_bound_distance_log,nfw_restart_chi2_spread,nfw_near_best_starts
CamB,0.5,0.7,9,2,3.36,65.0,Bm03,0,45.040389922287986,5.004487769143109,979.2325337197599,9999.999998719877,9999.999998719877,0.0,31.520426356945304,4.502918050992187,7,True,3.0296659603000574e-06,True,1.2801315563137905e-10,13.519963659009168,7,4999.999999999995,458.219603078186,458.219603078186,0.0,42.06251418955232,6.008930598507474,7,True,4.377381567149435e-07,True,1.7763568394002505e-15,2.977875903856088,8
D512-2,0.5,0.7,4,2,15.2,56.0,Tr09,0,94.50018506559519,23.625046266398797,1.0248058535681177,38.43182063830989,38.43182063830989,0.0,0.1844213799677884,0.0922106899838942,2,True,1.7864325502956374e-07,False,3.936526188924904,2.8033131371785203e-15,9,8.421254186285594,95.25693222917093,95.25693222917093,0.0,0.6267173551921775,0.31335867759608876,2,True,1.2810696995740598e-06,False,4.6537625813087775,3.427258477017858e-13,9
D564-8,0.5,0.7,6,2,8.79,63.0,Tr09,0,236.10085808714896,39.350143014524825,1.179611078089186,26.987981734884894,26.987981734884894,0.0,0.18464602110228845,0.04616150527557211,4,True,7.610515109602793e-07,False,4.077207794737729,2.942091015256665e-15,9,4999.999999999995,1334.196537099835,1334.196537099835,0.0,3.622392725302692,0.905598181325673,4,True,2.3772271065473225e-08,True,1.7763568394002505e-15,9.769962616701378e-15,9
D631-7,0.5,0.7,16,1,7.72,59.0,"Tr09,dB01",0,1693.1432428557766,105.82145267848604,3.373624120404601,70.6038328400763,70.6038328400763,0.0,10.39437896141756,0.7424556401012543,14,True,5.7574033952955635e-06,False,4.9532559394311155,3.2507330161024584e-13,9,4999.999999961102,2033.0335843801313,2033.0335843801313,0.0,84.01357410172491,6.000969578694637,14,True,4.625293256846606e-06,True,7.780442956573097e-12,1.5973000699887052e-11,9
DDO064,0.5,0.7,14,1,6.8,60.0,"dB02,Sw02",0,180.84554440949236,12.917538886392311,1.0124294854634015,48.76889515296312,48.76889515296312,0.0,3.619885652796446,0.30165713773303715,12,True,1.309022885974571e-06,False,3.924375879014684,4.360956040727615e-13,9,4999.999999999995,2605.60798580847,2605.60798580847,0.0,6.595885035689624,0.5496570863074687,12,True,3.9875431737065834e-09,True,1.7763568394002505e-15,1.4210854715202004e-14,9
DDO154,0.5,0.7,12,2,4.04,64.0,"Be91,CB89",0,70395.93204834744,5866.32767069562,1.7487175612283423,50.955731596406025,50.955731596406025,0.0,23.873867741350892,2.387386774135089,10,True,4.276036641804258e-05,False,4.470905702562926,2.7711166694643907e-13,9,17.34116772223445,143.19621595058578,143.19621595058578,0.0,117.71208076222037,11.771208076222036,10,True,0.00014937132242470722,False,4.24612454272486,3.7545078157563694e-11,9
DDO161,0.5,0.7,31,1,7.5,70.0,Co00,0,11524.338461435424,371.7528535946911,4.740974375506535,68.67093179272184,68.67093179272184,0.0,9.386558797996736,0.32367444131023226,29,True,5.1602647621250215e-06,False,4.9810143802974345,7.815970093361102e-14,9,71.60738029197067,224.05864620042854,224.05864620042854,0.0,33.31907556392578,1.1489336401353716,29,True,2.3422850578132667e-05,False,3.7984325409935193,4.952482868247898e-12,9
DDO168,0.5,0.7,10,2,4.25,63.0,"Sa96,Br92",0,1608.646173343166,160.86461733431662,1.7811926421962094,61.22134657169607,61.22134657169607,0.0,26.031118340609112,3.253889792576139,8,True,3.842404837367108e-05,False,4.489306169072207,1.8069101770379348e-11,9,4999.999999999995,2466.9199827492353,2466.9199827492353,0.0,85.20372508212293,10.650465635265366,8,True,1.5283775219505077e-05,True,1.7763568394002505e-15,1.9895196601282805e-13,9
DDO170,0.5,0.7,8,2,15.4,66.0,"Be91,La90",0,4794.596828880253,599.3246036100317,3.3615798457981296,63.380701170513404,63.380701170513404,0.0,40.61069310985667,6.768448851642778,6,True,0.00020187247265179758,False,5.061180954812889,1.9028334463655483e-11,9,13.326296217545101,127.02934687540474,127.02934687540474,0.0,12.969326322828968,2.1615543871381613,6,True,3.9878308807164724e-07,False,4.365922234452853,2.469136006766348e-13,9
ESO079-G014,0.5,0.7,15,1,28.7,79.0,Ge04,0,5927.188462785567,395.1458975190378,5.382141078072142,171.86541493140678,171.86541493140678,0.0,13.778292906588144,1.0598686851221648,13,True,1.7735340785889954e-05,False,4.0636286727822375,4.1744385725905886e-13,9,68.21782693981504,509.14639783149306,509.14639783149306,0.0,49.495396652012644,3.8073382040009727,13,True,2.774020255786619e-05,False,2.977604778250485,3.3004710076056654e-11,9
