galaxy,r_kpc,Vbar2_kms2,Vbar_kms,Vcore_kms,Vnfw_kms
CamB,0.16,10.49085,3.2389581658304882,3.3735384914833344,3.721578958350292
CamB,0.16408521303258145,11.280046977175191,3.3585781183672343,3.4951369893375968,3.8373317249001615
CamB,0.16817042606516291,12.071792584622022,3.4744485295686887,3.613158191254255,3.950016206804947
CamB,0.17225563909774436,12.866068578497257,3.586930244442629,3.7279394217248196,4.059885651183098
CamB,0.17634085213032583,13.662856714957675,3.696330168553355,3.839768870838118,4.167160534832387
CamB,0.18042606516290727,14.46213875016004,3.8029118777799784,3.9488950124566227,4.272034182602643
CamB,0.18451127819548874,15.263896440261133,3.9069036896577236,4.0555338245472345,4.37467720633447
CamB,0.18859649122807018,16.068111541417714,4.008504901009567,4.159874407423598,4.475241053408476
CamB,0.19268170426065162,16.874765809786563,4.107890676464816,4.262083413781658,4.573860873808195
CamB,0.1967669172932331,17.683841001524453,4.205215928049885,4.362308583730166,4.670657859049647
CamB,0.20085213032581456,18.495318872788147,4.300618429108557,4.460681596197134,4.765741167155028
CamB,0.204937343358396,19.309181179734427,4.394221339410935,4.557320391533267,4.859209519783294
CamB,0.20902255639097744,20.125409678520047,4.486135271981892,4.65233108034452,4.951152537235018
CamB,0.2131077694235589,20.943986125301805,4.576459999311893,4.745809525146389,5.041651862031132
CamB,0.21719298245614035,21.76489227623645,4.665285872938169,4.837842660807703,5.130782110572376
CamB,0.2212781954887218,22.588109887480766,4.752695013093178,4.928509604594084,5.218611683950886
CamB,0.22536340852130327,23.413620715191513,4.838762312326522,5.017882595344366,5.305203462561712
CamB,0.22944862155388474,24.241406515525476,4.923556287433452,5.106027792828436,5.390615404223441
CamB,0.23353383458646618,25.071449044639422,5.007139806779857,5.193005961883712,5.474901061685847
CamB,0.23761904761904762,25.903730058690115,5.08957071457801,5.278873060974662,5.558110032405558
CamB,0.2417042606516291,26.73823131383434,5.170902369396887,5.363680750982768,5.640288351107938
CamB,0.24578947368421053,27.57493456622885,5.251184110867648,5.447476837036662,5.721478833776788
CamB,0.24987468671679197,28.41382157203044,5.330461665937618,5.530305653831581,5.801721380212975
CamB,0.25395989974937344,29.254874087395862,5.408777503964815,5.612208403014691,5.881053241095067
CamB,0.2580451127819549,30.098073868481908,5.486171148303879,5.693223449716884,5.95950925449709
CamB,0.2621303258145363,30.943402671445313,5.562679450718449,5.773386584108829,6.03712205602161
CamB,0.2662155388471178,31.790842252442893,5.6383368338937405,5.852731252885891,6.11392226605397
CamB,0.27030075187969926,32.640374367631395,5.71317550646148,5.931288764794558,6.1899386571061825
CamB,0.27438596491228073,33.49198077316759,5.7872256542463925,6.009088473665047,6.265198303774655
CamB,0.27847117794486215,34.34564322520825,5.860515610866355,6.086157941881621,6.339726717466437
CamB,0.2825563909774436,35.20134347991015,5.9330720103425465,6.1625230867815395,6.413547967740293
CamB,0.2866416040100251,36.05906329343008,6.004919923981508,6.23820831210756,6.486684791850283
CamB,0.2907268170426065,36.91878442192477,6.076082983462682,6.313236626333536,6.5591586938618365
CamB,0.29481203007518797,37.78048862155102,6.146583491790461,6.387629749426858,6.630990034526344
CamB,0.29889724310776944,38.64415764846561,6.2164425235391345,6.461408209396194,6.70219811294415
CamB,0.3029824561403509,39.5097732588253,6.285680015624825,6.5345914297912335,6.772801240913092
CamB,0.3070676691729324,40.37731720878685,6.354314849673948,6.607197809167039,6.842816810746168
CamB,0.3111528822055138,41.24677125450704,6.422364926918046,6.67924479339452,6.912261357244726
CamB,0.31523809523809526,42.118117152142645,6.489847236425727,6.750748941586584,6.981150614429994
CamB,0.3193233082706767,42.99133665785043,6.556777917380642,6.821725986313767,7.04949956756367
CamB,0.32340852130325815,43.86641152778718,6.623172316027055,6.8921908887007275,7.11732250092605
CamB,0.3274937343358396,44.74332351810966,6.6890450378293655,6.962157888924073,7.184633041766099
CamB,0.3315789473684211,45.62205438497464,6.754409995327101,7.031640552570689,7.251444200790937
CamB,0.33566416040100255,46.50258588453888,6.819280452110683,7.100651813262565,7.317768409521269
CamB,0.33974937343358397,47.38489977295916,6.8836690632946,7.169204011907983,7.383617554803563
CamB,0.34383458646616544,48.268977806392265,6.947587912822137,7.237308932898689,7.449003010738381
CamB,0.34791979949874685,49.15480174099495,7.011048547898877,7.304977837537534,7.513935668256888
CamB,0.3520050125313283,50.04235333292399,7.074062010819808,7.37222149495038,7.578425962553273
CamB,0.3560902255639098,50.931614338336175,7.136638868426521,7.439050210708988,7.642483898559553
CamB,0.36017543859649126,51.822566513388246,7.198789239406044,7.505473853367963,7.7061190746303625
CamB,0.36426065162907273,52.715191614237,7.260522819620981,7.571501879097906,7.769340704588675
CamB,0.36834586466165414,53.60947139703919,7.321848905641197,7.637143354578391,7.832157638268584
CamB,0.3724310776942356,54.5053876179516,7.382776416630237,7.7024069782981375,7.894578380678137
CamB,0.376516290726817,55.40292203313097,7.443313914724474,7.767301100395194,7.956611109893511
CamB,0.3806015037593985,56.30205639873413,7.503469624029548,7.8318337411571095,8.018263693785388
CamB,0.38468671679197997,57.20277247091782,7.563251448346658,7.896012608289567,8.079543705669028
CamB,0.38877192982456144,58.1050520058388,7.622666987730659,7.959845113051835,8.140458438961256
CamB,0.3928571428571429,59.008876759653866,7.681723553972368,8.023338385348167,8.201014920920015
CamB,0.3969423558897243,59.91422848851975,7.740428185088971,8.08649928785617,8.261219925535501
