model_id,fit_mode,region,galaxy,n_rows,failed,pipeline_failure,invalid_rows,loss,rms_kms,signed_mean_residual
A_core,full,all,CamB,9,False,False,0,3.5022701176544775,2.807152964254455,1.5935528833410462
A_core,full,all,D512-2,4,False,False,0,0.0461053449919471,0.6620967263701092,-0.24854530883544346
A_core,full,all,D564-8,6,False,False,0,0.030774336850381268,0.3151340870106529,0.00158304103121439
A_core,full,all,D631-7,16,False,False,0,0.6496486850885972,1.7684153445208421,0.7149351915306587
A_core,full,all,DDO064,14,False,False,0,0.2585632609140315,2.4086018839472914,-0.20294103783837045
A_core,full,all,DDO154,12,False,False,0,1.989488978445902,0.8796248131981328,-0.5726381264722068
A_core,full,all,DDO161,31,False,False,0,0.30279221929021805,1.4456580247325788,-0.48026792006466446
A_core,full,all,DDO168,10,False,False,0,2.6031118340608836,2.6075343955334143,0.8079759687682527
A_core,full,all,DDO170,8,False,False,0,5.076336638732008,2.6758919951881097,-0.44987610056107163
A_core,full,all,ESO079-G014,15,False,False,0,0.9185528604392078,5.796815072689547,-2.4870804185200455
A_core,full,all,ESO116-G012,15,False,False,0,1.3432248837304912,3.9290070655274665,-1.7630220851959342
A_core,full,all,ESO444-G084,7,False,False,0,2.8600255963860106,3.993391567443939,-2.3794423883857303
A_core,full,all,ESO563-G021,30,False,False,0,11.422691299684013,27.39125141969531,7.502456431639526
A_core,full,all,F565-V2,7,False,False,0,0.040918296250309225,1.2928620719916137,-0.024314002216933823
A_core,full,all,F568-3,18,False,False,0,0.8217993910310957,7.722388197026665,-1.664106451344455
A_core,full,all,F568-V1,15,False,False,0,0.41784180696515183,8.344556183263354,-1.960876113862025
A_core,full,all,F571-8,13,False,False,0,8.111235127889234,12.45256770227295,6.767914556561542
A_core,full,all,F571-V1,7,False,False,0,0.07224166777163535,1.9827734884580412,-0.6403956914301142
A_core,full,all,F574-1,14,False,False,0,0.7697144812246046,3.9843842977760304,-0.9053388519771844
A_core,full,all,F583-1,25,False,False,0,0.3182294659449878,3.8294836927867624,-0.39930477244943424
A_core,full,all,F583-4,12,False,False,0,0.8958627096735422,4.690162741408432,-1.7885136334197715
A_core,full,all,IC2574,34,False,False,0,3.3290399560689536,2.4473791888178624,-1.069311637874086
A_core,full,all,IC4202,32,False,False,0,31.181823857999312,24.343401998329046,6.6547589689091575
A_core,full,all,KK98-251,15,False,False,0,0.1986750204649819,0.891459523399648,0.07485713066538716
A_core,full,all,NGC0024,29,False,False,0,3.2473711139970467,10.290651104558101,-0.7872693577891382
A_core,full,all,NGC0055,21,False,False,0,0.1154453630854095,1.1272964558473848,0.19128431291816433
A_core,full,all,NGC0100,21,False,False,0,0.19474017840641436,2.6395184940905168,-0.3278050643780231
A_core,full,all,NGC0247,26,False,False,0,13.726600375646155,13.807695340263605,-7.249751235820757
A_core,full,all,NGC0289,28,False,False,0,6.109856415583407,17.618522762754072,-7.914949309016272
A_core,full,all,NGC0300,25,False,False,0,1.7773162487369532,6.1470715843361265,1.1315343256423818
A_core,full,all,NGC0801,13,False,False,0,13.71931470440994,21.260128699671746,-11.236350891170353
A_core,full,all,NGC0891,18,False,False,0,12.094822267330523,22.236470603471904,10.05119892110769
A_core,full,all,NGC1003,36,False,False,0,11.83199845102476,8.818983583414484,-2.6939701507082354
A_core,full,all,NGC1090,24,False,False,0,4.85689221805029,12.213591524945484,-3.8723490213683767
A_core,full,all,NGC2403,73,False,False,0,73.66173442891862,13.471954682779396,-9.964149592234428
A_core,full,all,NGC2683,11,False,False,0,1.8240359056536932,13.3992445384853,-2.756175176558783
A_core,full,all,NGC2841,50,False,False,0,33.01145411832842,38.44125840754356,-21.313818516079003
A_core,full,all,NGC2903,34,False,False,0,9.953984876799732,22.757036232142404,5.167780931943398
A_core,full,all,NGC2915,30,False,False,0,0.9417272533900489,7.674242264348157,0.4187363640796221
A_core,full,all,NGC2955,24,False,False,0,3.8446001479797913,11.194069154966169,-2.0369864946028087
A_core,full,all,NGC2976,27,False,False,0,0.26937811057972766,1.7878754738802922,0.30552359817626784
A_core,full,all,NGC2998,13,False,False,0,7.39982869461001,37.676911355550985,-26.530549813575327
A_core,full,all,NGC3109,25,False,False,0,0.36550008814360263,1.3715810140060962,-0.05636817680210406
A_core,full,all,NGC3198,43,False,False,0,21.842243093547065,12.309567021765234,-3.0155452167653123
A_core,full,all,NGC3521,41,False,False,0,1.0436867322007741,9.113684539840886,-2.278186249747138
A_core,full,all,NGC3726,12,False,False,0,2.955104226333806,10.6467308386593,-3.7699265666118102
A_core,full,all,NGC3741,21,False,False,0,2.1472079429255366,3.353703071752579,-1.214516334393903
A_core,full,all,NGC3769,12,False,False,0,1.7655451945825025,9.07074986768627,-1.7811737183607785
A_core,full,all,NGC3877,13,False,False,0,2.6090116632975624,13.522107349501434,3.0741640065197178
A_core,full,all,NGC3893,10,False,False,0,0.49912584724885434,5.178592150098092,-1.5405873005690522
A_core,full,all,NGC3917,17,False,False,0,1.5111223115458667,5.751523190309146,-1.1379898893506475
A_core,full,all,NGC3949,7,False,False,0,0.31740647539237216,3.478974360253078,-0.9259471781172957
A_core,full,all,NGC3953,8,False,False,0,0.6976859048571095,5.958604362875524,-1.7390346706795228
A_core,full,all,NGC3972,10,False,False,0,1.3756242084012114,5.982426672892805,-1.7638060220508343
A_core,full,all,NGC3992,9,False,False,0,4.936363657033228,15.388355291306045,-3.491437548185006
A_core,full,all,NGC4010,12,False,False,0,0.9055282701706378,5.604217960924878,0.018005806500385784
A_core,full,all,NGC4013,36,False,False,0,3.480749321394974,9.978190226518597,-1.7481852491912062
A_core,full,all,NGC4051,7,False,False,0,0.2876144039404775,4.248670396693935,0.08654362198628819
A_core,full,all,NGC4068,6,False,False,0,0.14274382483632989,1.1472063180508703,0.5259480218295621
A_core,full,all,NGC4085,7,False,False,0,3.237195577238711,11.966038112437683,4.919405709486881
A_core,full,all,NGC4088,12,False,False,0,0.8288648187382881,7.111195469751464,2.679774979660028
A_core,full,all,NGC4100,24,False,False,0,1.7387451034771428,8.643494721425728,-3.2375381399522367
A_core,full,all,NGC4138,7,False,False,0,0.33034828857189746,10.093701419760684,-1.5393441957406335
A_core,full,all,NGC4157,17,False,False,0,0.45361370432879244,6.052006457751413,-0.601474577379188
A_core,full,all,NGC4183,23,False,False,0,2.204587188859674,9.752453389337584,-3.092888379729217
A_core,full,all,NGC4217,19,False,False,0,30.10904726487397,39.837051194695164,21.57747376663878
A_core,full,all,NGC4559,32,False,False,0,0.3661352392469449,3.6756951223823937,-1.55051809743761
A_core,full,all,NGC5005,18,False,False,0,0.37166902471549546,9.514493324804596,2.4292999770649604
A_core,full,all,NGC5033,22,False,False,0,5.134048674425216,13.063493633876009,-0.9384345847033742
A_core,full,all,NGC5055,28,False,False,0,13.626664428445126,7.192039894698966,3.100795440230165
A_core,full,all,NGC5371,19,False,False,0,23.6748701658591,23.949150772461106,-12.052978430483693
A_core,full,all,NGC5585,24,False,False,0,4.737565191052852,2.878786722928451,0.0710353621284993
A_core,full,all,NGC5907,19,False,False,0,26.409617366194496,23.97890540781278,-10.238741645352393
A_core,full,all,NGC5985,33,False,False,0,20.210883823562053,21.87759529842789,-0.4127500943758636
A_core,full,all,NGC6015,44,False,False,0,47.81368803437936,23.666149483585286,-10.348428819422915
A_core,full,all,NGC6195,23,False,False,0,2.0347811035540606,8.521834426178161,-0.3532905918528202
A_core,full,all,NGC6503,31,False,False,0,14.87528016493714,9.684864030388738,-5.86761650909333
A_core,full,all,NGC6674,15,False,False,0,49.176086947376696,38.44574871102634,-21.267844525668345
