model_id,fit_mode,region,sample,n_total,n_galaxies,n_failures,n_rows,median_loss,mean_loss,median_rms_kms,mean_rms_kms,pooled_loss
A_core,full,all,all_selected,153,153,0,3168,1.7541520691962953,7.404798114224053,6.185467560299424,9.31010091422409,14.677485048213619
A_core,full,all,finite_predictions,153,153,0,3168,1.7541520691962953,7.404798114224053,6.185467560299424,9.31010091422409,14.677485048213619
A_core,inner,outer,all_selected,131,131,0,659,8.798196176682513,59.12074934039965,12.998451833231812,19.124619661785975,109.09451409657538
A_core,inner,outer,finite_predictions,131,131,0,659,8.798196176682513,59.12074934039965,12.998451833231812,19.124619661785975,109.09451409657538
A_nfw,full,all,all_selected,153,153,0,3168,1.2347906098175268,4.074732929895304,4.794214288604163,7.415658793393588,6.0680562161351705
A_nfw,full,all,finite_predictions,153,153,0,3168,1.2347906098175268,4.074732929895304,4.794214288604163,7.415658793393588,6.0680562161351705
A_nfw,inner,outer,all_selected,131,131,0,659,2.2129571485200974,19.699822104356166,6.554981599601531,9.939883336141403,28.47320483848033
A_nfw,inner,outer,finite_predictions,131,131,0,659,2.2129571485200974,19.699822104356166,6.554981599601531,9.939883336141403,28.47320483848033
B_core,full,all,all_selected,153,153,0,3168,0.8040196699154318,1.804994311440682,4.274642549554617,5.73343789821166,3.108923109922361
B_core,full,all,finite_predictions,153,153,0,3168,0.8040196699154318,1.804994311440682,4.274642549554617,5.73343789821166,3.108923109922361
B_core,inner,outer,all_selected,131,131,0,659,3.890046802356268,27.802002165744863,10.112435615439525,14.024066714470555,46.15024415440521
B_core,inner,outer,finite_predictions,131,131,0,659,3.890046802356268,27.802002165744863,10.112435615439525,14.024066714470555,46.15024415440521
B_nfw,full,all,all_selected,153,153,0,3168,0.8986150084234727,2.015187438705552,4.455959016806354,5.852202053389267,2.884436680833299
B_nfw,full,all,finite_predictions,153,153,0,3168,0.8986150084234727,2.015187438705552,4.455959016806354,5.852202053389267,2.884436680833299
B_nfw,inner,outer,all_selected,131,131,0,659,1.9707533744308783,12.095196593884666,5.31644200856263,9.066631797253864,19.777691732936237
B_nfw,inner,outer,finite_predictions,131,131,0,659,1.9707533744308783,12.095196593884666,5.31644200856263,9.066631797253864,19.777691732936237
C_core,full,all,all_selected,153,153,0,3168,0.7559944340386111,1.7271644769337398,4.227063441679524,5.622726593304692,2.986005796007819
C_core,full,all,finite_predictions,153,153,0,3168,0.7559944340386111,1.7271644769337398,4.227063441679524,5.622726593304692,2.986005796007819
C_core,inner,outer,all_selected,131,131,0,659,4.038984884112868,28.836067778858123,9.723032066741927,14.091636412522416,49.60794529194406
C_core,inner,outer,finite_predictions,131,131,0,659,4.038984884112868,28.836067778858123,9.723032066741927,14.091636412522416,49.60794529194406
bar_fixed,full,all,all_selected,153,153,1,3168,117.02816464029519,inf,42.48873191442031,inf,inf
bar_fixed,full,all,finite_predictions,153,152,1,3143,115.14418874069341,432.54073167055697,42.319314120452304,45.27330107341169,620.9490704178146
bar_fixed,inner,outer,all_selected,131,131,0,659,141.6429426273066,557.5934313520029,56.741418356952124,63.59892156344193,799.7871495248818
bar_fixed,inner,outer,finite_predictions,131,131,0,659,141.6429426273066,557.5934313520029,56.741418356952124,63.59892156344193,799.7871495248818
bar_profiled,full,all,all_selected,153,153,1,3168,9.908459575109404,inf,14.654765714536095,inf,inf
bar_profiled,full,all,finite_predictions,153,152,1,3143,9.724236056044381,63.410786626193314,14.644558958899449,18.25570513360727,92.12995190702215
bar_profiled,inner,outer,all_selected,131,131,1,659,24.45755265993821,inf,24.18496106523722,inf,inf
bar_profiled,inner,outer,finite_predictions,131,130,1,654,24.435334227504338,145.5973471988108,24.05069672425609,29.092170046707313,224.74341050385695
