galaxy,r_kpc,Vbar2_kms2,Vbar_kms,Vcore_kms,Vnfw_kms
CamB,0.16,10.49085,3.2389581658304882,3.373538475491342,3.7210263220972193
CamB,0.16408521303258145,11.280046977175191,3.3585781183672343,3.495136972732084,3.8367776813998296
CamB,0.16817042606516291,12.071792584622022,3.4744485295686887,3.613158173994238,3.9494601945443963
CamB,0.17225563909774436,12.866068578497257,3.586930244442629,3.7279394037702898,4.059327185797786
CamB,0.17634085213032583,13.662856714957675,3.696330168553355,3.839768852149656,4.16659919501444
CamB,0.18042606516290727,14.46213875016004,3.8029118777799784,3.9488949929951063,4.271469599109053
CamB,0.18451127819548874,15.263896440261133,3.9069036896577236,4.055533804273611,4.374109053306603
CamB,0.18859649122807018,16.068111541417714,4.008504901009567,4.159874386298705,4.474669041439933
CamB,0.19268170426065162,16.874765809786563,4.107890676464816,4.262083391766085,4.573284744352528
CamB,0.1967669172932331,17.683841001524453,4.205215928049885,4.362308560784137,4.670077379867146
CamB,0.20085213032581456,18.495318872788147,4.300618429108557,4.460681572280419,4.765156128574043
CamB,0.204937343358396,19.309181179734427,4.394221339410935,4.557320366605099,4.858619731606468
CamB,0.20902255639097744,20.125409678520047,4.486135271981892,4.652331054363534,4.950557826160781
CamB,0.2131077694235589,20.943986125301805,4.576459999311893,4.74580949807057,5.041052069490369
CamB,0.21719298245614035,21.76489227623645,4.665285872938169,4.8378426325943344,5.130177090902219
CamB,0.2212781954887218,22.588109887480766,4.752695013093178,4.928509575199713,5.218001302844263
CamB,0.22536340852130327,23.413620715191513,4.838762312326522,5.017882564724763,5.3045875957439605
CamB,0.22944862155388474,24.241406515525476,4.923556287433452,5.106027760938572,5.389993936317083
CamB,0.23353383458646618,25.071449044639422,5.007139806779857,5.193005928677725,5.474273885232204
CamB,0.23761904761904762,25.903730058690115,5.08957071457801,5.278873026405837,5.557477047017822
CamB,0.2417042606516291,26.73823131383434,5.170902369396887,5.363680715003516,5.639649462734988
CamB,0.24578947368421053,27.57493456622885,5.251184110867648,5.447476799598497,5.720833954060782
CamB,0.24987468671679197,28.41382157203044,5.330461665937618,5.530305614885106,5.801070425926683
CamB,0.25395989974937344,29.254874087395862,5.408777503964815,5.612208362509579,5.880396133647339
CamB,0.2580451127819549,30.098073868481908,5.486171148303879,5.693223407601868,5.958845919496746
CamB,0.2621303258145363,30.943402671445313,5.562679450718449,5.773386540331685,6.036452422891665
CamB,0.2662155388471178,31.790842252442893,5.6383368338937405,5.852731207393423,6.113246267689344
CamB,0.27030075187969926,32.640374367631395,5.71317550646148,5.931288717532591,6.189256229569125
CamB,0.27438596491228073,33.49198077316759,5.7872256542463925,6.009088424578413,6.264509386023011
CamB,0.27847117794486215,34.34564322520825,5.860515610866355,6.086157890914149,6.3390312511105655
CamB,0.2825563909774436,35.20134347991015,5.9330720103425465,6.162523033876045,6.4128458968250825
CamB,0.2866416040100251,36.05906329343008,6.004919923981508,6.238208257205837,6.485976062659213
CamB,0.2907268170426065,36.91878442192477,6.076082983462682,6.313236569376346,6.5584432547404505
CamB,0.29481203007518797,37.78048862155102,6.146583491790461,6.387629690353924,6.630267835722858
CamB,0.29889724310776944,38.64415764846561,6.2164425235391345,6.4614081481461865,6.701469106465247
CamB,0.3029824561403509,39.5097732588253,6.285680015624825,6.534591366301768,6.772065380393177
CamB,0.3070676691729324,40.37731720878685,6.354314849673948,6.607197743374669,6.842074051328602
CamB,0.3111528822055138,41.24677125450704,6.422364926918046,6.679244725234723,6.911511655473748
