comparator,effect,bootstrap_t_ci_low,bootstrap_t_ci_high
scalar_core,-5.173613541761714,-8.451370430350773,-3.2796817959035125
compact_plummer,-5.01660066041775,-8.32344803981686,-3.0522866895389784
nfw,10.533192030098489,1.0690088524240196,27.668558795893254
baryon_only,-391.80848862576215,-583.886196291703,-288.32197118669774
