run,galaxy,ml_disk,ml_bulge,n,Q,inclination_deg,Rdisk_kpc,Reff_kpc,L36,SBdisk,MHI,Vflat,r_min_kpc,r_max_kpc,radius_ratio,r_min_over_Rdisk,r_max_over_Rdisk,Vobs_median,baryon_fraction_median,baryon_fraction_outer_median,baryon_negative_points,baryon_overshoot_points,positive_halo_chi2_floor,outer_points,outer_radius_ratio,observed_outer_slope,observed_sample_peak_r_over_Rmax,core_chi2,core_reduced_chi2,core_rms_z,core_length_kpc,core_amplitude_kms,core_bound_hit,core_bound_faces,core_outer_slope,core_halo_outer_slope,core_r_min_over_scale,core_r_max_over_scale,core_peak_radius_kpc,core_r_max_over_peak,core_points_beyond_peak,core_coverage_phase,core_floor_fraction,nfw_chi2,nfw_reduced_chi2,nfw_rms_z,nfw_length_kpc,nfw_amplitude_kms,nfw_bound_hit,nfw_bound_faces,nfw_outer_slope,nfw_halo_outer_slope,nfw_r_min_over_scale,nfw_r_max_over_scale,nfw_peak_radius_kpc,nfw_r_max_over_peak,nfw_points_beyond_peak,nfw_coverage_phase,nfw_floor_fraction,log10_core_over_nfw_chi2,core_lower_chi2,core_outer_slope_error,nfw_outer_slope_error,outer_slope_class,baryon_class,coverage_class
ml_0.3,CamB,0.3,0.42,9,2,65,0.47,1.21,0.075,66.2,0.012,0,0.16,1.79,11.1875,0.3404255319148937,3.808510638297873,10.9,1.061231377830149,0.5000333049886621,0,5,3.907957167967609,3,1.467213114754098,0.8170110994450819,1,16.81321559181184,2.401887941687406,1.36679737553043,227.7356258841176,2999.999999999981,True,excess_amplitude_upper,0.3494497975186905,0.9999914075099698,0.000702569039775162,0.007859991132484626,629.6897210129114,0.002842669874173311,0,before_peak,0.232433655931398,34.62660925047683,4.946658464353832,1.961479295794569,499.9999999997054,234.8284179306111,True,length_upper,0.01413335027619261,0.4980212858170929,0.0003200000000001886,0.00358000000000211,1081.290793531668,0.001655428873257651,0,before_peak,0.1128599436259788,-0.3137591842471882,True,-0.4675613019263914,-0.8028777491688893,rising,median_fraction_ge_0.5,3_to_6_Rdisk
ml_0.3,D512-2,0.3,0.42,4,2,56,1.24,2.37,0.325,93.94,0.081,0,0.96,3.83,3.989583333333333,0.7741935483870968,3.088709677419355,34.7,0.1497388409659347,0.1381920901968304,0,0,0,2,1.329861111111111,,0.7519582245430809,0.1983976925545134,0.0991988462772567,0.2227092794174242,1.004773893746514,39.99162754163246,False,none,,,0.9554388365131925,3.811802858172425,2.778202972758616,1.378588979118758,2,straddles_peak,0,0.7555175768710753,0.3777587884355377,0.4346025704224135,7.650235009411587,96.37562505490747,False,none,,,0.1254863411148774,0.5006382150728964,16.54425736807055,0.2315002671193738,0,before_peak,0,-0.5807079556857806,True,,,unresolved,median_fraction_lt_0.5,3_to_6_Rdisk
ml_0.3,D564-8,0.3,0.42,6,2,63,0.61,0.72,0.033,21.13,0.029,0,0.51,3.07,6.019607843137255,0.8360655737704918,5.032786885245901,20.85,0.155884851189736,0.1142217372916667,0,0,0,2,1.19921875,,1,0.2310637544364843,0.05776593860912108,0.1962412437267305,1.126004756164206,27.06058551149906,False,none,,,0.4529288150943001,2.726453847724512,3.113406688196599,0.9860581374218922,0,before_peak,0,3.175881066602841,0.7939702666507102,0.7275393536438243,499.9999999999994,432.3240648287387,True,length_upper,,,0.001020000000000001,0.006140000000000007,1081.290793532303,0.00283919924072514,0,before_peak,0,-1.138132404497087,True,,,unresolved,median_fraction_lt_0.5,3_to_6_Rdisk
ml_0.3,D631-7,0.3,0.42,16,1,59,0.7,1.22,0.196,115.04,0.29,57.7,0.45,7.19,15.97777777777778,0.6428571428571429,10.27142857142857,47.2,0.2234377438351041,0.1073977948790679,0,1,1.044756107943822,6,1.455465587044534,0.1146634886066203,0.8748261474269818,5.921070237475808,0.4229335883911292,0.6083312336566634,3.163721071156337,68.85015607166531,False,none,0.3112456807731895,0.410495558965397,0.1422375708473963,2.272640298650621,8.747698700741743,0.8219304580518233,0,before_peak,0.1764471735753651,71.62732232184352,5.116237308703108,2.115823160170816,499.999999999042,657.0833036723031,True,length_upper,0.3708429075053556,0.4921005508769685,0.0009000000000017244,0.01438000000002755,1081.290793530233,0.006649460111026986,0,before_peak,0.01458599978440367,-1.082678503184148,True,0.1965821921665692,0.2561794188987354,rising,median_fraction_lt_0.5,at_least_6_Rdisk
ml_0.3,DDO064,0.3,0.42,14,1,60,0.6899999999999999,1.2,0.157,151.65,0.211,46.1,0.1,2.98,29.8,0.1449275362318841,4.318840579710145,37.9,0.182312488375955,0.2421287000446792,1,0,0,4,1.432692307692308,0.0344170022953114,1,3.561260809895007,0.2967717341579172,0.5043567905117939,0.9843675670936336,49.48585818924646,False,none,0.1194424938687103,0.08744237075377032,0.1015880686675325,3.02732444629247,2.721779415455862,1.094871973488303,1,straddles_peak,0,6.593246612745662,0.5494372177288052,0.6862551905994519,499.9999999999994,849.1609894160625,True,length_upper,0.4334259647048678,0.4966377181233359,0.0002000000000000003,0.005960000000000008,1081.290793532303,0.002755965386762513,0,before_peak,0,-0.2674955398167419,True,0.08502549157339889,0.3990089624095564,flat_band,median_fraction_lt_0.5,3_to_6_Rdisk
ml_0.3,DDO154,0.3,0.42,12,2,64,0.37,0.65,0.053,71.26000000000001,0.275,47,0.49,5.92,12.08163265306122,1.324324324324324,16,43.3,0.1646674979620837,0.1295029915118541,0,0,0,5,1.49873417721519,-0.0260934647409813,0.8344594594594595,36.30493760901247,3.630493760901247,1.73937099763613,1.723477375224819,50.96421201206416,False,none,-0.06039835506328137,-0.01417336636843152,0.2843089251090877,3.434915993154692,4.765420356890536,1.242282853692016,3,straddles_peak,0,100.8740579154894,10.08740579154894,2.899339837438421,15.59531230489104,138.2171420526338,False,none,0.2512964101127836,0.3382911170967771,0.03141969781819149,0.3796012471095788,33.7261352350795,0.1755315264774969,0,before_peak,0,-0.4438137970321472,True,-0.03430489032230007,0.2773898748537649,flat_band,median_fraction_lt_0.5,at_least_6_Rdisk
ml_0.3,DDO161,0.3,0.42,31,1,70,1.22,2.04,0.548,169.37,1.378,66.3,0.6,13.37,22.28333333333333,0.4918032786885246,10.95901639344262,55,0.3207875305785124,0.2392258764656316,0,0,0,10,1.46761800219539,0.1018650505733616,0.7868362004487659,18.49385204158249,0.6377190359166375,0.7723832418619092,4.598070970689618,68.87023457589672,False,none,0.001029889709118231,0.1580140097079917,0.1304895039299517,2.907741112572424,12.71368067903616,1.05162307733952,2,straddles_peak,0,25.15230599114889,0.8673208962465135,0.9007578528061244,51.29970568043223,198.0920151916432,False,none,0.1670170639551109,0.3795208292082147,0.01169597353516326,0.2606252769418881,110.9397989263365,0.1205158124441673,0,before_peak,0,-0.1335504290419642,True,-0.1008351608642434,0.06515201338174925,rising,median_fraction_lt_0.5,at_least_6_Rdisk
ml_0.3,DDO168,0.3,0.42,10,2,63,1.02,1.29,0.191,92.22,0.413,53.4,0.41,4.12,10.04878048780488,0.4019607843137254,4.03921568627451,48,0.2575872850445009,0.2104373807065797,0,0,0,4,1.42560553633218,-0.03136377136231972,0.9004854368932038,23.50535558449923,2.938169448062404,1.53314564163028,1.732526824692424,61.35522223890986,False,none,0.2788657215017653,0.3587603690584178,0.2366485725684435,2.378029558492652,4.79044211309778,0.8600458794263078,0,before_peak,0,81.99276898753256,10.24909612344157,2.863437950917263,499.99999999988,797.7746819539283,True,length_upper,0.3799039663923706,0.4954130121317951,0.0008200000000001968,0.008240000000001978,1081.290793532045,0.003810260870290022,0,before_peak,0,-0.5426087277731,True,0.310229492864085,0.4112677377546903,flat_band,median_fraction_lt_0.5,3_to_6_Rdisk
ml_0.3,DDO170,0.3,0.42,8,2,66,1.95,3.03,0.543,73.93000000000001,0.735,60,1.87,12.33,6.593582887700534,0.958974358974359,6.323076923076923,57.1,0.224046252342027,0.2205315694444444,0,0,0,3,1.320128479657388,0.1883854071495452,1,43.78549737390533,7.297582895650888,2.3394843815974,3.295388809344969,64.0588387227593,False,none,-0.2191156180781416,-0.1749241545468249,0.5674595952675168,3.74159187681737,9.111760410474366,1.353196247985859,3,straddles_peak,0,12.75464983589634,2.125774972649391,1.262668297490296,12.2780733922505,126.3229667057756,False,none,0.05742023700040488,0.1727854776725513,0.1523040252536917,1.004229214640651,26.55233544270885,0.4643659322022373,0,before_peak,0,0.5356617473072988,False,-0.4075010252276867,-0.1309651701491403,rising,median_fraction_lt_0.5,at_least_6_Rdisk
ml_0.3,ESO079-G014,0.3,0.42,15,1,79,5.08,7.23,51.733,2295.25,3.14,175,0.41,16.67,40.65853658536586,0.08070866141732283,3.281496062992126,132,0.2160438213877551,0.2118934423418714,0,0,0,4,1.430901287553648,0.1273136783696661,1,13.08618456164794,1.006629581665226,0.9340301409001012,5.182966787732754,184.6434221877657,False,none,0.02648689294649695,0.03459561503824796,0.07910527248031066,3.216304615236046,14.33091945064109,1.16321915404069,2,straddles_peak,0,55.27089930850271,4.251607639115592,1.919564174641433,50.41140470903208,490.8039375325992,False,none,0.2777762036836089,0.3525154818446152,0.008133080249726534,0.3306791408852228,109.0187756018149,0.1529094406718184,0,before_peak,0,-0.6256834899118574,True,-0.1008267854231691,0.1504625253139429,rising,median_fraction_lt_0.5,3_to_6_Rdisk
